"Gene","DataPlot"
"1",6
"2",5
"3",4
"4",2
"5",11
"6",4
"7",10
"8",8
"9",12
"10",13
"11",17
"12",13
"13",13
"14",14
"15",13
"16",13
"17",1
"18",2
"19",16
"20",11
"21",12
"22",3
"23",17
"24",13
"25",19
"26",18
"27",3
"28",18
"29",19
"30",10
"31",3
"32",9
"33",8
"34",6
"35",8
"36",12
"37",8
"38",3
"39",14
"40",20
"41",17
"42",17
"43",2
"44",3
"45",6
"46",4
"47",17
"48",14
"49",12
"50",7
"51",11
"52",1
"53",14
"54",1
"55",7
"56",14
"57",5
"58",16
"59",20
"60",4
"61",17
"62",18
"63",8
"64",3
"65",14
"66",11
"67",20
"68",1
"69",9
"70",18
"71",16
"72",16
"73",12
"74",20
"75",8
"76",6
"77",8
"78",9
"79",9
"80",20
"81",2
"82",15
"83",5
"84",3
"85",11
"86",11
"87",12
"88",19
"89",15
"90",10
"91",16
"92",16
"93",15
"94",7
"95",19
"96",15
"97",4
"98",12
"99",14
"100",6
