"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","logFC","logCPM","PValue","FDR"
"1","GB40629",309,151,301,253,88,83,40,10,49,54,73,154,-1.38639015578786,4.11082447225166,6.15011315917273e-05,0.258058748158888
"2","GB47086",45,39,123,66,30,35,17,3,13,23,13,34,-1.37083979594194,2.34721071414963,3.42131990542273e-05,0.258058748158888
"3","GB53096",41,36,55,128,35,59,8,5,29,34,11,27,-1.42793149737657,2.49111655307648,0.000110409038091964,0.308850882555919
"4","GB41097",99,196,279,447,122,654,30,9,162,83,46,209,-1.62931042103617,4.72642304948222,0.000645711082124823,0.356245830329497
"5","GB41647",37,18,74,53,22,34,124,17,53,59,151,78,1.45075921616159,3.23209156388658,0.000219935835180558,0.356245830329497
"6","GB41710",191,86,370,75,32,22,16,25,588,206,3705,83,3.00852370708796,6.02961253248235,0.000724784948021881,0.356245830329497
"7","GB43145",79,89,233,192,58,100,44,11,56,31,42,79,-1.14732756995182,3.52838159247242,0.000298258872256786,0.356245830329497
"8","GB45073",1725,1043,5700,3635,1347,1689,791,256,1020,886,663,1499,-1.17518434674601,7.76994383821047,0.000806562294597288,0.356245830329497
"9","GB46310",99,112,230,126,66,122,337,48,93,225,393,228,1.2026781076264,4.72182324557705,0.000799300529717021,0.356245830329497
"10","GB47545",115,37,428,72,29,39,111,51,321,453,882,106,1.93141083701856,4.94084638199431,0.000292176973308429,0.356245830329497
"11","GB47918",61,60,142,85,21,79,19,5,42,36,20,47,-1.08001994530104,2.80898034927655,0.000684529194321262,0.356245830329497
"12","GB48029",423,511,1515,716,525,900,282,169,342,273,129,392,-1.10327953088807,6.15939474287871,0.000623759936283191,0.356245830329497
"13","GB48079",14614,4330,12370,32119,7106,36498,992,569,6171,5059,3030,13026,-1.82130055647924,10.543263952154,0.000789818063872298,0.356245830329497
"14","GB50828",112,78,860,288,50,94,58,24,44,50,40,123,-1.51807259517175,4.16788398281457,0.000588912577706759,0.356245830329497
"15","GB50962",217,203,793,396,135,286,106,27,143,109,118,258,-1.04565487995511,4.91231421989749,0.000586273225951419,0.356245830329497
"16","GB51642",100,89,887,313,99,267,47,38,117,138,58,115,-1.29491819170794,4.54844111161183,0.000551213147127662,0.356245830329497
"17","GB54722",39,26,158,91,20,70,8,7,20,18,24,50,-1.29054910955701,2.55840463474169,0.000709079532754881,0.356245830329497
"18","GB55426",501,340,2483,1568,341,725,228,76,342,344,384,480,-1.26529325044229,6.34207771982074,0.000492755810461194,0.356245830329497
"19","GB55578",321,225,463,502,130,194,95,45,113,106,114,243,-1.01857961903059,4.84559584811743,0.000169816341184968,0.356245830329497
"20","GB43519",33,12,28,16,3,22,39,13,26,28,46,41,1.18157335243708,2.02722680630242,0.000965362517488728,0.398090429713281
"21","GB52318",238,75,391,175,86,109,33,20,983,309,2858,195,2.35331315913639,6.03265613942975,0.00109104860383764,0.398090429713281
"22","GB52786",298,291,376,175,84,125,61,50,109,150,97,97,-0.896691646676653,4.4597532081938,0.00106781637625488,0.398090429713281
"23","GB53579",1396,535,1875,1799,592,725,106,116,415,326,134,1181,-1.39026840370136,6.62594232346287,0.00103813192383846,0.398090429713281
"24","GB54240",116,107,118,92,89,68,97,152,147,231,120,153,0.983196636407114,4.32979257082918,0.00116625536148153,0.405708387606133
"25","GB55591",2182,1789,6087,4907,1603,1929,1002,364,919,796,1441,1946,-1.13014680709784,8.10141902079882,0.00120861650263981,0.405708387606133
"26","GB40696",1752,5572,16311,3876,2367,7526,6087,5254,20401,17803,8910,11282,1.30756977965518,10.3337852055084,0.00156907467919659,0.453996195428942
"27","GB42018",159,112,130,96,118,88,147,115,206,242,194,144,0.881249087910627,4.53088710844296,0.00156077321722272,0.453996195428942
"28","GB43688",1060,2888,3007,7385,1886,11191,709,207,1010,1707,239,3701,-1.79933986661748,8.627244604252,0.00162296066049431,0.453996195428942
"29","GB50385",93,85,172,117,55,96,26,24,40,49,62,79,-0.810193376467187,3.40009212580896,0.00147987304361287,0.453996195428942
"30","GB50687",153,74,33,80,56,58,20,10,30,44,35,47,-1.11375519266501,2.9828971276852,0.00155260999578908,0.453996195428942
"31","GB43456",48,46,170,96,25,113,15,8,22,24,19,87,-1.20617548616194,2.90720155172506,0.00194153238627427,0.465523993874677
"32","GB48687",3122,2513,7210,1989,2388,2596,1231,615,1647,1745,832,1382,-1.0144090112385,8.27716967220801,0.00185545678319202,0.465523993874677
"33","GB49386",98,66,1049,44,69,25,11,19,57,84,21,48,-1.86882021860188,3.86736358048386,0.00179548411350261,0.465523993874677
"34","GB50441",21,26,300,64,16,53,12,6,13,25,19,44,-1.48429802305384,2.60957885303531,0.00192954767413543,0.465523993874677
