"","ID","NC.1","NC.2","NC.3","NP.2","NP.4","NP.6","NC.4","NC.5","NC.6","NP.1","NP.3","NP.5","logFC","logCPM","PValue","FDR"
"1","GB40007",114,187,487,519,213,288,103,90,115,112,219,836,0.93121492353569,5.24200320572903,0.0290593883376272,1
"2","GB40008",1620,1527,1971,2325,1256,994,930,492,692,1210,1370,1362,0.15833394056234,7.57462748836412,0.611939240088399,1
"3","GB40009",462,2149,751,801,717,544,331,3020,265,382,775,903,-1.4298859986573,7.52529549589454,0.035848102066367,1
"4","GB40010",1905,3284,5093,5200,1979,2179,1016,3610,1179,1129,2279,2936,-0.362680455186717,8.70698058304551,0.435890480553331,1
"5","GB40012",373,226,57,91,38,30,25,28,25,134,68,66,-0.862264190989307,3.77925911316913,0.088380568107024,1
"6","GB40013",170,458,31,213,312,24,76,173,66,1846,119,63,0.888277852381734,5.43557072272967,0.241651984362077,1
"7","GB40014",148,83,359,143,59,206,62,24,125,128,137,168,0.151275365285406,4.1984379085157,0.580360704004027,1
"8","GB40015",33,31,133,46,15,71,9,5,45,45,40,59,0.237553132461191,2.58728474965064,0.502399354619108,1
"9","GB40017",105,70,227,112,39,134,42,40,55,72,91,117,0.0489938026542625,3.6843738785461,0.866230269050746,1
"10","GB40018",261,274,295,208,164,218,183,152,325,396,294,274,-0.169111187604497,5.2548262380575,0.46568608620786,1
"11","GB40019",168,177,464,231,101,255,107,60,193,848,124,266,0.538901400102,5.05128447562175,0.130082971514361,1
"12","GB40020",57,54,152,78,29,59,25,24,69,139,54,61,0.0791040924669354,3.21734880822091,0.796323134166902,1
"13","GB40021",6745,4521,31809,9563,5561,12932,5018,2043,12947,11356,11967,8476,0.0603581021708632,10.4024974374454,0.874389237013194,1
"14","GB40022",220,103,193,138,99,310,151,58,168,189,129,311,0.212677980179311,4.64853449357639,0.467781552775834,1
"15","GB40027",161,119,48,123,33,56,23,45,42,64,63,61,-0.341300301289837,3.39203825615627,0.360032186233636,1
"16","GB40028",105,68,126,78,44,75,44,36,107,94,100,83,-0.145673162072386,3.55295767585559,0.558387274043278,1
