"","ID","NC.1","NC.2","NC.3","NC.6","NP.1","NP.3","NC.4","NC.5","NP.2","NP.4","NP.5","NP.6","logFC","logCPM","PValue","FDR"
"1","GB40009",462,2149,751,801,717,544,331,3020,265,382,775,903,-1.624498934285,7.52529549589454,0.0177128230115124,0.746909218237621
"2","GB40012",373,226,57,91,38,30,25,28,25,134,68,66,-1.15502071032486,3.77925911316913,0.0232218005299925,0.746909218237621
"3","GB40089",501,409,182,210,146,87,118,205,111,126,211,191,-1.0065510205725,5.0355286483615,0.0174132003347668,0.746909218237621
"4","GB40095",243,318,443,332,154,170,128,153,116,122,143,175,-0.852917649689164,4.95154811669019,0.00532015641326136,0.746909218237621
"5","GB40110",35,27,36,43,18,9,32,14,16,25,22,12,-0.908073009537736,1.95496071582318,0.0236358203733674,0.746909218237621
"6","GB40129",35,23,64,54,17,20,17,10,13,16,16,30,-0.759237967972573,1.96500800331998,0.0241712908335241,0.746909218237621
"7","GB40521",78,56,116,93,19,54,34,21,42,26,42,38,-0.76779268326053,2.89672952594782,0.0134181301790767,0.746909218237621
"8","GB40614",59,58,31,32,11,20,20,12,13,30,23,23,-0.882297242376312,2.09633081432067,0.0188593162224583,0.746909218237621
"9","GB40626",5814,5217,750,1915,1574,408,651,2767,760,890,1628,733,-1.60690280986709,8.33057912389125,0.0139584417827819,0.746909218237621
"10","GB40629",309,151,301,253,88,83,40,10,49,54,73,154,-0.818959516864797,4.11082447225166,0.0188111676185033,0.746909218237621
"11","GB40684",304,113,518,330,158,468,359,22,437,393,1394,403,1.05574714475651,5.86330854707503,0.0280324402980261,0.746909218237621
"12","GB40694",180,134,155,122,56,70,50,65,48,58,102,92,-0.734782193628796,3.81455922188139,0.0215497254482159,0.746909218237621
"13","GB40871",50,46,96,71,22,47,37,5,10,19,19,38,-0.85345110984788,2.46395934336683,0.0219659050763445,0.746909218237621
"14","GB40908",208,161,131,102,66,47,81,96,52,54,73,63,-1.21383816602671,3.90630923456172,0.0032360363228285,0.746909218237621
"15","GB40916",29,29,33,30,9,20,14,12,9,12,11,26,-0.796102060232274,1.62506698443713,0.0236069687304162,0.746909218237621
"16","GB40973",412,379,17,227,48,28,16,150,16,64,33,157,-2.00508330226703,4.33692467956892,0.00687186723981918,0.746909218237621
"17","GB40975",254,184,13,78,54,13,34,149,18,20,37,41,-2.14077968120627,3.71690214386755,0.00486388636742628,0.746909218237621
