"","ID","NC.1","NC.4","NP.1","NP.4","NP.5","NP.6","NC.2","NC.3","NC.5","NC.6","NP.2","NP.3","logFC","logCPM","PValue","FDR"
"1","GB40007",114,187,487,519,213,288,103,90,115,112,219,836,1.34503702098138,5.24200320572903,0.00183598303731259,0.231773105536592
"2","GB40075",48,53,269,126,28,89,26,11,40,42,50,111,1.14845985213904,3.27634795481387,0.00241730518520849,0.231773105536592
"3","GB40136",5612,3979,17504,21181,5711,16930,1418,200,3298,3708,592,19631,1.94720117114554,10.0427396034131,0.00270929213785773,0.231773105536592
"4","GB40335",78,70,415,432,41,446,59,8,122,77,55,311,1.66427459742446,4.50166747747822,0.00188108197438242,0.231773105536592
"5","GB40806",288,222,679,650,101,1519,52,42,215,244,152,770,1.62323851946863,5.74322439732929,0.00186388063401531,0.231773105536592
"6","GB40808",574,381,2062,1051,292,725,180,106,347,433,518,954,1.08748513383588,6.33250489602914,0.00191829338218471,0.231773105536592
"7","GB41110",155,251,45,59,112,45,76,74,131,583,26,65,-1.81504274776978,4.34259595148988,0.00190400545806204,0.231773105536592
"8","GB41369",49,71,257,198,23,495,9,6,59,31,55,153,2.09850835887737,3.93944449394422,0.000357189860490138,0.231773105536592
"9","GB41727",78,60,308,160,44,134,38,6,48,55,38,122,1.10748362330102,3.55837866493984,0.00285920178437149,0.231773105536592
"10","GB41891",34,28,135,78,22,49,17,1,13,14,24,96,1.52148335445915,2.51253534178443,0.0021063204464417,0.231773105536592
"11","GB41954",46,29,5,14,30,12,34,207,17,25,25,20,-2.51821308840884,3.15078843976135,0.00151159589233555,0.231773105536592
"12","GB42219",10,14,21,112,21,93,2,3,13,31,30,51,2.01490000766068,2.28056277486141,0.000854862089485049,0.231773105536592
"13","GB42327",29,41,381,112,36,127,28,5,71,45,42,117,1.41354566375366,3.43799820700999,0.00285566961039822,0.231773105536592
"14","GB42425",283,81,316,617,126,803,32,24,134,147,72,480,1.62573886167488,5.10202781700624,0.00139205955341498,0.231773105536592
"15","GB42469",43,45,351,133,35,88,21,14,64,29,130,63,1.40358495565533,3.45750523888863,0.00198909916883989,0.231773105536592
"16","GB42747",26,29,249,85,19,81,18,4,42,30,35,73,1.38217163726711,2.8812836298179,0.00218397122503726,0.231773105536592
"17","GB42924",86,51,173,198,34,285,23,12,55,46,33,144,1.36918455111764,3.67633239340879,0.00151307870785904,0.231773105536592
"18","GB43080",50,34,177,96,26,69,18,4,39,32,55,90,1.17808456601998,2.93612458243549,0.0026022953108434,0.231773105536592
"19","GB43189",54,32,201,110,22,197,31,11,39,38,37,197,1.48177524231529,3.42076899941195,0.0023493162513011,0.231773105536592
"20","GB43360",151,116,2303,597,128,713,206,49,166,230,126,429,1.60523885788253,5.68267833522798,0.00118047898917003,0.231773105536592
