"Gene","DataPlot"
"1",1
"2",7
"3",6
"4",18
"5",1
"6",1
"7",2
"8",18
"9",13
"10",10
"11",13
"12",7
"13",5
"14",18
"15",11
"16",11
"17",5
"18",5
"19",5
"20",9
"21",19
"22",15
"23",2
"24",15
"25",4
"26",1
"27",20
"28",14
"29",3
"30",10
"31",16
"32",8
"33",9
"34",1
"35",5
"36",14
"37",11
"38",20
"39",11
"40",14
"41",6
"42",19
"43",6
"44",5
"45",19
"46",16
"47",2
"48",16
"49",3
"50",11
"51",8
"52",2
"53",12
"54",20
"55",6
"56",2
"57",18
"58",8
"59",10
"60",7
"61",19
"62",3
"63",17
"64",19
"65",2
"66",12
"67",9
"68",16
"69",15
"70",9
"71",8
"72",19
"73",3
"74",1
"75",11
"76",16
"77",6
"78",10
"79",13
"80",2
"81",13
"82",11
"83",4
"84",1
"85",7
"86",6
"87",11
"88",3
"89",19
"90",14
"91",17
"92",20
"93",3
"94",11
"95",3
"96",11
"97",12
"98",15
"99",14
"100",2
