"","ID","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","logFC","logCPM","PValue","FDR"
"1","GB51642",47,38,117,138,58,115,206,404,400,921,594,878,-1.88994196695539,5.05741986758646,3.18784387319819e-09,1.35403668514093e-05
"2","GB55426",228,76,342,344,384,480,967,1283,2251,2090,2931,3869,-2.01726019111255,6.9678926640686,2.06411080125176e-09,1.35403668514093e-05
"3","GB48136",14,5,13,16,19,45,66,62,148,153,195,125,-1.88128419936665,2.89512865449432,1.37751333269283e-08,2.34039515224512e-05
"4","GB54144",3,4,11,16,22,14,181,65,110,90,83,56,-2.32398406718623,2.60030556799243,9.90775416955383e-09,2.34039515224512e-05
"5","GB55813",131,74,208,411,172,291,77,58,143,132,29,18,2.26619947282383,4.36468926303062,1.16978972408804e-08,2.34039515224512e-05
"6","GB53008",12,8,27,14,41,51,74,107,199,177,174,242,-1.82178891417329,3.28566276068614,5.11405924916081e-08,6.20627618880301e-05
"7","GB54240",97,152,147,231,120,153,95,101,91,103,93,43,1.74895480721084,4.16843100057113,4.45574017982252e-08,6.20627618880301e-05
"8","GB48885",147,278,114,278,134,98,78,112,106,45,59,67,2.32625728684531,4.44517182729976,8.30348735191134e-08,8.81726563181085e-05
"9","GB43456",15,8,22,24,19,87,77,130,235,166,383,201,-1.93788274764417,3.50297005515722,9.92255713461176e-08,9.36579142872521e-05
"10","GB41097",30,9,162,83,46,209,374,1699,298,1135,1229,476,-2.60816750279046,5.57233257816527,1.28601478324212e-07,0.000100141541218482
"11","GB48432",165,195,105,144,171,97,82,86,69,60,77,16,2.297858661235,4.17204966715873,1.29671212878552e-07,0.000100141541218482
"12","GB47118",48,7,50,68,42,92,101,163,364,306,567,692,-1.99336025343103,4.36235683245427,1.84230189544247e-07,0.000130419621681531
"13","GB45639",20,10,22,31,28,43,71,79,119,166,195,159,-1.48159593981135,3.07285708799236,2.07025269342413e-07,0.000135283051004907
"14","GB50828",58,24,44,50,40,123,104,236,375,418,462,374,-1.62012382096671,4.30012834327867,2.80584774724917e-07,0.000155518304440211
"15","GB54723",17,2,32,34,38,34,77,62,220,155,258,242,-1.85021319883726,3.30658846089314,2.92912639322351e-07,0.000155518304440211
"16","GB55490",96,36,184,159,148,296,333,421,735,1105,1123,1357,-1.65781014241581,5.65497218732954,2.63352651665273e-07,0.000155518304440211
"17","GB40594",18,11,39,47,33,53,62,103,294,142,241,247,-1.55850997231416,3.46014435534597,3.53721172930156e-07,0.00016693674244676
"18","GB44253",14,3,10,14,11,20,25,48,94,70,193,111,-1.96290353100112,2.4065839198774,3.36638721148254e-07,0.00016693674244676
"19","GB48400",74,72,90,176,83,94,68,74,95,46,68,66,1.41670241146613,3.5734635643239,4.57758823026434e-07,0.000204666379032082
"20","GB54148",114,178,97,428,161,89,77,126,137,55,85,71,1.94040042929455,4.35435530464876,5.33872818139037e-07,0.000226762479504556
"21","GB52046",22,7,26,39,24,53,58,104,177,121,217,265,-1.6123286082528,3.26964330149432,5.61333672835012e-07,0.000227072835749211
"22","GB41809",161,130,159,271,195,169,139,158,152,157,123,105,1.30556835455738,4.50939108110432,6.09082397527314e-07,0.00023484932185315
"23","GB46453",266,322,205,514,235,166,194,224,181,85,123,104,1.93014725151243,5.12248399695549,6.48369075968724e-07,0.00023484932185315
"24","GB50962",106,27,143,109,118,258,310,353,783,792,729,668,-1.42185369768566,5.23323538233893,6.91139852422453e-07,0.00023484932185315
"25","GB55578",95,45,113,106,114,243,223,413,720,432,865,750,-1.35451271446091,5.13740004462864,6.85456183777062e-07,0.00023484932185315
"26","GB41895",36,19,65,49,91,141,178,199,412,264,424,408,-1.4001621870667,4.30090003267232,7.80637396408833e-07,0.000243241557253991
"27","GB54722",8,7,20,18,24,50,47,47,185,154,260,170,-1.8944599653358,3.05550018638235,8.01737916787727e-07,0.000243241557253991
"28","GB55585",7,2,14,25,13,32,40,67,99,57,198,101,-1.77056782831574,2.50147491090019,7.791617011942e-07,0.000243241557253991
"29","GB52975",103,47,126,87,142,235,286,330,735,595,805,764,-1.34714573699514,5.19768757879067,8.33921971903009e-07,0.00024428162590745
"30","GB50033",217,299,222,648,279,246,170,282,308,167,197,132,1.58819480121987,5.27281485662578,8.78972316565821e-07,0.000248895660974222
"31","GB47036",20,12,30,35,35,81,59,106,274,187,320,280,-1.65496869968197,3.60127626591045,9.34810193734233e-07,0.000255321325091818
"32","GB50441",12,6,13,25,19,44,31,68,164,260,206,101,-1.94559806400132,3.00883313301096,9.61775444724918e-07,0.000255321325091818
"33","GB40531",29,9,21,43,36,42,74,92,176,131,196,208,-1.40041943964552,3.22962003138108,1.12876095132952e-06,0.00029057043277407
"34","GB49533",32,19,84,75,73,140,163,153,543,340,438,357,-1.40223748942237,4.35719406892274,1.3834601348479e-06,0.000345661583692144
"35","GB54150",29,10,73,59,63,101,113,127,459,242,471,397,-1.58946870381304,4.15709647969232,1.45232583509986e-06,0.000352500227690666
"36","GB44247",21,16,50,47,43,76,134,114,191,186,247,167,-1.20117247015095,3.53726665494193,1.53043558245311e-06,0.000361140285359421
"37","GB42147",34,21,40,37,49,66,113,141,268,140,199,302,-1.32298010232657,3.65913122367056,1.83624791089604e-06,0.000421592594677347
"38","GB54838",333,420,319,939,456,179,148,287,496,224,292,131,1.80427318260715,5.71427649790462,1.96474237220084e-06,0.000439223327680162
"39","GB46595",62,194,114,235,100,102,80,96,78,86,51,55,1.90711379895839,4.06282015340556,2.19932068316185e-06,0.000479057159063075
"40","GB44155",32,15,42,56,86,107,168,149,224,301,384,277,-1.34036523377406,4.01444930008963,2.32276231773526e-06,0.000493296647229026
"41","GB40313",93,59,158,185,165,256,424,348,838,613,557,682,-1.08008883921779,5.28269579397916,2.52344975703738e-06,0.000522846480147136
"42","GB47139",6,2,17,13,17,36,29,43,162,78,146,116,-1.80880864260052,2.50911203402168,3.2279006493707e-06,0.000652881333723908
"43","GB40629",40,10,49,54,73,154,106,268,564,226,406,491,-1.63029636775934,4.34679485237685,3.77858626066365e-06,0.000725581667506857
"44","GB48832",75,45,333,432,44,240,54,71,79,39,180,96,1.93814570985952,4.22648909646521,3.84357563717582e-06,0.000725581667506857
"45","GB55591",1002,364,919,796,1441,1946,3224,3164,6508,6022,7585,10119,-1.61986740294426,8.51051219151999,3.7085920971958e-06,0.000725581667506857
"46","GB41861",57,30,79,50,94,102,152,129,553,328,580,437,-1.43737290452022,4.46076098820464,3.93172747459372e-06,0.000726087497753776
"47","GB54280",123,98,181,331,120,234,143,172,128,109,163,143,1.17197560334465,4.4555966328835,4.22921732067339e-06,0.000764408534874902
"48","GB43077",158,63,245,188,276,419,490,592,1227,1000,1291,1246,-1.2673362716964,5.95175045360408,4.70161638431755e-06,0.000815106758873013
"49","GB51155",29,8,54,70,82,53,149,128,328,400,229,184,-1.4529885938687,3.9029240972524,4.61424621938447e-06,0.000815106758873013
"50","GB47614",27,11,38,45,46,139,147,152,307,257,299,219,-1.39763947095635,3.86883943564763,4.89737847307494e-06,0.000832064602575432
"51","GB48068",243,851,194,316,162,168,156,102,176,97,215,192,2.48888919868979,5.55455569883697,5.47326159520104e-06,0.000889777354891119
"52","GB49844",18,6,27,23,15,46,42,68,123,141,170,160,-1.51530685361509,2.88932776765391,5.38794296594888e-06,0.000889777354891119
"53","GB51546",33,8,28,38,18,70,55,121,171,161,299,333,-1.68026972182184,3.51710183426371,5.6560302724097e-06,0.000889777354891119
"54","GB52837",22,11,73,140,23,174,15662,391,138,126,268,466,-5.00818731537538,7.45473522019263,5.64398942696844e-06,0.000889777354891119
"55","GB47086",17,3,13,23,13,34,36,64,133,58,139,133,-1.57517797992456,2.55542490233012,6.18516739249182e-06,0.0009553272181676
"56","GB44117",43,4,37,26,40,90,98,125,276,193,377,340,-1.69440040272759,3.80239834459891,6.66417148440485e-06,0.00101093101357177
"57","GB43447",8,4,15,19,17,24,52,48,47,64,89,99,-1.38034322751297,2.19332496395162,7.19806574975162e-06,0.00105426842317483
"58","GB54226",18,14,14,19,25,35,81,90,83,83,118,174,-1.43341713818973,2.81570464911814,7.0943525822771e-06,0.00105426842317483
"59","GB44683",6932,8349,8549,19631,8617,4942,5015,7553,7970,3933,5226,4371,1.72021255885532,10.142974806972,7.5630255516285e-06,0.00105779512450321
