"","ID","NP.1","NP.2","NP.3","NP.5","NS.3","NS.6","NP.4","NP.6","NS.1","NS.2","NS.4","NS.5","logFC","logCPM","PValue","FDR"
"1","GB46453",266,322,205,514,235,166,194,224,181,85,123,104,1.73345997402245,5.12248399695549,7.20238388510105e-06,0.00852103332197299
"2","GB47036",20,12,30,35,35,81,59,106,274,187,320,280,-1.50466413203278,3.60127626591045,6.40556045068762e-06,0.00852103332197299
"3","GB48658",15,3,20,33,39,41,41,53,209,149,222,164,-1.66836135175734,3.06966997317632,6.81161169562861e-06,0.00852103332197299
"4","GB48885",147,278,114,278,134,98,78,112,106,45,59,67,1.9133685962588,4.44517182729976,8.02451637148722e-06,0.00852103332197299
"5","GB49732",29,13,70,42,68,121,98,99,493,332,525,338,-1.71468248612311,4.20152913134038,2.63776357505479e-06,0.00852103332197299
"6","GB52106",10,3,25,27,26,52,36,49,150,171,241,220,-1.88403708991808,3.09343638161467,4.07747130091825e-06,0.00852103332197299
"7","GB54722",8,7,20,18,24,50,47,47,185,154,260,170,-1.82979893345695,3.05550018638235,1.45218059170394e-06,0.00852103332197299
"8","GB54884",21,16,25,31,29,131,67,85,213,411,436,320,-1.96006038307454,3.90149525892589,6.97078239303761e-06,0.00852103332197299
"9","GB47139",6,2,17,13,17,36,29,43,162,78,146,116,-1.68737075314429,2.50911203402168,1.16868709982025e-05,0.00902545173906637
"10","GB50441",12,6,13,25,19,44,31,68,164,260,206,101,-1.71596369344591,3.00883313301096,1.0646698496426e-05,0.00902545173906637
"11","GB53644",53,10,67,65,82,253,142,173,679,455,746,479,-1.76612510683213,4.71351146243106,1.15013250081792e-05,0.00902545173906637
"12","GB45140",43,18,63,54,70,118,82,111,497,278,443,271,-1.43169970374302,4.11370808142844,1.70563064653958e-05,0.00938837299345551
"13","GB45967",30,10,55,34,46,106,79,109,260,258,392,388,-1.53459519597417,3.90564304886354,1.78105242395648e-05,0.00938837299345551
"14","GB46262",21,11,37,47,42,96,53,60,200,258,305,203,-1.57447562721586,3.52486911238966,2.09981267658216e-05,0.00938837299345551
"15","GB47118",48,7,50,68,42,92,101,163,364,306,567,692,-1.60393046709384,4.36235683245427,1.91166777509662e-05,0.00938837299345551
"16","GB49873",5,5,9,5,17,39,16,32,97,73,129,96,-1.95474393436355,2.21036965865283,1.99041836169845e-05,0.00938837299345551
"17","GB50204",47,20,102,76,105,267,99,167,615,436,685,414,-1.63020461946914,4.67055753261551,2.09788807335207e-05,0.00938837299345551
"18","GB54150",29,10,73,59,63,101,113,127,459,242,471,397,-1.42121209452807,4.15709647969232,1.3365377898772e-05,0.00938837299345551
"19","GB54151",122,50,135,141,204,333,275,330,1017,660,1374,781,-1.34225332754913,5.50970959944455,1.62684441343398e-05,0.00938837299345551
"20","GB55490",96,36,184,159,148,296,333,421,735,1105,1123,1357,-1.35164998926555,5.65497218732954,2.22089919542611e-05,0.00943326933257238
"21","GB41861",57,30,79,50,94,102,152,129,553,328,580,437,-1.30438142724602,4.46076098820464,2.44929967751326e-05,0.00948714901425496
"22","GB45138",65,19,117,100,89,286,200,271,647,519,820,1010,-1.51886975807739,5.10922601400194,2.72737425430673e-05,0.00948714901425496
"23","GB46725",11,5,23,21,20,44,41,36,97,149,165,190,-1.60717538139343,2.81691728051578,2.78551852913182e-05,0.00948714901425496
"24","GB48136",14,5,13,16,19,45,66,62,148,153,195,125,-1.31582172136479,2.89512865449432,3.20165953950184e-05,0.00948714901425496
"25","GB48835",254,305,294,471,226,249,230,322,265,214,234,171,1.27175130067957,5.30797025637066,3.33212588177467e-05,0.00948714901425496
"26","GB49533",32,19,84,75,73,140,163,153,543,340,438,357,-1.19507461234597,4.35719406892274,3.20031560536123e-05,0.00948714901425496
"27","GB51548",25,4,25,27,30,78,49,93,151,175,409,286,-1.70270511207169,3.49801557289752,3.38987811004974e-05,0.00948714901425496
"28","GB52779",105,31,219,114,231,409,314,391,1095,826,1462,1291,-1.54791107852118,5.75167944114183,2.68505302193126e-05,0.00948714901425496
"29","GB52810",18,5,48,68,47,131,51,63,284,318,578,181,-1.94274408176779,3.87519730178248,3.46205555552565e-05,0.00948714901425496
