"","ID","NP.1","NP.3","NP.4","NP.5","NP.6","NS.3","NP.2","NS.1","NS.2","NS.4","NS.5","NS.6","logFC","logCPM","PValue","FDR"
"1","GB43456",15,8,22,24,19,87,77,130,235,166,383,201,-2.03166091389001,3.50297005515722,2.54863521918733e-08,0.000216506561869964
"2","GB40629",40,10,49,54,73,154,106,268,564,226,406,491,-1.83916007521199,4.34679485237685,2.40895419346696e-07,0.000257849365406345
"3","GB46453",266,322,205,514,235,166,194,224,181,85,123,104,1.99821887481448,5.12248399695549,2.75823460341839e-07,0.000257849365406345
"4","GB47036",20,12,30,35,35,81,59,106,274,187,320,280,-1.82242867723567,3.60127626591045,9.45152077767175e-08,0.000257849365406345
"5","GB47118",48,7,50,68,42,92,101,163,364,306,567,692,-1.95583468200681,4.36235683245427,2.8672776019584e-07,0.000257849365406345
"6","GB48885",147,278,114,278,134,98,78,112,106,45,59,67,2.22878183347188,4.44517182729976,2.56774510087619e-07,0.000257849365406345
"7","GB50441",12,6,13,25,19,44,31,68,164,260,206,101,-2.11822140792589,3.00883313301096,1.36172768675834e-07,0.000257849365406345
"8","GB50828",58,24,44,50,40,123,104,236,375,418,462,374,-1.70733989239749,4.30012834327867,7.26429053564982e-08,0.000257849365406345
"9","GB51642",47,38,117,138,58,115,206,404,400,921,594,878,-1.65601430673015,5.05741986758646,1.58229593935103e-07,0.000257849365406345
"10","GB55578",95,45,113,106,114,243,223,413,720,432,865,750,-1.4022420607915,5.13740004462864,3.03530742091048e-07,0.000257849365406345
"11","GB48432",165,195,105,144,171,97,82,86,69,60,77,16,2.20939289250668,4.17204966715873,3.51318087705949e-07,0.000271313377732912
"12","GB53962",8,3,6,10,6,32,16,35,65,94,164,89,-2.37120151707153,2.20224652588916,4.550090923491e-07,0.000276093017107543
"13","GB54722",8,7,20,18,24,50,47,47,185,154,260,170,-1.93511518270859,3.05550018638235,4.48287184034652e-07,0.000276093017107543
"14","GB55426",228,76,342,344,384,480,967,1283,2251,2090,2931,3869,-1.68203027123511,6.9678926640686,4.3048728856921e-07,0.000276093017107543
"15","GB48136",14,5,13,16,19,45,66,62,148,153,195,125,-1.622349900014,2.89512865449432,5.4784680471577e-07,0.000310263907070698
"16","GB55490",96,36,184,159,148,296,333,421,735,1105,1123,1357,-1.60281756730536,5.65497218732954,6.13257727126011e-07,0.000325601524495967
"17","GB54884",21,16,25,31,29,131,67,85,213,411,436,320,-2.19133099873927,3.90149525892589,6.88597868879055e-07,0.000344096405654563
"18","GB47139",6,2,17,13,17,36,29,43,162,78,146,116,-1.9360169225701,2.50911203402168,7.95802465954443e-07,0.000375574552682389
"19","GB40594",18,11,39,47,33,53,62,103,294,142,241,247,-1.4942346583868,3.46014435534597,9.3422408444408e-07,0.000378200737687047
"20","GB44253",14,3,10,14,11,20,25,48,94,70,193,111,-1.86810576039395,2.4065839198774,1.06848942960437e-06,0.000378200737687047
"21","GB45138",65,19,117,100,89,286,200,271,647,519,820,1010,-1.78988713885602,5.10922601400194,1.01285311282602e-06,0.000378200737687047
"22","GB52046",22,7,26,39,24,53,58,104,177,121,217,265,-1.57218326568634,3.26964330149432,9.56244747652257e-07,0.000378200737687047
"23","GB53008",12,8,27,14,41,51,74,107,199,177,174,242,-1.61407568134258,3.28566276068614,9.28730039393069e-07,0.000378200737687047
"24","GB54148",114,178,97,428,161,89,77,126,137,55,85,71,1.88553010103131,4.35435530464876,1.04785151307856e-06,0.000378200737687047
"25","GB51548",25,4,25,27,30,78,49,93,151,175,409,286,-2.03223740049331,3.49801557289752,1.21390524126422e-06,0.000412485000981583
"26","GB51546",33,8,28,38,18,70,55,121,171,161,299,333,-1.8023921639949,3.51710183426371,1.32639537186966e-06,0.000433374180155106
"27","GB45733",47,19,38,57,64,157,99,179,409,211,491,415,-1.62970981372933,4.21312131946378,1.53263345203337e-06,0.000482211895371239
"28","GB52106",10,3,25,27,26,52,36,49,150,171,241,220,-1.97907056896468,3.09343638161467,1.64551679828654e-06,0.000499238042908719
"29","GB41680",36,40,67,73,58,207,155,174,447,459,612,505,-1.60147207389925,4.59260547787836,1.89903447880371e-06,0.000537743263247916
"30","GB45967",30,10,55,34,46,106,79,109,260,258,392,388,-1.71955697661305,3.90564304886354,1.86916924036692e-06,0.000537743263247916
"31","GB49844",18,6,27,23,15,46,42,68,123,141,170,160,-1.56665059408183,2.88932776765391,2.76776102568951e-06,0.00068490245407308
"32","GB53644",53,10,67,65,82,253,142,173,679,455,746,479,-1.90574088961177,4.71351146243106,2.5693357846217e-06,0.00068490245407308
"33","GB54150",29,10,73,59,63,101,113,127,459,242,471,397,-1.5391215345922,4.15709647969232,2.82184648529227e-06,0.00068490245407308
"34","GB54240",97,152,147,231,120,153,95,101,91,103,93,43,1.48913801630622,4.16843100057113,2.75065704973543e-06,0.00068490245407308
"35","GB54935",32,7,29,42,24,105,34,107,297,215,208,266,-1.94379059761511,3.54616448976328,2.68111119747589e-06,0.00068490245407308
"36","GB49732",29,13,70,42,68,121,98,99,493,332,525,338,-1.70198388652842,4.20152913134038,3.15777043978382e-06,0.000745146107943432
"37","GB50962",106,27,143,109,118,258,310,353,783,792,729,668,-1.32328585527035,5.23323538233893,3.54800968034704e-06,0.000793166900909161
"38","GB55585",7,2,14,25,13,32,40,67,99,57,198,101,-1.64457939989195,2.50147491090019,3.5103066304219e-06,0.000793166900909161
"39","GB41809",161,130,159,271,195,169,139,158,152,157,123,105,1.2078286381443,4.50939108110432,3.75377912570098e-06,0.000797208841820747
"40","GB54838",333,420,319,939,456,179,148,287,496,224,292,131,1.75225260524055,5.71427649790462,3.7150309907808e-06,0.000797208841820747
"41","GB42018",147,115,206,242,194,144,170,159,108,147,115,145,1.27482893504722,4.48189217383555,4.0531685264129e-06,0.000839796747118966
"42","GB41097",30,9,162,83,46,209,374,1699,298,1135,1229,476,-2.22431489696371,5.57233257816527,4.72553343843527e-06,0.000873468819145724
"43","GB41727",38,6,48,55,38,122,109,176,251,221,427,278,-1.52783740332215,3.91615352222696,4.55414615893601e-06,0.000873468819145724
"44","GB43575",51,25,158,150,114,311,255,375,488,732,1443,674,-1.63689467808679,5.30330865460878,4.31897983264128e-06,0.000873468819145724
"45","GB49533",32,19,84,75,73,140,163,153,543,340,438,357,-1.32200289105866,4.35719406892274,4.72978995652776e-06,0.000873468819145724
"46","GB52975",103,47,126,87,142,235,286,330,735,595,805,764,-1.24944190789393,5.19768757879067,4.50572798811328e-06,0.000873468819145724
"47","GB45208",211,224,181,503,228,134,175,255,221,114,127,111,1.62918521315792,4.9382665156885,5.16052307938709e-06,0.000932737097008369
"48","GB48922",950,761,839,1737,1064,603,671,889,793,485,518,254,1.7151623160851,6.89462626220904,5.53990849161346e-06,0.00098044838825534
"49","GB40312",105,36,177,224,158,394,248,389,903,836,1025,933,-1.42797572997768,5.52779225139625,6.06269769053522e-06,0.00101678893815616
"50","GB41733",950,1190,850,2376,971,628,648,978,956,484,596,510,1.76346505012782,7.14893508334385,7.19578814415146e-06,0.00101678893815616
"51","GB41895",36,19,65,49,91,141,178,199,412,264,424,408,-1.26373694728385,4.30090003267232,7.16883642482212e-06,0.00101678893815616
"52","GB42615",464,661,412,1167,471,365,448,528,432,232,336,280,1.74653794794638,6.21490150909243,6.30631296722821e-06,0.00101678893815616
"53","GB43145",44,11,56,31,42,79,49,114,317,234,442,246,-1.64913285452891,3.81193228344923,8.60161774790086e-06,0.00101678893815616
"54","GB43579",46,28,179,233,109,313,249,278,888,1194,1015,885,-1.68780185006471,5.4851424441656,7.63897338475488e-06,0.00101678893815616
"55","GB43612",9,1,14,8,8,28,24,33,67,68,118,81,-1.76173963152768,2.04640255642521,8.15471833264987e-06,0.00101678893815616
"56","GB44041",2,5,4,9,8,27,4,35,116,32,76,73,-2.48706082431004,1.80156510293795,6.70292368650625e-06,0.00101678893815616
"57","GB44178",16,9,44,24,26,67,46,67,229,144,209,277,-1.70876680799079,3.31557737655734,6.6461191398804e-06,0.00101678893815616
"58","GB44683",6932,8349,8549,19631,8617,4942,5015,7553,7970,3933,5226,4371,1.72213986925695,10.142974806972,7.39647614050049e-06,0.00101678893815616
"59","GB44937",212,108,341,335,322,264,263,220,191,248,205,137,1.13912961067894,5.01645883511122,8.3993500849605e-06,0.00101678893815616
"60","GB46196",62,22,71,105,93,171,157,192,462,400,540,398,-1.24176912740893,4.52733725675129,7.84102276576699e-06,0.00101678893815616
"61","GB46595",62,194,114,235,100,102,80,96,78,86,51,55,1.79031570488278,4.06282015340556,7.91257540353228e-06,0.00101678893815616
"62","GB47086",17,3,13,23,13,34,36,64,133,58,139,133,-1.54972671959799,2.55542490233012,8.52817474812985e-06,0.00101678893815616
"63","GB47597",95,78,149,216,98,69,91,112,101,99,88,86,1.29625942427874,3.90137044161689,8.73756238792223e-06,0.00101678893815616
"64","GB47614",27,11,38,45,46,139,147,152,307,257,299,219,-1.36207373772503,3.86883943564763,8.33950649606058e-06,0.00101678893815616
"65","GB48068",243,851,194,316,162,168,156,102,176,97,215,192,2.45659099513225,5.55455569883697,7.05704356000847e-06,0.00101678893815616
"66","GB48400",74,72,90,176,83,94,68,74,95,46,68,66,1.2543895128573,3.5734635643239,7.81461050482703e-06,0.00101678893815616
"67","GB48956",9813,19572,6637,15708,10661,4239,5680,7514,9317,3930,4751,5064,2.21376417334871,10.5521696367375,7.91421074471267e-06,0.00101678893815616
"68","GB49873",5,5,9,5,17,39,16,32,97,73,129,96,-2.09516913626962,2.21036965865283,7.12868011911675e-06,0.00101678893815616
"69","GB50033",217,299,222,648,279,246,170,282,308,167,197,132,1.43415491834543,5.27281485662578,8.1021655470911e-06,0.00101678893815616
"70","GB50406",44,10,56,47,62,135,126,145,341,236,458,382,-1.46672037471282,4.12057657395263,7.86161835528733e-06,0.00101678893815616
"71","GB53935",155,295,184,374,161,154,192,194,180,108,123,120,1.6846287965266,4.86174539533302,8.71782976641493e-06,0.00101678893815616
"72","GB55298",3248,5350,2598,6953,3371,1939,1958,2838,3483,1552,1797,1517,1.96853152026363,8.95863566851069,7.58529893804457e-06,0.00101678893815616
"73","GB55782",3519,7611,2358,8725,3295,1651,1947,2998,3408,1314,1850,1877,2.27137791988605,9.19321365847679,7.25156936739839e-06,0.00101678893815616
"74","GB42924",23,12,55,46,33,144,117,260,158,200,427,231,-1.54467449447007,3.88823957405175,9.57745223596986e-06,0.00107053618901972
"75","GB47266",249,168,308,432,235,205,294,295,235,204,206,158,1.25983625463642,5.11962015280084,9.76829137016959e-06,0.00107053618901972
"76","GB50505",27,8,59,61,31,117,67,140,192,199,352,391,-1.65856407450085,3.82128397222006,9.82681606687207e-06,0.00107053618901972
"77","GB51163",50,9,50,49,60,300,111,253,340,330,1034,302,-2.11741254586929,4.56324171262494,9.72227204199563e-06,0.00107053618901972
"78","GB53396",25,13,39,37,43,77,60,80,231,154,308,282,-1.48508208946819,3.54053606175877,9.82952592625524e-06,0.00107053618901972
"79","GB41894",23,8,39,39,70,108,105,144,281,179,326,306,-1.44883334114482,3.80411788203375,9.9584702955061e-06,0.00107085069823195
"80","GB40504",28,12,55,81,68,113,109,148,304,230,366,359,-1.31111196586689,4.01233016518462,1.00967876798347e-05,0.00107215264175245
"81","GB44117",43,4,37,26,40,90,98,125,276,193,377,340,-1.6505041739487,3.80239834459891,1.03323292894312e-05,0.00108361897918171
"82","GB53568",14745,23289,13000,37341,16805,7981,11359,14769,15791,6011,8704,9035,1.97870900701831,11.2097599982809,1.06076999856741e-05,0.0010868731816894
"83","GB54151",122,50,135,141,204,333,275,330,1017,660,1374,781,-1.37368818461485,5.50970959944455,1.06192435644756e-05,0.0010868731816894
"84","GB43187",2096,3169,2175,5955,2419,1492,1818,2221,2520,1053,1569,1491,1.79766631196704,8.48109734300654,1.09141421506829e-05,0.00110375759011966
"85","GB40335",59,8,122,77,55,311,162,366,346,518,923,648,-1.91858513762558,4.90973931590007,1.11890705211731e-05,0.00110524597764379
"86","GB52239",192,56,294,275,257,898,520,881,1516,1307,1989,2002,-1.63773461814764,6.42455299535421,1.11752507318713e-05,0.00110524597764379
"87","GB42895",61,10,86,103,74,297,152,364,497,389,744,330,-1.64954288347207,4.71370969007337,1.18040088887812e-05,0.00110858444367505
"88","GB43442",245,191,260,461,256,169,226,304,237,184,185,219,1.26363173629828,5.10916063370152,1.18753601382495e-05,0.00110858444367505
"89","GB44931",190,214,220,640,240,210,224,257,302,167,203,153,1.32193542803997,5.13523657828824,1.1360005863747e-05,0.00110858444367505
"90","GB50210",561,652,520,1323,601,389,510,562,706,331,363,411,1.59203429856225,6.41812792811879,1.15547419064064e-05,0.00110858444367505
"91","GB51207",8,4,28,17,29,62,31,59,141,137,174,123,-1.73556251526656,2.82747244955038,1.16541398868871e-05,0.00110858444367505
"92","GB48658",15,3,20,33,39,41,41,53,209,149,222,164,-1.62433852677939,3.06966997317632,1.25448595658324e-05,0.00112177454749207
"93","GB50020",26,8,51,51,47,91,85,104,243,233,375,203,-1.39083637546221,3.69860179206329,1.22206611954542e-05,0.00112177454749207
"94","GB52469",51,14,71,103,78,273,140,276,362,395,881,307,-1.64821709192818,4.63157057376797,1.25425145112278e-05,0.00112177454749207
"95","GB55293",52,33,88,80,98,242,157,191,420,426,601,481,-1.35875454305026,4.63873697262371,1.24839638537722e-05,0.00112177454749207
"96","GB53589",10,3,15,23,5,64,7,50,110,92,229,93,-2.4256833274185,2.5782560590746,1.28921513645086e-05,0.00114082110251564
"97","GB43786",118,23,161,150,160,332,236,380,935,656,1294,621,-1.45757776051999,5.40147901264147,1.31430658436702e-05,0.00114964920179255
"98","GB45639",20,10,22,31,28,43,71,79,119,166,195,159,-1.21707515561904,3.07285708799236,1.32625805504026e-05,0.00114964920179255
"99","GB45140",43,18,63,54,70,118,82,111,497,278,443,271,-1.45298129638703,4.11370808142844,1.33995036458879e-05,0.00114978569163452
"100","GB55463",149,77,210,255,210,522,257,583,938,797,1349,1120,-1.3149470085397,5.80986459917561,1.36048596657048e-05,0.00115573282860162
"101","GB53206",60,23,71,57,72,163,139,137,414,394,481,414,-1.36398034684267,4.38896080877559,1.41513922707395e-05,0.00119025819148448
"102","GB50870",534,866,670,1540,629,544,512,690,633,380,523,447,1.57065715402379,6.64381577893485,1.46202601169244e-05,0.0012089860409727
"103","GB52779",105,31,219,114,231,409,314,391,1095,826,1462,1291,-1.60143566441364,5.75167944114183,1.4658688901729e-05,0.0012089860409727
"104","GB49085",209,342,271,447,250,250,305,290,201,193,200,160,1.48790585342975,5.29338709074705,1.53770024132001e-05,0.00125603495673207
"105","GB42011",72,42,99,134,124,66,102,85,70,79,70,57,1.25967475804659,3.51656804800696,1.59939553243719e-05,0.00127356605805603
"106","GB43077",158,63,245,188,276,419,490,592,1227,1000,1291,1246,-1.19038711923434,5.95175045360408,1.63412242881821e-05,0.00127356605805603
"107","GB44600",224,230,252,589,280,230,230,293,300,224,255,221,1.17190060670678,5.26945106065014,1.58312768099065e-05,0.00127356605805603
"108","GB46725",11,5,23,21,20,44,41,36,97,149,165,190,-1.66461925089067,2.81691728051578,1.61676848034686e-05,0.00127356605805603
"109","GB50204",47,20,102,76,105,267,99,167,615,436,685,414,-1.65527554472271,4.67055753261551,1.63216632086662e-05,0.00127356605805603
"110","GB48958",4127,6206,3356,10660,4285,2668,2823,4248,4591,1914,2495,2206,1.85768795103872,9.34170863968327,1.6577599393721e-05,0.00128024278954236
"111","GB45476",3988,5063,3440,9273,4590,2223,2635,3835,4736,1963,2592,2485,1.75291422599926,9.21883759479097,1.6806976196812e-05,0.00128626362875602
"112","GB54040",34,6,41,41,41,95,52,91,253,195,371,208,-1.60906516556657,3.60192520210626,1.70714688967641e-05,0.00129484043105367
"113","GB45610",220,157,227,273,414,222,241,259,232,218,192,173,1.14645481829533,5.03970359354823,1.7746172442789e-05,0.00132174470908067
"114","GB53032",369,525,524,842,593,395,373,519,527,403,362,191,1.42212406495112,6.1059201882453,1.78929536838466e-05,0.00132174470908067
"115","GB53037",874,1610,1109,3400,998,797,933,1099,1248,573,790,726,1.77139975506261,7.48186923374907,1.76835947756224e-05,0.00132174470908067
"116","GB46689",66,33,138,153,134,250,238,273,653,548,659,524,-1.1208157543667,4.9907818420846,1.83805537005133e-05,0.00133735041271749
"117","GB49900",17,9,27,13,10,27,30,45,224,94,153,155,-1.72005061679354,2.79098233451939,1.85128466675724e-05,0.00133735041271749
"118","GB50827",34,21,18,41,31,91,48,138,232,175,195,222,-1.49294128484184,3.47509145750264,1.88913536817067e-05,0.00133735041271749
"119","GB51134",23,17,44,36,56,139,91,108,252,223,323,261,-1.4438829052007,3.77905782594664,1.88753235635822e-05,0.00133735041271749
"120","GB52685",1948,2942,1873,3852,2070,1113,1627,2090,1986,1119,1362,1195,1.784650181736,8.24719304059704,1.88368432710328e-05,0.00133735041271749
"121","GB45131",8,3,15,22,27,42,39,50,92,121,158,100,-1.49702994264234,2.58468914541363,1.97319766933919e-05,0.00138531522322615
"122","GB45629",5611,9722,5301,17537,6774,4700,4675,5870,7459,3471,4871,3743,1.77115185956396,10.0012426146657,2.02408588229082e-05,0.00140939422705414
"123","GB47319",58,17,48,58,46,183,111,180,287,248,502,283,-1.4407453858838,4.13335213978153,2.04608755210088e-05,0.00141013354394478
"124","GB55469",46,12,50,32,31,128,99,118,347,201,396,239,-1.50600664040967,3.86049748490806,2.05834678574635e-05,0.00141013354394478
"125","GB45812",33,12,47,54,77,152,96,146,270,242,326,346,-1.40911464708218,3.97542996974829,2.1240502021979e-05,0.00143204813235485
"126","GB49872",46,8,45,49,51,89,94,116,307,210,396,245,-1.34386614861991,3.82505406066329,2.11859775453032e-05,0.00143204813235485
"127","GB45388",51,48,75,98,106,241,201,298,456,318,566,439,-1.14243644399392,4.67865637454809,2.28707564649755e-05,0.00145063108365328
"128","GB46254",388,477,475,1078,539,329,382,465,628,421,472,268,1.35435550077636,6.12854132493828,2.23949886834818e-05,0.00145063108365328
"129","GB47277",13,3,15,20,23,43,27,56,106,83,133,81,-1.4506506240337,2.43958686992324,2.28822325143661e-05,0.00145063108365328
