"","ID","NP.1","NP.3","NS.1","NS.2","NS.3","NS.6","NP.2","NP.4","NP.5","NP.6","NS.4","NS.5","logFC","logCPM","PValue","FDR"
"1","GB52837",22,11,73,140,23,174,15662,391,138,126,268,466,4.07135662234062,7.45473522019263,0.000114667681671875,0.974101955802578
"2","GB40007",103,90,115,112,219,836,158,327,617,377,867,899,-0.729314472955533,5.42224663994636,0.0845546112315482,1
"3","GB40008",930,492,692,1210,1370,1362,2042,2119,4503,1995,3132,2608,0.316510997043844,7.71097387108835,0.276783300525621,1
"4","GB40009",331,3020,265,382,775,903,1608,801,719,772,634,710,1.87711767712106,7.39567097349249,0.00453742144601391,1
"5","GB40010",1016,3610,1179,1129,2279,2936,3653,3518,7477,4915,6617,8976,0.514542496965231,8.91163370646109,0.260588375516828,1
"6","GB40012",25,28,25,134,68,66,30,185,184,77,226,158,-0.245138896156595,3.48782550173481,0.518143746020743,1
"7","GB40013",76,173,66,1846,119,63,29,140,393,52,133,84,-1.08926780066284,5.12463886652223,0.0999751192870157,1
"8","GB40014",62,24,125,128,137,168,148,206,311,250,435,266,-0.284169748748466,4.37437796018524,0.239343621112815,1
"9","GB40015",9,5,45,45,40,59,43,61,112,81,143,85,-0.449611319444477,2.75269054846835,0.139371154424055,1
"10","GB40017",42,40,55,72,91,117,95,98,207,157,279,190,-0.155576379294571,3.77896467470447,0.566508711064538,1
"11","GB40018",183,152,325,396,294,274,368,287,263,251,229,201,-0.000290293378112759,5.17285296812847,0.990889383124164,1
"12","GB40019",107,60,193,848,124,266,160,297,433,402,552,272,-0.600412078852686,5.14985694178846,0.0957467651822228,1
"13","GB40020",25,24,69,139,54,61,78,84,194,144,200,115,-0.178602015042284,3.48709084878878,0.519308470672623,1
"14","GB40021",5018,2043,12947,11356,11967,8476,11419,11906,18420,26251,12924,23691,-0.18059620622624,10.5451277561657,0.603223885960174,1
"15","GB40022",151,58,168,189,129,311,116,150,106,149,278,118,-0.393976248023007,4.38151760485509,0.153366178438046,1
"16","GB40027",23,45,42,64,63,61,34,119,250,60,84,155,0.24684718321035,3.29556133220289,0.504754805004279,1
"17","GB40028",44,36,107,94,100,83,109,98,187,120,114,124,-0.0318028651466597,3.63601918674208,0.891981599551217,1
"18","GB40029",18,11,29,29,28,54,19,32,97,62,97,51,-0.195122310007954,2.36179266248726,0.548439543417729,1
"19","GB40030",82,34,96,293,68,99,90,143,161,119,151,143,-0.298708390138886,3.92524168881282,0.316156169649329,1
"20","GB40031",478,262,819,1205,535,1139,787,809,865,931,859,700,-0.226173223437995,6.61208395118564,0.400380046480825,1
"21","GB40032",265,514,338,639,298,290,336,385,345,261,273,260,0.551835284600652,5.73438891169407,0.11550983418661,1
"22","GB40033",216,278,290,605,339,320,322,437,581,413,458,508,0.108407709852575,5.67926068399754,0.665734096128021,1
"23","GB40047",6,24,26,45,21,20,23,64,36,29,33,23,0.282496855134573,1.9568085428106,0.463532002397324,1
"24","GB40054",3058,2397,1592,2415,2684,2655,4549,3160,2846,2779,3125,2631,0.736581259614001,8.62108876730166,0.048913730819778,1
"25","GB40056",153,76,227,341,191,251,308,290,286,224,343,317,-0.161878835601346,4.94721194962735,0.47920540302293,1
"26","GB40057",308,247,357,434,496,554,882,684,869,782,1023,675,0.279001719954232,6.19193056168989,0.263333562680879,1
"27","GB40058",50,59,28,34,68,44,110,74,75,83,63,66,0.914573972737323,3.10866732078713,0.0178590580151978,1
"28","GB40061",5,7,10,15,13,42,19,32,86,64,63,85,-0.0602713908303016,2.04331716329846,0.86222478888078,1
"29","GB40063",74,76,146,245,177,126,228,255,208,166,182,185,0.0344204823279255,4.43613738984763,0.894770540306191,1
"30","GB40064",32,17,76,189,26,476,126,217,167,84,353,158,-0.950603867862279,4.16859324101816,0.0527608197502255,1
"31","GB40067",56,26,97,123,99,141,122,133,269,185,296,254,-0.281601459825785,4.07416819740715,0.226939401545276,1
"32","GB40069",2,6,19,13,101,15,93,37,99,61,77,169,-0.464092969387189,2.71749118164359,0.380363471928032,1
"33","GB40070",108,37,162,167,139,160,152,186,184,159,192,158,-0.143013523855701,4.2257623582102,0.523018906951176,1
"34","GB40071",99,54,130,211,153,158,170,197,302,215,287,255,-0.0897430503618895,4.46548255856056,0.668267954593267,1
"35","GB40072",199,137,411,798,368,428,471,542,711,552,667,436,-0.204814875062541,5.83022204806357,0.398213943003446,1
"36","GB40073",523,252,574,1263,586,732,829,1047,1076,655,1047,826,-0.0447805473017565,6.58554823868775,0.871082234091037,1
"37","GB40074",56,274,133,76,184,78,268,178,282,252,312,283,0.816085626995908,4.76754927888884,0.0699716641598961,1
"38","GB40075",26,11,40,42,50,111,54,85,244,174,294,219,-0.305748215000423,3.55290309582461,0.349403355529292,1
"39","GB40076",42,33,201,207,166,160,102,152,932,157,201,669,-0.406537033909229,4.73795997536859,0.338740261915489,1
"40","GB40077",1281,474,1039,1472,638,3187,1199,2661,2934,3622,6269,3784,-0.195084426543896,8.02486729006196,0.597252617540705,1
"41","GB40080",8,38,20,28,34,23,15,59,95,19,24,45,0.620322805844756,2.17202754486622,0.179864163874699,1
"42","GB40083",203,184,301,533,2470,264,1271,375,1464,431,433,497,-0.391384373551703,6.47326385708796,0.467806038882987,1
"43","GB40084",16,24,56,106,83,53,56,93,161,78,111,117,-0.307217132394898,3.22599886329486,0.29642449601811,1
"44","GB40089",118,205,111,126,211,191,191,284,566,220,306,401,0.537072040232744,4.94325375322896,0.110352261217087,1
"45","GB40091",27,19,46,68,34,68,34,63,111,95,142,142,-0.373567350549892,3.03008513706778,0.209319893562066,1
"46","GB40092",82,57,338,372,177,675,610,1193,759,1076,1746,511,0.022820833416115,6.04065451350463,0.955725207976904,1
"47","GB40094",98,52,94,127,126,109,155,121,89,78,165,170,-0.0935041933742019,3.91286884802589,0.776161214025724,1
"48","GB40095",128,153,116,122,143,175,311,318,350,314,319,489,0.523858734629542,4.91139342437506,0.0770689442592826,1
"49","GB40098",83,56,125,149,131,160,239,191,223,171,171,245,0.0953622100226549,4.31054481060499,0.686016572030767,1
"50","GB40101",19,46,44,62,53,44,41,63,73,48,52,57,0.135021474491758,2.75505650246604,0.62866782207201,1
"51","GB40102",101,43,164,206,173,197,213,230,191,235,218,142,-0.0636278924427112,4.43914349739309,0.783410224278232,1
"52","GB40106",69,34,78,92,219,84,354,123,247,148,151,140,0.35412120602323,4.14412323628066,0.336095364286589,1
"53","GB40107",68,39,110,140,108,77,115,138,144,113,138,131,-0.0673734630456414,3.78734371328665,0.794055686045985,1
"54","GB40108",791,465,1478,2451,1293,1662,1738,2000,2502,1962,2574,1716,-0.175826521652737,7.67062716174116,0.524545600305591,1
"55","GB40109",595,779,535,634,660,629,971,1119,1038,1184,1466,1762,0.455497688914782,6.93351685503162,0.193962804021055,1
"56","GB40110",32,14,16,25,22,12,20,37,46,29,25,57,0.449781390286812,1.89152108146996,0.212466572792471,1
"57","GB40112",123,68,173,100,200,121,222,166,488,333,444,234,0.241105697075021,4.69038364084053,0.382736686585716,1
"58","GB40113",571,383,887,1220,728,1161,1004,1200,1540,1491,1745,1190,-0.0239692986741002,7.03018327857281,0.92787644038622,1
"59","GB40114",83,7,49,96,119,112,71,148,127,170,391,94,-0.327533537665372,3.7857335331442,0.39334303923595,1
"60","GB40118",59,110,101,200,221,110,39,439,731,185,124,337,0.451612716063853,4.68210278528375,0.316253043974718,1
"61","GB40119",189,84,219,266,144,553,245,278,304,328,458,473,-0.342444478502956,5.15257416725236,0.206765780583244,1
