"","ID","NP.1","NP.3","NP.5","NS.1","NS.2","NS.6","NP.2","NP.4","NP.6","NS.3","NS.4","NS.5","logFC","logCPM","PValue","FDR"
"1","GB40007",103,90,115,112,219,836,158,327,617,377,867,899,-0.943402995859056,5.42224663994636,0.0261889343205048,0.796906866109146
"2","GB40009",331,3020,265,382,775,903,1608,801,719,772,634,710,1.74885045068593,7.39567097349249,0.00793494029696833,0.796906866109146
"3","GB40015",9,5,45,45,40,59,43,61,112,81,143,85,-0.497880430868621,2.75269054846835,0.110035026729795,0.796906866109146
"4","GB40019",107,60,193,848,124,266,160,297,433,402,552,272,-0.709422413964602,5.14985694178846,0.0496355351140493,0.796906866109146
"5","GB40032",265,514,338,639,298,290,336,385,345,261,273,260,0.827311430175859,5.73438891169407,0.019064323104871,0.796906866109146
"6","GB40054",3058,2397,1592,2415,2684,2655,4549,3160,2846,2779,3125,2631,0.721690255021084,8.62108876730166,0.0536245917742458,0.796906866109146
"7","GB40058",50,59,28,34,68,44,110,74,75,83,63,66,0.706561131553112,3.10866732078713,0.0661897053755809,0.796906866109146
"8","GB40061",5,7,10,15,13,42,19,32,86,64,63,85,-0.62406631762234,2.04331716329846,0.0874074262373039,0.796906866109146
"9","GB40064",32,17,76,189,26,476,126,217,167,84,353,158,-0.827805541703206,4.16859324101816,0.0908819650435696,0.796906866109146
"10","GB40074",56,274,133,76,184,78,268,178,282,252,312,283,0.762300129256542,4.76754927888884,0.0900725889260093,0.796906866109146
"11","GB40075",26,11,40,42,50,111,54,85,244,174,294,219,-0.745137613886273,3.55290309582461,0.0258478895575596,0.796906866109146
"12","GB40080",8,38,20,28,34,23,15,59,95,19,24,45,0.789731731716493,2.17202754486622,0.090914875353676,0.796906866109146
"13","GB40091",27,19,46,68,34,68,34,63,111,95,142,142,-0.484344167433525,3.03008513706778,0.101550534124961,0.796906866109146
"14","GB40114",83,7,49,96,119,112,71,148,127,170,391,94,-0.632647170285687,3.7857335331442,0.10145743670179,0.796906866109146
"15","GB40126",71,11,73,68,116,117,118,148,308,250,401,318,-0.532060573237489,4.15639517440965,0.0797426708394475,0.796906866109146
"16","GB40151",144,56,209,447,190,352,287,395,556,520,825,515,-0.485699305406465,5.37053746876952,0.0550222755254975,0.796906866109146
"17","GB40162",40,14,64,67,72,200,145,171,285,179,366,319,-0.521362300813924,4.09159297839006,0.0881169092178874,0.796906866109146
"18","GB40166",153,16,82,94,83,306,159,170,316,323,694,357,-0.62833380877788,4.63521630329461,0.104351692576277,0.796906866109146
"19","GB40211",83,63,102,142,77,81,108,149,142,104,106,116,0.50534969755298,3.7995225724431,0.0536601548234853,0.796906866109146
"20","GB40221",30,6,50,70,50,94,27,79,128,82,168,104,-0.57790922764364,3.06490471176494,0.0852708796230387,0.796906866109146
"21","GB40226",109,108,123,199,166,146,200,280,276,150,206,189,0.447730659489121,4.52014186272272,0.0822593231282302,0.796906866109146
"22","GB40251",11,10,20,11,18,63,21,20,91,74,102,74,-0.672740782197836,2.28047984342983,0.100675855763064,0.796906866109146
"23","GB40283",51,29,97,79,98,127,102,128,312,315,358,265,-0.478418387535558,4.15174537860144,0.0701101041673904,0.796906866109146
"24","GB40306",245,392,177,234,273,278,411,270,277,204,179,324,0.956468229233892,5.36399389024927,0.0142832377104153,0.796906866109146
"25","GB40312",105,36,177,224,158,394,248,389,903,836,1025,933,-0.747032627956897,5.52779225139625,0.0156818775224444,0.796906866109146
"26","GB40318",60,52,56,85,66,67,113,101,126,85,116,94,0.448587650732394,3.45414480324887,0.0926331614808205,0.796906866109146
"27","GB40335",59,8,122,77,55,311,162,366,346,518,923,648,-0.973790650071648,4.90973931590007,0.0213482688891714,0.796906866109146
"28","GB40338",70,36,89,84,65,74,89,84,64,55,83,58,0.533116151842004,3.26716945662629,0.0546938163532688,0.796906866109146
"29","GB40349",202,389,250,629,233,324,317,377,307,285,273,257,0.5416254213454,5.52937716524743,0.10103012527947,0.796906866109146
"30","GB40396",62,28,64,74,51,70,80,102,87,78,70,79,0.421870582608941,3.18647506404609,0.110639804515,0.796906866109146
"31","GB40410",78,39,112,196,149,337,129,200,294,403,762,170,-0.879541323594551,4.70573602157749,0.00975874664546366,0.796906866109146
"32","GB40446",154,107,160,180,186,186,225,207,310,199,248,195,0.403629483107361,4.66069446393063,0.0791872265413355,0.796906866109146
"33","GB40451",533,88,414,562,320,1140,454,928,1105,1399,3012,1248,-0.690774972880319,6.63987757132482,0.0724991980480437,0.796906866109146
"34","GB40452",55,16,104,100,91,150,87,138,448,324,445,329,-0.560171033904458,4.31321167870814,0.0714209536521527,0.796906866109146
"35","GB40478",12,10,17,35,18,46,9,31,67,32,74,117,-0.808178858677235,2.18270042627642,0.0527726397459543,0.796906866109146
"36","GB40496",12,5,54,60,39,93,42,74,195,163,282,137,-0.838000977124863,3.32464757435805,0.0271171391567561,0.796906866109146
"37","GB40498",252,124,403,417,566,1048,684,871,1553,1414,2099,1985,-0.701940660213334,6.65383134084166,0.0279381409559613,0.796906866109146
