"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40013",170,458,213,312,194,295,31,24,97,50,23,158,2.58660243345862,3.92446444009386,5.12425823836953,0.000173014076050486,0.712739538723623,-1.39074552318715
"2","GB42225",31,26,22,13,19,25,18,10,11,10,12,11,1.06319584270336,1.15642496072542,4.55156480134496,0.000494102530834763,0.712739538723623,-2.83917218797561
"3","GB42792",7508,17042,7756,11758,6190,5621,4111,2453,3726,2453,3534,5423,1.53552286552044,9.52426765506682,4.21578655645609,0.000930784972228084,0.712739538723623,-2.38655344995388
"4","GB43378",18,11,11,4,17,32,53,30,36,18,34,49,-1.14569098701027,1.55581492606078,-4.42335673140685,0.000628353348155825,0.712739538723623,-2.75552440173675
"5","GB44442",84,65,56,43,58,50,43,27,14,32,31,31,1.18790182793335,2.46395630343232,4.5383303307095,0.000506471466085949,0.712739538723623,-2.30265681908879
"6","GB44561",152,297,103,112,124,397,36,30,65,66,26,160,1.91251270182771,3.67644769791739,4.23626663303409,0.000895214033154261,0.712739538723623,-2.01401115833878
"7","GB45763",190,386,220,354,147,149,31,28,56,75,23,186,2.31239537965956,3.84162152185335,4.1979418983717,0.000962961338953138,0.712739538723623,-2.03407356483998
"8","GB46597",211,205,182,136,215,239,238,89,99,89,103,202,0.787319991738801,4.40058945840858,4.94516104084719,0.00023914579745425,0.712739538723623,-1.08817254481185
"9","GB50471",60,27,51,19,57,76,131,77,84,62,75,126,-0.801442164500628,3.08003097485432,-4.48384467207937,0.000560859748983075,0.712739538723623,-2.04820131558435
"10","GB50943",2688,6010,2515,3659,2376,2908,1658,740,1707,1051,1029,2315,1.48700210805095,8.1059682238022,4.28256776905607,0.000819853022858383,0.712739538723623,-2.06158051789711
"11","GB52036",240,680,386,383,208,341,156,61,107,101,71,299,1.77466172706908,4.74433378960751,4.50164622460372,0.000542456172038356,0.712739538723623,-1.46980390351971
"12","GB53823",12,8,8,3,11,17,37,27,13,12,26,32,-1.11589139674573,0.976704567427104,-4.34980799213454,0.000721845496525403,0.712739538723623,-2.99578348541621
"13","GB55086",52,53,31,58,33,59,3,4,12,17,6,38,2.43181545077187,1.52201434735098,4.55549776633271,0.000490487257158551,0.712739538723623,-2.75191615632092
"14","GB51435",20,27,25,16,12,17,11,3,3,12,8,8,1.5836720396079,0.655682228073323,4.15474377971371,0.00104566807868184,0.718672732362622,-3.17698114190513
"15","GB46924",25,39,23,28,19,32,12,9,10,5,14,27,1.32454718517284,1.27804925995068,4.10014700878226,0.00116072865967947,0.744568744229059,-2.99841226938788
"16","GB51089",377,1505,448,525,674,464,223,103,315,100,218,492,1.73138045329728,5.55566485850648,4.06294480525295,0.00124649591711537,0.749611482155253,-1.80099130492004
"17","GB40304",473,457,487,520,347,490,289,120,288,195,230,512,1.09605432690443,5.50524123313669,3.94193731510307,0.00157308699273339,0.752921835750512,-1.87414386338383
"18","GB40618",3744,9280,3014,6610,2630,5594,311,507,1746,1346,270,3160,2.67701484309705,8.0444160063302,3.87737921559382,0.00178188119084363,0.752921835750512,-2.36459623485312
"19","GB41981",554,2569,433,1005,824,1358,188,129,559,213,126,707,2.13727516628852,6.03701948686325,3.87221733428831,0.00179975080256306,0.752921835750512,-2.0478507822557
"20","GB42383",63,41,81,34,46,91,176,87,73,73,84,148,-0.663066377370564,3.34061473238496,-4.00059710318641,0.00140506180804834,0.752921835750512,-2.27302794269277
"21","GB48816",54,70,25,25,28,38,21,18,10,12,19,28,1.23674799525674,1.78539246334415,3.89581210982944,0.00171953281853937,0.752921835750512,-2.92730160330837
"22","GB49134",18,17,27,20,9,20,8,6,8,2,11,11,1.43983688712539,0.634150642055113,3.91444207382635,0.00165877724899783,0.752921835750512,-3.27739323104353
"23","GB54838",514,649,414,474,388,439,124,94,304,248,95,419,1.62365784640072,5.30158825140692,3.88984590002996,0.00173946587929118,0.752921835750512,-1.95298420343785
"24","GB40094",117,80,170,60,117,223,105,75,90,93,64,115,0.635568672187659,3.78100468406742,3.09400582925603,0.00821599309878291,0.767351272581541,-2.91053959138345
"25","GB40302",5031,7646,4146,6396,3499,5748,3214,2048,3449,2235,2403,5279,1.04616934650026,9.04405487688942,3.37380174623298,0.00475069073465294,0.767351272581541,-2.90122125806907
"26","GB40305",8147,10601,6192,8583,4822,6500,3862,2539,4888,3266,3478,6262,1.10707069815163,9.47858907430897,3.43636478900792,0.00420338786567829,0.767351272581541,-2.91370398306487
"27","GB40805",263,197,228,133,293,361,459,387,289,203,373,665,-0.471335360920659,5.31274857101297,-3.20173647352009,0.00665382672007562,0.767351272581541,-2.62652676526934
"28","GB41390",3013,6715,2796,4563,2203,3657,875,592,2531,982,816,3151,1.75974706995027,8.13551484948878,3.67429129247614,0.00264220325720745,0.767351272581541,-2.53720220196877
"29","GB41471",836,396,787,376,749,741,872,330,450,346,451,698,0.511275131069238,6.21164185714809,3.15976410982975,0.00722375646522134,0.767351272581541,-2.72919695146264
"30","GB41708",2878,552,264,307,3438,3216,370,51,226,175,475,326,2.38783017416165,6.0280305314687,3.76362114961131,0.00222111646439145,0.767351272581541,-2.1736860288092
