"1","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6"
"2","NC.1","NC.2","NC.4","NC.5","NS.3","NS.4","NC.3","NC.6","NS.1","NS.2","NS.5","NS.6"
"3","NC.1","NC.5","NC.6","NS.3","NS.4","NS.6","NC.2","NC.3","NC.4","NS.1","NS.2","NS.5"
"4","NC.1","NC.2","NC.6","NS.1","NS.4","NS.6","NC.3","NC.4","NC.5","NS.2","NS.3","NS.5"
"5","NC.1","NC.4","NC.5","NS.1","NS.4","NS.5","NC.2","NC.3","NC.6","NS.2","NS.3","NS.6"
"6","NC.1","NC.5","NC.6","NS.1","NS.2","NS.5","NC.2","NC.3","NC.4","NS.3","NS.4","NS.6"
"7","NC.1","NC.3","NC.5","NC.6","NS.3","NS.4","NC.2","NC.4","NS.1","NS.2","NS.5","NS.6"
"8","NC.1","NC.2","NC.3","NC.6","NS.2","NS.4","NC.4","NC.5","NS.1","NS.3","NS.5","NS.6"
"9","NC.1","NC.5","NC.6","NS.2","NS.3","NS.4","NC.2","NC.3","NC.4","NS.1","NS.5","NS.6"
"10","NC.1","NS.1","NS.2","NS.3","NS.5","NS.6","NC.2","NC.3","NC.4","NC.5","NC.6","NS.4"
"11","NC.1","NC.4","NS.1","NS.2","NS.3","NS.4","NC.2","NC.3","NC.5","NC.6","NS.5","NS.6"
"12","NC.1","NC.3","NC.4","NC.6","NS.1","NS.3","NC.2","NC.5","NS.2","NS.4","NS.5","NS.6"
"13","NC.1","NC.3","NC.4","NS.3","NS.4","NS.5","NC.2","NC.5","NC.6","NS.1","NS.2","NS.6"
"14","NC.1","NC.2","NC.6","NS.1","NS.2","NS.3","NC.3","NC.4","NC.5","NS.4","NS.5","NS.6"
"15","NC.1","NC.2","NC.3","NC.4","NC.6","NS.3","NC.5","NS.1","NS.2","NS.4","NS.5","NS.6"
"16","NC.1","NC.2","NC.5","NS.1","NS.3","NS.5","NC.3","NC.4","NC.6","NS.2","NS.4","NS.6"
"17","NC.1","NC.3","NC.4","NS.1","NS.3","NS.4","NC.2","NC.5","NC.6","NS.2","NS.5","NS.6"
"18","NC.1","NC.3","NC.5","NC.6","NS.2","NS.6","NC.2","NC.4","NS.1","NS.3","NS.4","NS.5"
"19","NC.1","NC.2","NC.4","NS.1","NS.5","NS.6","NC.3","NC.5","NC.6","NS.2","NS.3","NS.4"
"20","NC.1","NC.2","NC.3","NS.3","NS.5","NS.6","NC.4","NC.5","NC.6","NS.1","NS.2","NS.4"
