"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40022",220,99,310,192,227,214,103,193,138,52,80,256,0.729131930601247,4.31638757837409,2.77455358272893,0.0156030220912927,0.999831432283917,-4.05825342977053
"2","GB40095",243,154,170,177,430,326,318,443,332,127,452,314,-0.396958606605603,5.1054851059933,-2.53954674986035,0.0244564868657014,0.999831432283917,-4.090169171094
"3","GB40169",204,57,201,139,207,189,79,190,64,58,63,201,0.71624003585025,3.954745278221,2.66808866255456,0.0191390996166282,0.999831432283917,-4.13260913047244
"4","GB40218",1180,578,1842,1032,646,996,183,809,754,114,453,942,1.29665955014609,6.35872078897062,3.17852399133883,0.00714729386486476,0.999831432283917,-3.94119683456461
"5","GB40221",78,27,54,75,115,118,35,111,31,32,50,73,0.538598195656657,2.92612624310775,2.39705290233506,0.0320166709523087,0.999831432283917,-4.31944276822575
"6","GB40287",647,344,612,473,872,729,228,728,412,261,600,761,0.421950048262044,6.04511723627216,2.50014080719798,0.0263552018600022,0.999831432283917,-4.12957620089693
"7","GB40493",159,61,127,101,34,102,32,56,27,22,31,58,1.18307866585176,2.84610831456099,2.36439368816041,0.0340411078169518,0.999831432283917,-4.33973976184622
"8","GB40536",26,10,66,27,37,13,10,17,16,2,6,18,1.30593439157258,1.01838970614046,2.77825120265608,0.0154924660134953,0.999831432283917,-4.41277275665152
"9","GB40639",308,140,421,435,522,527,68,502,219,54,98,447,1.10199319784902,4.95742739761167,2.87108514890735,0.0129556084464138,0.999831432283917,-3.99148395717892
"10","GB40683",498,315,484,616,336,607,166,471,257,109,170,452,1.01300008137539,5.40448696330282,3.62742723621189,0.00300054365855234,0.999831432283917,-3.733852017792
"11","GB40980",251,90,385,357,903,319,200,378,214,84,221,225,0.628703166481286,5.01112017410273,2.35387268384156,0.0347188612694395,0.999831432283917,-4.16188022143805
"12","GB41127",1900,651,2577,2807,6688,2177,640,4130,713,426,844,3164,1.02740756484843,7.68373772465874,2.4266597182232,0.0302812810082853,0.999831432283917,-4.25380837116125
"13","GB41201",5,3,7,4,10,12,7,19,11,5,12,13,-0.689865500180886,0.119673362360109,-2.95989870322941,0.0109135487635668,0.999831432283917,-4.43913746578264
"14","GB41208",153,76,128,124,247,224,190,287,228,62,261,282,-0.412818910773279,4.4537428502122,-2.57198069421969,0.0229934545984292,0.999831432283917,-4.10782058227489
"15","GB41418",3282,1107,6072,3969,5634,5839,530,4544,2714,166,584,5316,1.73919357272447,8.11039553997687,2.63266983904405,0.0204802844663494,0.999831432283917,-4.22698262807422
"16","GB41655",722,346,614,507,614,621,253,645,327,191,255,681,0.721922259665276,5.8229724215598,3.45387760536848,0.00419384729713012,0.999831432283917,-3.80145058970817
"17","GB41670",742,171,999,1100,1718,394,334,645,300,60,218,534,1.25784928123834,5.79868033524644,2.87108868104306,0.0129555201693267,0.999831432283917,-4.0020661836682
"18","GB41889",2154,615,3139,2388,2963,2545,680,3402,1359,416,1215,2080,0.803020452303309,7.66916396397936,2.55022271246003,0.0239652515029976,0.999831432283917,-4.21987291674984
"19","GB41917",1019,347,534,763,1265,1157,390,964,570,265,553,775,0.53204763477114,6.37337485586862,3.55467952279339,0.00345207688556516,0.999831432283917,-3.82381879576554
"20","GB42164",3,0,2,9,13,11,10,20,15,3,16,14,-1.48099605982287,-0.1206891433454,-2.84634223331309,0.013588761554382,0.999831432283917,-4.45017197216578
"21","GB42282",43,25,40,41,64,38,23,40,22,8,23,40,0.749389470905355,1.99656168598277,3.75088087197941,0.00236691184446777,0.999831432283917,-4.20659034111537
"22","GB42427",3331,478,8375,5494,6798,2551,1446,1703,414,54,220,2926,2.57413161622125,7.46550945380302,2.96051864836694,0.0109004767331258,0.999831432283917,-4.10563285984939
"23","GB42822",432,91,675,563,182,194,109,115,89,45,64,299,1.56151531166908,4.43864828355589,2.95468281334453,0.0110241460337515,0.999831432283917,-4.01795042656479
"24","GB42887",974,564,884,891,1230,1266,601,1067,878,361,721,1285,0.342375537144637,6.75868778011701,2.4459139290872,0.0292014324281291,0.999831432283917,-4.19280070651949
"25","GB42919",4451,1146,2005,2869,1826,3341,1264,2660,1253,361,1579,2546,0.892152317329234,7.84781920461383,2.78384920340281,0.0153265499789277,0.999831432283917,-4.17076638088447
"26","GB42931",4521,868,3407,3711,2997,4658,1006,4722,1507,279,1229,3650,1.13364637066956,8.05646403312119,2.55509697154763,0.0237441546215279,0.999831432283917,-4.24101972708762
"27","GB43075",192,72,120,133,333,274,95,187,72,116,118,160,0.5689280713862,4.17451103206101,2.61645100241584,0.0211245215969472,0.999831432283917,-4.11970149452475
"28","GB43091",1627,375,1196,641,840,872,194,388,673,141,585,1114,1.0685243650131,6.23322555690804,2.85725625960017,0.0133058096540509,0.999831432283917,-4.02835175172836
"29","GB43260",288,142,264,293,448,348,182,421,213,139,226,288,0.318480000567617,5.03308246295659,2.72157008034817,0.0172746567174596,0.999831432283917,-4.02301019950514
"30","GB43516",93,41,175,170,454,199,84,97,23,17,27,294,1.45008203980461,3.53475917782567,2.71296558067813,0.0175621740906572,0.999831432283917,-4.19011055920333
"31","GB43717",160,61,136,138,125,153,60,67,120,21,76,173,0.744438899353828,3.60186406968323,2.44514863261225,0.0292436394427447,0.999831432283917,-4.23965304454269
"32","GB43991",35,28,26,43,92,70,35,51,17,29,23,30,0.679103991845637,2.22001735967921,2.35549317204349,0.0346136401133143,0.999831432283917,-4.38665377385878
"33","GB44070",1548,661,1766,1502,1169,2377,278,2307,1044,151,502,1472,1.21297898935632,6.93814262730492,2.7701027996201,0.0157371231149722,0.999831432283917,-4.10959938434416
"34","GB44140",1061,331,678,989,598,1057,278,926,443,172,446,712,0.815365571683839,6.16792705156238,3.21930859557318,0.00660422567430311,0.999831432283917,-3.90444259071418
"35","GB44154",929,407,1079,973,1250,920,492,1064,759,379,614,1065,0.394494219242869,6.63403135234161,2.36003812834402,0.034320145942747,0.999831432283917,-4.21209236690213
"36","GB44384",76,22,60,91,106,50,54,44,26,11,40,36,0.951884939068233,2.5070061968838,3.26130473499912,0.00608815119659595,0.999831432283917,-4.20647598289714
"37","GB44488",19,13,14,23,30,27,31,58,58,9,48,32,-0.781304713271829,1.7696207222636,-2.91922188396793,0.0118060075190326,0.999831432283917,-4.33838489748675
"38","GB45000",438,124,415,396,523,361,98,504,184,52,139,479,0.913197098206031,4.99587349057704,2.71227037675799,0.0175856072026577,0.999831432283917,-4.03909809937739
"39","GB45154",84,39,80,65,110,94,31,81,69,27,54,106,0.436185634200477,3.05255186446872,2.40171630670633,0.0317371556338142,0.999831432283917,-4.30583930770037
"40","GB45170",1305,562,822,1121,751,790,334,968,356,195,486,948,0.954341512007206,6.34781341054235,3.58617154761947,0.00324871315510771,0.999831432283917,-3.81681966071735
"41","GB45439",155,74,287,234,322,322,75,217,221,30,76,244,0.840330591312995,4.30047015169199,2.48909559612463,0.0269123925497013,0.999831432283917,-4.15683649591652
"42","GB45499",2047,568,1611,1506,3395,1303,424,2188,742,258,376,1987,1.13949285215396,7.0675463087866,2.99056542230026,0.0102851621859523,0.999831432283917,-4.05735318789217
"43","GB45846",32,9,14,18,64,32,6,33,8,5,22,25,0.829493498408007,1.1942750899489,2.44896880488608,0.0290335338003488,0.999831432283917,-4.43815755839477
"44","GB45919",1079,352,1463,1253,870,1377,464,1589,426,174,552,1237,0.813782837489677,6.59006771698012,2.36429536804811,0.0340473827597135,0.999831432283917,-4.20923283558145
"45","GB46047",221,86,191,101,187,182,90,179,70,24,97,186,0.705881279554115,3.90911756856637,2.72799566212578,0.0170629522966039,0.999831432283917,-4.12221016883894
"46","GB46177",916,390,1194,1100,916,841,290,966,689,158,468,1212,0.799436342038314,6.39723581189238,2.57567460127672,0.022832301694513,0.999831432283917,-4.1282671602509
"47","GB46360",691,347,391,483,559,716,427,515,381,178,380,607,0.429249881411114,5.84360074147402,2.40644136022807,0.0314563249824998,0.999831432283917,-4.15306302786809
