"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40203",171,202,100,290,58,70,79,213,71,68,51,139,0.613248402501378,4.08720388175347,2.34532688859798,0.0346511786432483,0.999938120045966,-4.33244808881223
"2","GB40421",23,33,21,34,9,22,24,41,3,7,15,3,1.12013908256573,1.28004458465306,2.50473809701607,0.0255727845743767,0.999938120045966,-4.47831360810929
"3","GB40466",133,164,59,201,44,121,120,307,68,220,191,160,-0.453387123121452,4.36166745772732,-2.17428059080242,0.0477547653637449,0.999938120045966,-4.35486630716262
"4","GB40728",198,112,125,196,43,133,58,108,77,73,26,158,0.902903616695253,3.89033818215181,2.69688123729666,0.017646250659055,0.999938120045966,-4.27716070968389
"5","GB40747",318,288,84,343,115,155,334,473,227,277,206,306,-0.496195772619322,5.21781455683061,-2.48429957985328,0.0265945523966788,0.999938120045966,-4.25502130431167
"6","GB40997",366,543,238,503,148,195,308,937,229,448,454,425,-0.373492836041518,5.80473766381581,-2.0811524709228,0.0567121224178414,0.999938120045966,-4.36576408348158
"7","GB41063",274,323,155,424,114,230,359,508,213,244,350,362,-0.374987697496309,5.43692385565542,-2.34539663952544,0.0346466056262369,0.999938120045966,-4.2914614125616
"8","GB41078",175,108,103,161,74,100,94,131,86,98,67,88,0.447701973363557,4.02649830926656,2.36078883520989,0.0336513496450625,0.999938120045966,-4.33207299874828
"9","GB41085",31,29,13,36,15,22,22,35,10,16,16,17,0.441353158050429,1.70853453848098,2.08701932617381,0.0561047643251963,0.999938120045966,-4.50024445393943
"10","GB41123",32,13,6,9,7,11,8,4,6,9,5,7,0.946710706988453,0.477324459486692,2.15342115830093,0.0496383650508729,0.999938120045966,-4.52606272918736
"11","GB41798",1314,1603,387,1613,511,826,2189,2229,1157,1218,909,1753,-0.623482097775126,7.51683906409689,-2.40600579924766,0.0308824268068468,0.999938120045966,-4.36601598839106
"12","GB42050",21,16,11,26,4,22,7,13,6,8,5,11,0.995018540470705,0.818027895098792,3.37405721545712,0.00467386903393138,0.999938120045966,-4.43468356223159
"13","GB42087",45,34,24,31,16,17,30,36,9,10,11,23,0.679556254002932,1.76839039734753,2.22532844238264,0.0434231688184144,0.999938120045966,-4.48481664743925
"14","GB42193",379,358,191,458,167,302,330,572,258,453,361,428,-0.297974937133013,5.72616120170155,-2.2218316140222,0.0437077252195472,0.999938120045966,-4.3283287325006
"15","GB42223",415,380,253,510,136,219,409,645,289,413,306,403,-0.327287861292506,5.74333049221355,-2.37932843532521,0.0324886284341858,0.999938120045966,-4.28962553283402
"16","GB42276",54,117,35,105,17,38,22,31,37,53,10,24,1.16134121503364,2.52981701897411,3.07920392749024,0.00835161672901997,0.999938120045966,-4.34732158633947
"17","GB42297",2279,2271,991,2447,789,1457,2528,3756,1623,2275,2122,1715,-0.411862800741878,8.20336428173096,-2.44374111810273,0.0287392507970524,0.999938120045966,-4.38694083972497
"18","GB42321",115,119,56,159,44,100,153,246,71,142,111,119,-0.403749639038376,4.1033940425064,-2.6667515183771,0.0187087026110892,0.999938120045966,-4.26003715385098
"19","GB42346",27,18,17,23,8,23,26,96,30,39,28,37,-0.971622539890568,2.07775683748426,-3.88010298934623,0.00173395315802802,0.999938120045966,-4.31022212113425
"20","GB42534",266,303,163,277,166,156,162,315,102,127,140,259,0.439002348792345,4.9096513537059,2.18796749379873,0.0465553290335254,0.999938120045966,-4.33205495656459
"21","GB42621",2438,2218,685,1284,350,1942,870,18593,1389,1884,5365,2776,-1.12169863385208,8.21574481547397,-2.23668069840471,0.0425113130054941,0.999938120045966,-4.42099545223036
"22","GB42635",26,33,38,34,12,17,30,23,11,5,12,21,0.857808075923421,1.6233868070417,2.19384154936922,0.0460492501113655,0.999938120045966,-4.49313268490311
"23","GB42637",182,77,96,37,93,150,43,54,22,22,137,15,1.36859098685128,3.22014384853432,2.25170401783813,0.0413322226776195,0.999938120045966,-4.41522264853941
"24","GB42753",301,395,168,516,146,254,427,735,294,365,398,281,-0.429136694417874,5.6843698175562,-2.59881762517316,0.0213369647099736,0.999938120045966,-4.23419890490031
"25","GB42932",75,77,34,94,35,47,58,144,45,87,85,86,-0.372068934209994,3.39678473141225,-2.27076794284817,0.0398802822986876,0.999938120045966,-4.39500754775749
"26","GB43201",15,19,10,14,2,13,10,3,8,3,4,9,1.09735096061664,0.33989969117596,2.25561585507124,0.0410302921534114,0.999938120045966,-4.52192656050142
"27","GB43545",34,43,39,48,22,33,36,55,16,18,19,22,0.560701663549037,2.25234901517192,2.23035636116923,0.0430170649975904,0.999938120045966,-4.4648412765457
"28","GB44165",63,82,39,89,32,39,83,113,53,70,80,84,-0.408795275925953,3.35763004562514,-2.37178776061487,0.0329568613210178,0.999938120045966,-4.38035694006637
"29","GB44430",1189,1580,296,1453,398,598,1806,1953,933,1093,776,1350,-0.636485391147174,7.2612569867173,-2.29815464843911,0.0378784007413012,0.999938120045966,-4.3753340260644
"30","GB44530",77,78,25,91,39,46,94,118,50,85,82,71,-0.425216955243639,3.3878995201969,-2.186056393972,0.0467210979165788,0.999938120045966,-4.41087568032165
"31","GB44630",16,23,4,23,2,9,19,48,8,23,24,16,-0.861368534824672,1.17329702306775,-2.51462752893009,0.0250920278823438,0.999938120045966,-4.48094223464042
"32","GB44744",105,115,89,127,50,57,51,80,52,90,42,99,0.522435438641644,3.56933203929551,2.21870406498192,0.0439637124614358,0.999938120045966,-4.39258839814341
"33","GB44799",231,190,175,237,68,131,119,167,125,164,128,112,0.403620167400892,4.52950798790226,2.08963817823764,0.0558355986482023,0.999938120045966,-4.3670082161857
"34","GB44950",111,76,58,103,40,83,68,64,66,27,42,79,0.630267424662301,3.33446751839676,2.12647951009627,0.0521736740496302,0.999938120045966,-4.42399713235909
"35","GB44983",716,873,245,880,222,407,888,1473,503,809,573,750,-0.602376862479743,6.59313804868922,-3.19973722968295,0.00658796643665264,0.999938120045966,-4.15740866611286
