"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40009",462,751,307,463,716,188,2149,801,717,544,1174,401,-1.2428712047242,6.53301834294608,-3.5911396496991,0.00312927650755086,0.771159047060181,-3.92382250469381
"2","GB40212",707,1044,209,430,500,182,632,917,378,2366,3227,349,-1.34814805946517,6.59545646806624,-3.25491854687289,0.00602985546363285,0.771159047060181,-4.017199020486
"3","GB40389",3680,4801,1675,2408,2711,2638,3993,5788,2281,6324,6733,2510,-0.850195692862924,9.06096314835228,-4.28818809354592,0.000819944716390158,0.771159047060181,-4.11596161229849
"4","GB40865",3435,3717,1555,1689,1784,1828,3037,3662,1707,3503,4074,2013,-0.664525703809797,8.59527155411459,-3.22149504462712,0.00643681142856704,0.771159047060181,-4.21921927430694
"5","GB40972",460,405,189,377,223,145,305,796,236,525,445,262,-0.796961156729477,5.66361511318395,-3.24795437879316,0.00611247065709514,0.771159047060181,-3.91762567969883
"6","GB41294",190,345,161,231,242,163,321,299,161,219,440,152,-0.512321738169005,5.1551474019023,-3.30199130543206,0.00550000689529492,0.771159047060181,-3.89049744294086
"7","GB41361",472,840,196,250,355,1405,115,76,130,22,19,396,2.56467315169601,4.86237421267294,3.35469581193434,0.0049619511737627,0.771159047060181,-4.03072370849896
"8","GB41366",510,894,302,440,486,358,722,644,359,581,894,302,-0.506299841437312,6.28923644400615,-3.13521390833292,0.00761870465402835,0.771159047060181,-4.00123697738076
"9","GB41522",181,198,68,119,147,87,147,151,110,148,216,99,-0.450841941216077,4.36020264283741,-3.16501488091611,0.00718783288258067,0.771159047060181,-4.0114994797702
"10","GB41540",10,10,27,30,12,1,50,42,19,135,126,12,-2.49100489386623,1.78947241828485,-3.67897694325003,0.00263826367977038,0.771159047060181,-4.31145575036702
"11","GB41671",1111,1174,434,496,535,428,1108,1009,678,896,1195,518,-0.748500430890036,6.83989802291318,-3.35375876291215,0.00497103997379608,0.771159047060181,-4.01614020160489
"12","GB41932",15,36,11,23,26,11,21,34,13,25,53,27,-0.796278318534516,1.80372481932212,-3.35979251369784,0.00491280782840893,0.771159047060181,-4.32818239661428
"13","GB42264",469,1081,427,546,694,403,1349,761,518,873,1705,592,-0.91894767868436,6.77303768934216,-4.33326127704244,0.0007530368114122,0.771159047060181,-3.80027755151598
"14","GB42334",213,156,92,135,133,73,198,222,119,159,246,115,-0.732588046955296,4.50285449134885,-4.03954940230838,0.00131610429319121,0.771159047060181,-3.77222681280379
"15","GB42787",585,773,150,401,388,208,478,524,282,631,830,274,-0.665757390775128,5.9869889001586,-3.08018929505717,0.00848296308022768,0.771159047060181,-3.98872480257139
"16","GB42962",6,2,4,12,13,2,27,18,15,7,12,8,-1.56403422985577,0.431858217181085,-3.00043194856947,0.00991130789666847,0.771159047060181,-4.44615160441151
"17","GB43375",227,344,115,213,227,130,244,338,167,219,423,126,-0.542393252476633,5.05030639638498,-3.55049050651266,0.0033868983316553,0.771159047060181,-3.82329414535869
"18","GB43688",1060,3007,473,1060,1843,301,2888,7385,1886,11191,7152,582,-2.1259243700366,8.16512760704885,-3.83295762406639,0.00195813260727226,0.771159047060181,-4.09033759602688
"19","GB43780",7,25,4,19,18,6,18,42,13,48,56,7,-1.4397569530964,1.36094711954152,-3.46845603897334,0.00397400585869344,0.771159047060181,-4.35730638296887
"20","GB43920",371,417,140,199,273,158,258,335,193,359,568,178,-0.572285920771243,5.35236641933317,-3.16968984049038,0.00712248147895296,0.771159047060181,-3.92895791659675
"21","GB43955",17,23,12,26,22,19,12,6,2,7,6,12,1.2075955062656,0.86970244359855,3.55332237625305,0.00336827503051454,0.771159047060181,-4.38603336702135
"22","GB44032",3002,3589,1611,2169,2724,1489,3014,2944,1981,3093,4488,1660,-0.521405749517795,8.59964045494004,-2.95322589408003,0.0108663920943318,0.771159047060181,-4.26417605299489
