"1","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6"
"2","NC.1","NC.3","VS.1","VS.3","VS.5","VS.6","NC.2","NC.4","NC.5","NC.6","VS.2","VS.4"
"3","NC.1","NC.3","NC.4","VS.2","VS.4","VS.6","NC.2","NC.5","NC.6","VS.1","VS.3","VS.5"
"4","NC.1","NC.2","NC.3","NC.6","VS.1","VS.5","NC.4","NC.5","VS.2","VS.3","VS.4","VS.6"
"5","NC.1","NC.2","NC.4","NC.6","VS.1","VS.4","NC.3","NC.5","VS.2","VS.3","VS.5","VS.6"
"6","NC.1","NC.2","NC.5","NC.6","VS.4","VS.5","NC.3","NC.4","VS.1","VS.2","VS.3","VS.6"
"7","NC.1","NC.2","NC.6","VS.1","VS.5","VS.6","NC.3","NC.4","NC.5","VS.2","VS.3","VS.4"
"8","NC.1","NC.2","VS.2","VS.3","VS.5","VS.6","NC.3","NC.4","NC.5","NC.6","VS.1","VS.4"
"9","NC.1","NC.3","NC.5","VS.1","VS.2","VS.5","NC.2","NC.4","NC.6","VS.3","VS.4","VS.6"
"10","NC.1","NC.4","NC.5","NC.6","VS.1","VS.2","NC.2","NC.3","VS.3","VS.4","VS.5","VS.6"
"11","NC.1","NC.2","NC.3","NC.6","VS.1","VS.3","NC.4","NC.5","VS.2","VS.4","VS.5","VS.6"
"12","NC.1","NC.2","NC.4","VS.2","VS.3","VS.6","NC.3","NC.5","NC.6","VS.1","VS.4","VS.5"
"13","NC.1","NC.4","NC.6","VS.1","VS.3","VS.5","NC.2","NC.3","NC.5","VS.2","VS.4","VS.6"
"14","NC.1","NC.3","NC.4","VS.2","VS.3","VS.4","NC.2","NC.5","NC.6","VS.1","VS.5","VS.6"
"15","NC.1","NC.4","NC.5","NC.6","VS.2","VS.5","NC.2","NC.3","VS.1","VS.3","VS.4","VS.6"
"16","NC.1","VS.1","VS.2","VS.4","VS.5","VS.6","NC.2","NC.3","NC.4","NC.5","NC.6","VS.3"
"17","NC.1","NC.4","NC.5","NC.6","VS.1","VS.6","NC.2","NC.3","VS.2","VS.3","VS.4","VS.5"
"18","NC.1","NC.3","NC.5","VS.1","VS.3","VS.5","NC.2","NC.4","NC.6","VS.2","VS.4","VS.6"
"19","NC.1","NC.2","NC.5","VS.1","VS.3","VS.6","NC.3","NC.4","NC.6","VS.2","VS.4","VS.5"
"20","NC.1","NC.2","NC.4","NC.6","VS.2","VS.4","NC.3","NC.5","VS.1","VS.3","VS.5","VS.6"
