"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40421",23,41,33,30,29,20,24,3,7,16,11,22,1.00376605304213,1.29818435898064,3.29978876384854,0.00572752881051606,0.998828566831519,-4.33071833034168
"2","GB40521",78,116,93,81,88,62,56,19,54,75,43,83,0.47140939098321,3.12078627377733,2.68051392098947,0.0188386146161009,0.998828566831519,-4.2327715888983
"3","GB40629",309,301,253,202,341,228,151,88,83,230,199,287,0.505223897317529,4.76523247558061,2.53343722129379,0.0249123729090637,0.998828566831519,-4.0803679976559
"4","GB40740",45,22,39,41,50,36,39,6,8,19,22,19,0.93295145240356,1.72530355904358,2.3624982464436,0.0343573932403908,0.998828566831519,-4.41625111893258
"5","GB40823",77,104,46,65,113,52,54,27,40,49,42,49,0.53663599672246,2.88976295680474,2.39218857285084,0.032501593572324,0.998828566831519,-4.32213569269215
"6","GB41015",27,85,39,54,18,30,76,51,34,81,79,47,-0.82273456498179,2.64317045485608,-2.3778321374536,0.0333866634102232,0.998828566831519,-4.34594592488845
"7","GB41018",76,80,67,46,61,49,72,61,63,67,78,100,-0.440222969776561,3.16104537357073,-2.38980384786507,0.0326470417130024,0.998828566831519,-4.29463524276948
"8","GB41363",945,1263,778,819,757,771,773,533,1057,1091,1004,1194,-0.325546662069093,6.88652604930678,-2.90559945683839,0.0122402300608746,0.998828566831519,-4.05400971897242
"9","GB41467",332,582,457,275,487,331,184,147,173,249,235,491,0.553982440196889,5.31551245448474,3.04944192590527,0.0092799504200309,0.998828566831519,-3.87454001504368
"10","GB41798",1314,2229,1603,1252,1037,1658,2189,1157,1218,1906,1985,2322,-0.511499220300346,7.72627469628551,-2.72211968749743,0.0174001200858708,0.998828566831519,-4.18470771030055
"11","GB41977",249,313,208,201,211,249,207,145,289,289,228,313,-0.265424031182319,4.97408491173053,-2.35766957152792,0.0346686117914543,0.998828566831519,-4.13006158675333
"12","GB42410",1346,1617,1357,1026,1405,2338,223,509,359,1487,715,129,1.52208395525337,6.70508698187346,2.78766039796106,0.0153493732536335,0.998828566831519,-4.08710830819069
"13","GB42556",713,783,455,490,533,413,1107,564,567,540,611,810,-0.603483221678233,6.33627389594622,-2.42707955469328,0.0304431528192013,0.998828566831519,-4.15410487660196
"14","GB42607",738,1111,308,359,267,309,1982,786,402,422,747,1349,-1.19395067828844,6.30482576781918,-2.66391298565493,0.0194444248553417,0.998828566831519,-4.07373972213536
"15","GB42643",14,12,3,3,11,7,19,14,16,14,20,9,-1.17529754068748,0.518419611369719,-2.71333650737809,0.0176945653356249,0.998828566831519,-4.44038266292681
"16","GB42787",585,773,524,432,444,416,478,282,631,699,612,611,-0.304367027265194,6.1177686996351,-2.34665053065583,0.0353889057596667,0.998828566831519,-4.16663595076201
"17","GB42867",96,75,51,67,76,57,74,13,21,54,40,45,0.66633862143739,2.72800028740569,2.35152650122654,0.0350684313185508,0.998828566831519,-4.3458569825787
"18","GB42983",8,25,11,26,27,18,3,1,11,21,8,5,1.25638895643432,0.492835014636437,2.71568344224596,0.0176154136728742,0.998828566831519,-4.43635553092129
"19","GB43167",66,104,73,74,54,50,22,14,51,57,52,70,0.508351306768843,2.7805248074396,2.37949296145573,0.0332831085293663,0.998828566831519,-4.33491250649921
"20","GB43221",21,31,24,25,31,34,16,9,9,21,24,19,0.556176735287755,1.47215900980901,2.47716209293724,0.0277056910692311,0.998828566831519,-4.41368744092289
"21","GB43222",315,379,302,330,459,320,238,97,150,277,245,323,0.489229056244882,5.15016584127092,3.04258529237843,0.00940336128235137,0.998828566831519,-3.8745699289182
"22","GB43684",32,32,23,39,42,36,24,10,7,17,24,25,0.765761198940508,1.65462122463997,2.59498841256615,0.0221689026753069,0.998828566831519,-4.38691879570375
"23","GB43954",151,207,118,145,163,156,88,63,117,133,114,141,0.298025274772494,4.08809073576642,2.74505175978203,0.0166537624468479,0.998828566831519,-4.07379483350305
"24","GB44228",27,36,45,22,38,18,29,11,55,68,42,56,-0.663441336618659,2.16650772314628,-2.39109283593861,0.0325683472098926,0.998828566831519,-4.3794750613653
"25","GB44347",201,208,130,173,257,230,117,49,84,179,167,140,0.512569759393155,4.30184363042939,2.5309482164135,0.0250299563863384,0.998828566831519,-4.12222308175898
"26","GB44703",1274,2550,1277,1150,1123,1072,1274,930,1605,1888,1510,2086,-0.434770015646603,7.55332223570748,-3.18238317178766,0.00718211073026378,0.998828566831519,-4.05475708766265
"27","GB44704",22,23,14,15,18,15,20,12,21,22,23,38,-0.543486275535253,1.39883068971257,-2.95072781258046,0.0112226945756571,0.998828566831519,-4.35746218307871
"28","GB45280",288,424,223,260,291,310,277,224,267,358,362,384,-0.319262954606945,5.31539460292755,-2.69683105376064,0.0182611226445265,0.998828566831519,-3.99330623311185
"29","GB45291",11,12,14,8,5,9,11,13,14,12,20,16,-0.772138856928417,0.668770982550494,-2.66987155521386,0.0192248274593754,0.998828566831519,-4.43591471937047
"30","GB45416",44,47,26,27,32,28,18,7,18,27,24,35,0.465371470951473,1.77537824565045,2.39871215405272,0.032106868762451,0.998828566831519,-4.40563352132304
"31","GB45438",23,25,27,27,25,19,5,5,8,14,13,28,0.896409895294712,1.10187030672742,3.39704768383049,0.00474925808659239,0.998828566831519,-4.3362158813448
"32","GB45446",22,32,20,22,46,23,8,6,8,17,20,16,0.897738664560109,1.24056384365591,3.50554965126893,0.00385507771391215,0.998828566831519,-4.31380675581699
"33","GB45676",138,98,83,88,90,102,67,23,78,51,54,70,0.613696702115236,3.2757907604872,2.70858885528653,0.0178557469310987,0.998828566831519,-4.20720527942381
"34","GB45720",426,776,465,385,410,466,446,299,556,572,488,641,-0.3093527778018,5.99400471419328,-2.67598677616725,0.0190019714909871,0.998828566831519,-4.03704256441955
"35","GB45722",100,190,92,87,85,89,92,76,119,136,141,143,-0.3844196714724,3.85197633950036,-2.76298849514168,0.01609192222497,0.998828566831519,-4.10288631569762
"36","GB45928",13,15,23,14,16,15,9,3,8,11,7,14,0.663790716880868,0.631185068488466,2.66682680483483,0.0193367350529294,0.998828566831519,-4.43707398908053
"37","GB45961",78,105,114,90,71,73,71,65,110,128,89,122,-0.365599226989273,3.59536553056481,-2.34809878535349,0.0352934287533253,0.998828566831519,-4.25805409762228
"38","GB45973",944,1177,1146,979,1431,1370,572,439,386,843,756,1306,0.577481301878394,6.85671207597125,2.87949125188952,0.0128699941080481,0.998828566831519,-4.06250418671317
"39","GB46240",239,263,200,312,273,273,115,87,138,253,216,264,0.368837040790693,4.77518292844339,2.3344241534461,0.0362047962930694,0.998828566831519,-4.15251409742916
"40","GB46334",138,195,127,107,143,104,151,78,144,186,142,168,-0.320375581895588,4.18079602859433,-2.52717634969318,0.0252091661692441,0.998828566831519,-4.13046612104073
"41","GB46368",1315,1708,1556,1506,1098,897,1529,773,1326,1931,1387,2157,-0.38636274100314,7.51427531438897,-2.38699192596128,0.0328193445741195,0.998828566831519,-4.25793370352566
"42","GB46429",879,1161,895,794,969,633,386,294,481,585,421,1050,0.5799410659205,6.4426230906495,3.65524050907504,0.00289355640647715,0.998828566831519,-3.78411110490691
"43","GB46583",599,376,362,432,641,597,312,126,172,388,395,383,0.598496917317158,5.59391330991493,2.49617807912762,0.0267296202195981,0.998828566831519,-4.09034870686874
"44","GB46842",51,48,32,25,25,23,36,16,194,163,69,59,-1.30547039184308,2.61964744266581,-2.89252195064829,0.0125517775000698,0.998828566831519,-4.25128366176944
"45","GB47046",334,330,308,210,230,212,297,237,283,314,330,376,-0.449794048961809,5.23513125453752,-2.81723093045414,0.0145036215326095,0.998828566831519,-3.94640957606278
"46","GB47079",799,965,740,776,959,1059,1228,1107,969,1102,1021,1187,-0.628812261759993,7.02358399425716,-2.92829777751205,0.0117175224038796,0.998828566831519,-4.06284868804656
"47","GB47217",203,414,229,304,136,226,100,112,92,127,131,247,0.662867880829104,4.53137131760789,2.87445619835785,0.0129950737492258,0.998828566831519,-3.98040633982236
"48","GB47409",64,101,51,76,63,57,37,25,47,66,50,49,0.361990391566231,2.85761453071232,2.38981380857463,0.0326464329016938,0.998828566831519,-4.32498967962512
"49","GB47474",369,712,407,348,347,344,422,361,417,535,438,473,-0.391128827585052,5.80571360589576,-2.5767875076693,0.0229481207661639,0.998828566831519,-4.0605290745907
"50","GB47539",281,408,227,314,406,310,180,103,175,290,293,275,0.359407214046181,5.08636416595664,2.47768615898993,0.0276783373221233,0.998828566831519,-4.08634275935707
"51","GB47682",69,134,98,100,79,91,95,75,102,118,104,136,-0.375549344707582,3.70825506978876,-2.70371181575016,0.0180228150653787,0.998828566831519,-4.14225541430985
"52","GB47905",462,581,379,283,227,456,713,636,455,357,442,564,-0.749869416659353,5.8729461705091,-2.38458550459297,0.0329674897825647,0.998828566831519,-4.13838760640251
"53","GB48194",160,483,190,147,99,114,268,203,313,180,241,310,-0.761486290645727,4.77006791459962,-2.50499467144529,0.0262883954553246,0.998828566831519,-4.08784571968092
"54","GB48312",513,789,521,489,521,489,485,343,623,670,568,811,-0.311979807089539,6.20095730708776,-3.25814421220855,0.00620614911123727,0.998828566831519,-3.85742364967304
"55","GB48483",37,19,18,27,50,21,22,5,2,7,23,16,1.19355707559847,1.11594954264005,2.35237795911896,0.0350127533463913,0.998828566831519,-4.44982982162829
"56","GB48845",309,397,307,316,275,264,304,219,363,363,302,417,-0.318988021094322,5.38678030364554,-2.67166886478921,0.0191590652886659,0.998828566831519,-4.00461745762904
"57","GB49066",91,139,104,95,74,80,109,74,90,125,106,131,-0.351919216645767,3.72803883738651,-2.55315996976016,0.0239993382598313,0.998828566831519,-4.18275588077076
"58","GB49328",132,199,78,104,105,109,88,73,129,168,169,210,-0.426447138042755,4.0345221978467,-2.84620976885978,0.0137193095651344,0.998828566831519,-4.04811993615341
"59","GB49511",426,567,302,224,335,279,248,135,141,223,215,320,0.481244939392635,5.12830648094153,2.61900984621466,0.0211797062505002,0.998828566831519,-4.03334811391537
"60","GB49588",53,87,56,57,103,56,17,7,33,81,54,44,0.760226856301302,2.59080997114244,2.42953271705657,0.0303032236930473,0.998828566831519,-4.34293370061515
"61","GB49774",218,407,132,192,277,241,153,70,149,139,140,139,0.620398505114435,4.51200391406563,3.02973576691826,0.00963904797314334,0.998828566831519,-3.92764785939785
"62","GB49790",78,153,49,98,109,120,33,15,45,72,63,79,0.778123136011941,3.12734626766332,3.14033290895357,0.00778863486806482,0.998828566831519,-4.13358700557453
"63","GB49862",17,27,16,14,22,24,10,7,8,6,5,27,0.854020236194818,0.85585671704644,2.58342914987652,0.0226607495545926,0.998828566831519,-4.43514707615929
"64","GB49966",34,22,23,29,50,29,19,5,8,24,17,14,0.890128708348155,1.41962770253456,2.71404820142425,0.0176705264046164,0.998828566831519,-4.38843803122772
"65","GB50021",307,336,264,259,269,273,249,161,276,348,333,368,-0.235487167100565,5.22328808054033,-2.51847198108493,0.0256274717269191,0.998828566831519,-4.0626545488145
"66","GB50102",661,856,571,459,559,625,309,225,436,605,478,673,0.26976973235089,6.07955044099719,2.39410012730951,0.0323854523479675,0.998828566831519,-4.14936552644716
"67","GB50271",769,981,745,668,686,644,593,519,918,932,747,1004,-0.311374638956661,6.64098268637624,-2.58655678852748,0.0225266338621953,0.998828566831519,-4.12681171908087
"68","GB50435",12,15,15,12,26,9,6,8,1,9,7,7,1.02132057071816,0.302443720193273,2.34590571228515,0.0354381040688142,0.998828566831519,-4.47782722991869
"69","GB50596",2435,4773,4463,2565,2471,3570,2612,2698,4058,5773,5251,5208,-0.5849943804755,8.91266518880413,-3.00089963392009,0.0101895438888607,0.998828566831519,-4.21105082292597
"70","GB50974",1679,2516,2429,1669,1463,1971,1007,614,1038,1822,1345,2424,0.381004943259096,7.68124717754401,2.34337322432128,0.0356058729804997,0.998828566831519,-4.27933136695204
"71","GB51586",986,1566,872,930,993,1047,909,715,1261,1176,1149,1429,-0.32230072229748,7.13861000726927,-2.62700585141529,0.0208600483439678,0.998828566831519,-4.16164328517939
"72","GB51850",9,14,12,9,12,9,12,6,12,22,16,21,-0.626939058484448,0.738578157692052,-3.30483997110465,0.00567205530283966,0.998828566831519,-4.37113951301141
"73","GB51903",54,47,31,32,30,24,46,26,33,71,48,55,-0.588021636854193,2.39944177183125,-2.99532404108805,0.0102995314909387,0.998828566831519,-4.25458647083007
