"","ID","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40013",76,119,63,97,50,23,173,66,1846,194,295,158,-1.83563848413664,4.21320068747756,-2.4653895358625,0.0278203143606575,0.999964046682037,-4.26604189578346
"2","GB40020",25,54,61,81,37,78,24,69,139,72,143,153,-0.596495014098612,3.32064013249607,-2.73916441267309,0.0164454978348575,0.999964046682037,-4.25196210180973
"3","GB40047",6,21,20,17,16,39,24,26,45,27,42,55,-0.745841650065246,1.9104177125291,-2.703050510094,0.0176347316713619,0.999964046682037,-4.38424336222345
"4","GB40343",105,187,239,250,199,258,53,139,174,211,260,263,0.403579861006951,4.75252923704605,2.990488732156,0.0100897259144157,0.999964046682037,-4.03339789398284
"5","GB41337",7,9,11,11,7,9,5,10,12,29,27,42,-0.796839850302785,0.921122149495923,-2.69528649795572,0.0179011427785818,0.999964046682037,-4.44019732378821
"6","GB41687",36,56,56,63,56,45,45,58,160,86,129,99,-0.623517938803957,3.33893312411547,-2.6224199749646,0.0205999713738984,0.999964046682037,-4.27540095775195
"7","GB41702",24,36,51,33,28,42,16,16,25,46,32,40,0.539836816064149,2.21580850101384,2.40235799559825,0.0313557514283339,0.999964046682037,-4.40451522092129
"8","GB41903",21,52,46,56,45,60,43,41,172,92,118,107,-0.74524961135472,3.20591380789565,-2.73519201221459,0.0165723777686554,0.999964046682037,-4.26737634918715
"9","GB42078",35,47,95,94,60,108,37,104,125,120,173,170,-0.545874591190395,3.69503547314078,-3.15714906424194,0.00728622699140306,0.999964046682037,-4.11526377541738
"10","GB42191",50,108,89,122,57,95,80,139,149,121,154,181,-0.494386899501942,3.98083193146741,-2.44447707864445,0.0289487146650655,0.999964046682037,-4.25562991333835
"11","GB42196",166,355,336,246,226,269,71,168,270,241,312,399,0.392599775269558,5.14165086975798,2.84734377228887,0.0133332881156627,0.999964046682037,-4.06882176630249
"12","GB42252",399,462,435,458,360,319,764,416,2653,468,1126,919,-1.03032823402536,6.46269759955631,-2.53232928093221,0.0244852996546846,0.999964046682037,-4.23151229402814
"13","GB42411",32,40,51,49,39,38,22,55,59,57,85,108,-0.385786078230899,2.88186079248569,-2.40180233682754,0.0313887492087378,0.999964046682037,-4.35848870297676
"14","GB42457",220,425,434,350,267,445,216,430,505,503,700,760,-0.35829986136743,5.93442251454879,-2.9133601039638,0.0117264267061277,0.999964046682037,-4.08693998097574
"15","GB42460",8,6,10,2,4,14,80,370,10,12,55,74,-2.53768310622201,1.46431378474429,-2.43747970859998,0.0293359730231091,0.999964046682037,-4.45172476735761
"16","GB42635",13,23,34,34,22,34,13,17,19,18,19,21,0.743145533742502,1.69544188593226,3.156397569098,0.00729693960553356,0.999964046682037,-4.34341510464918
"17","GB42796",8,22,35,13,15,20,4,6,11,8,21,27,0.807089489960074,1.05103496607404,2.77437188101715,0.0153616698249368,0.999964046682037,-4.42482881698043
"18","GB42967",18,46,23,35,31,29,17,44,54,47,62,76,-0.527377673159529,2.46723386355607,-2.5221790882329,0.0249650118737376,0.999964046682037,-4.36986315061378
"19","GB42994",223,239,223,252,253,336,70,205,238,237,257,391,0.396070201644801,5.10281392046162,2.56408156923302,0.0230413455963241,0.999964046682037,-4.15558003294645
"20","GB43028",19,24,25,13,22,16,7,22,6,7,13,22,0.93061621210114,1.18701612170828,2.5446967738548,0.023912793888693,0.999964046682037,-4.44200925222353
"21","GB43256",920,475,1454,625,1050,907,249,624,790,605,842,1007,0.581468115890663,6.77818547325276,2.40114837974445,0.0314276268814543,0.999964046682037,-4.28685909792274
