"1","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6"
"2","NP.1","NP.4","NP.6","NS.1","NS.3","NS.4","NP.2","NP.3","NP.5","NS.2","NS.5","NS.6"
"3","NP.1","NP.3","NP.4","NP.5","NS.3","NS.5","NP.2","NP.6","NS.1","NS.2","NS.4","NS.6"
"4","NP.1","NP.2","NP.4","NP.5","NS.1","NS.4","NP.3","NP.6","NS.2","NS.3","NS.5","NS.6"
"5","NP.1","NP.4","NS.1","NS.3","NS.4","NS.6","NP.2","NP.3","NP.5","NP.6","NS.2","NS.5"
"6","NP.1","NP.2","NP.4","NP.5","NS.2","NS.4","NP.3","NP.6","NS.1","NS.3","NS.5","NS.6"
"7","NP.1","NP.3","NP.4","NP.5","NP.6","NS.1","NP.2","NS.2","NS.3","NS.4","NS.5","NS.6"
"8","NP.1","NP.2","NP.4","NP.6","NS.4","NS.6","NP.3","NP.5","NS.1","NS.2","NS.3","NS.5"
"9","NP.1","NP.4","NP.5","NS.2","NS.3","NS.5","NP.2","NP.3","NP.6","NS.1","NS.4","NS.6"
"10","NP.1","NP.4","NP.5","NP.6","NS.1","NS.6","NP.2","NP.3","NS.2","NS.3","NS.4","NS.5"
"11","NP.1","NS.1","NS.2","NS.3","NS.5","NS.6","NP.2","NP.3","NP.4","NP.5","NP.6","NS.4"
"12","NP.1","NP.3","NP.5","NP.6","NS.1","NS.5","NP.2","NP.4","NS.2","NS.3","NS.4","NS.6"
"13","NP.1","NP.2","NP.6","NS.4","NS.5","NS.6","NP.3","NP.4","NP.5","NS.1","NS.2","NS.3"
"14","NP.1","NP.2","NP.4","NS.1","NS.3","NS.6","NP.3","NP.5","NP.6","NS.2","NS.4","NS.5"
"15","NP.1","NP.3","NP.4","NP.6","NS.1","NS.5","NP.2","NP.5","NS.2","NS.3","NS.4","NS.6"
"16","NP.1","NP.2","NP.4","NP.5","NS.2","NS.5","NP.3","NP.6","NS.1","NS.3","NS.4","NS.6"
"17","NP.1","NP.6","NS.1","NS.3","NS.4","NS.5","NP.2","NP.3","NP.4","NP.5","NS.2","NS.6"
"18","NP.1","NP.2","NP.4","NP.5","NS.3","NS.4","NP.3","NP.6","NS.1","NS.2","NS.5","NS.6"
"19","NP.1","NP.2","NP.4","NP.6","NS.2","NS.5","NP.3","NP.5","NS.1","NS.3","NS.4","NS.6"
"20","NP.1","NP.4","NP.5","NS.2","NS.3","NS.4","NP.2","NP.3","NP.6","NS.1","NS.5","NS.6"
