"","ID","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40139",37,101,8,641,27,99,128,240,336,242,179,387,-2.23934988572827,3.95483204417678,-3.38835923453506,0.00460592772822044,0.589617341130074,-4.12859184472157
"2","GB40166",153,306,159,316,323,694,16,82,94,83,170,357,1.05652419228704,4.38251825855134,3.16651842427048,0.00711405034724829,0.589617341130074,-4.1206874742768
"3","GB40503",99,244,164,334,254,506,25,112,145,89,210,217,0.625201018245524,4.36223924294263,3.01772616906019,0.00952017739447695,0.589617341130074,-4.13776902528539
"4","GB40644",5,11,16,29,20,32,0,7,5,7,7,11,1.39078222947553,0.20074828466497,3.44407523384452,0.00412990989835146,0.589617341130074,-4.41694822623143
"5","GB40727",108,258,149,508,267,389,152,303,427,227,340,433,-0.67139236074823,5.10941967403025,-3.43458733985778,0.00420732463905399,0.589617341130074,-4.00478593895915
"6","GB40873",5,12,10,37,13,11,18,16,30,12,26,28,-1.0605890057307,1.06729069619656,-3.12782853093417,0.0076742864252234,0.589617341130074,-4.40299672805551
"7","GB41033",114,364,222,128,293,517,5,39,72,85,125,54,1.85363038736236,3.74008016306749,4.11781052922536,0.00111781383437945,0.589617341130074,-4.05189044702743
"8","GB41064",31,115,31,78,161,363,5,18,27,16,32,46,1.73879075554108,2.45113837338379,3.46743133910845,0.00394539680377349,0.589617341130074,-4.27282290225153
"9","GB41065",651,1626,974,1206,2438,4418,111,422,776,463,790,971,1.27441349381836,6.79070472352975,4.27556008868307,0.000827342597689863,0.589617341130074,-3.99184711591881
"10","GB41079",77,152,138,342,185,251,74,159,198,149,253,310,-0.415580331150304,4.47045125351987,-3.06577410782961,0.0086658952486752,0.589617341130074,-4.10402630775265
"11","GB41127",1839,3459,2302,1749,5830,8298,262,1145,1638,2143,1798,1029,1.18803593452421,7.93739291722435,3.01408359305974,0.00958824552294693,0.589617341130074,-4.27580033842376
"12","GB41179",4,23,9,93,21,24,22,26,51,32,71,111,-1.55492209957283,1.9054239205392,-3.84581630914706,0.00188777355658597,0.589617341130074,-4.27668336367966
"13","GB41730",61,96,120,191,163,325,18,26,16,51,66,107,1.4725356807116,3.21798577205409,4.5016553695375,0.000539908399341632,0.589617341130074,-4.04930224674226
"14","GB41757",22,34,8,164,34,31,88,47,183,85,131,106,-1.9065262485237,2.85829421478594,-3.82428453571961,0.00196821172964653,0.589617341130074,-4.17498320702502
"15","GB41766",12,34,35,64,41,124,3,18,17,23,26,28,0.935502308551258,1.74377087527763,3.01830041098902,0.00950949040346609,0.589617341130074,-4.37454103933022
"16","GB42200",28,105,78,165,123,225,9,26,26,22,65,156,1.12591436443518,2.90992292284827,3.22631339847918,0.00632737538802445,0.589617341130074,-4.25020729402002
