"1","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6"
"2","NP.1","NP.3","NP.4","NP.5","NP.6","VC.2","NP.2","VC.1","VC.3","VC.4","VC.5","VC.6"
"3","NP.1","NP.2","NP.3","NP.5","VC.3","VC.5","NP.4","NP.6","VC.1","VC.2","VC.4","VC.6"
"4","NP.1","NP.2","VC.1","VC.2","VC.3","VC.6","NP.3","NP.4","NP.5","NP.6","VC.4","VC.5"
"5","NP.1","NP.4","NP.6","VC.1","VC.2","VC.4","NP.2","NP.3","NP.5","VC.3","VC.5","VC.6"
"6","NP.1","NP.2","NP.4","VC.2","VC.3","VC.6","NP.3","NP.5","NP.6","VC.1","VC.4","VC.5"
"7","NP.1","NP.5","NP.6","VC.1","VC.2","VC.5","NP.2","NP.3","NP.4","VC.3","VC.4","VC.6"
"8","NP.1","NP.3","NP.5","VC.1","VC.5","VC.6","NP.2","NP.4","NP.6","VC.2","VC.3","VC.4"
"9","NP.1","NP.3","NP.4","NP.5","VC.3","VC.4","NP.2","NP.6","VC.1","VC.2","VC.5","VC.6"
"10","NP.1","NP.2","VC.1","VC.3","VC.4","VC.6","NP.3","NP.4","NP.5","NP.6","VC.2","VC.5"
"11","NP.1","NP.2","NP.4","VC.3","VC.4","VC.6","NP.3","NP.5","NP.6","VC.1","VC.2","VC.5"
"12","NP.1","NP.4","NP.5","NP.6","VC.1","VC.6","NP.2","NP.3","VC.2","VC.3","VC.4","VC.5"
"13","NP.1","NP.2","NP.4","NP.6","VC.3","VC.5","NP.3","NP.5","VC.1","VC.2","VC.4","VC.6"
"14","NP.1","NP.5","NP.6","VC.3","VC.4","VC.6","NP.2","NP.3","NP.4","VC.1","VC.2","VC.5"
"15","NP.1","NP.3","NP.5","VC.1","VC.2","VC.3","NP.2","NP.4","NP.6","VC.4","VC.5","VC.6"
"16","NP.1","NP.4","VC.1","VC.3","VC.5","VC.6","NP.2","NP.3","NP.5","NP.6","VC.2","VC.4"
"17","NP.1","NP.2","NP.3","NP.6","VC.3","VC.5","NP.4","NP.5","VC.1","VC.2","VC.4","VC.6"
"18","NP.1","NP.3","NP.6","VC.3","VC.4","VC.5","NP.2","NP.4","NP.5","VC.1","VC.2","VC.6"
"19","NP.1","NP.5","NP.6","VC.2","VC.4","VC.5","NP.2","NP.3","NP.4","VC.1","VC.3","VC.6"
"20","NP.1","NP.4","NP.6","VC.3","VC.4","VC.6","NP.2","NP.3","NP.5","VC.1","VC.2","VC.5"
