"","ID","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB41127",1839,2143,3459,2807,6688,3164,262,1145,1638,426,844,2177,1.58259243184026,7.85083907800127,5.92264902458143,4.23708919844988e-05,0.202087969320067,0.818715439550012
"2","GB42594",93,200,240,133,553,257,11,72,99,24,51,118,1.72228875698187,3.8454602299534,5.98264553258948,3.82926029648969e-05,0.202087969320067,1.13995033009927
"3","GB46516",163,283,423,302,562,351,49,213,132,117,142,160,1.09798527054146,4.84709806841481,5.49032893866725,8.91661369984029e-05,0.283518593609255,0.947658891762876
"4","GB49017",198,336,409,207,389,344,17,137,133,22,60,225,1.73141830196826,4.35721790885624,4.92324034410919,0.00024595841298477,0.36819711715389,0.108715965093523
"5","GB51840",86,65,101,81,172,152,12,26,30,39,83,52,1.25514319059724,3.09992843890838,4.91911010698174,0.000247821354836542,0.36819711715389,-0.22175758098612
"6","GB51845",129,208,279,224,635,263,15,46,158,10,38,200,2.01752631464679,3.9541096182414,4.87188501736475,0.000270193921802834,0.36819711715389,-0.0883614745568915
"7","GB54268",603,1401,1029,834,2604,1465,207,560,769,379,915,745,0.844929111933905,6.82998717158858,4.89270329178294,0.000260083611596007,0.36819711715389,-0.000521403089579486
"8","GB50700",952,998,2254,1225,3051,1784,99,537,965,188,314,1263,1.707384145712,6.81196965412429,4.70383495082912,0.000368328393759686,0.439185568509205,-0.245836425527967
"9","GB41033",114,85,364,188,350,169,5,39,72,22,22,164,2.03812715061906,3.48350824857713,4.44574520354027,0.000596701113360287,0.441042788434212,-0.723923020937575
"10","GB41670",247,474,1621,1100,1718,534,61,126,506,60,218,394,1.81738025382543,5.66428418183565,4.48620515937263,0.000552956445511622,0.441042788434212,-0.406608602513614
"11","GB42758",22,27,63,55,134,82,1,14,19,7,12,54,1.87883606980688,1.82258651721887,4.51997826695435,0.000518980420961094,0.441042788434212,-1.25185311577416
"12","GB49689",55,81,136,50,187,92,11,20,71,7,10,51,1.84168433998939,2.61104984792938,4.4554252191083,0.000585920439597347,0.441042788434212,-0.978256330799314
"13","GB55416",20,87,66,102,137,78,72,100,201,170,161,198,-1.21058361323278,3.84489232844332,-4.44187827966312,0.000601064708003434,0.441042788434212,-0.520384336808363
"14","GB45499",1116,1440,2442,1506,3395,1987,111,1010,1089,258,376,1303,1.63493100075041,7.10283046411585,4.36310462979463,0.000697489138599837,0.475239206650275,-0.716665313579586
"15","GB49016",35,35,99,28,127,69,3,22,18,9,11,50,1.65452043789721,2.01252743012875,4.27644859021891,0.000822147537721378,0.522831024154948,-1.39467394246947
"16","GB40615",72,139,208,337,512,269,27,72,170,56,109,128,1.08830988477315,4.23228150584354,4.14474470011838,0.00105709287271351,0.551076434252947,-0.867946225998148
