"1","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6"
"2","NP.1","NP.4","NP.6","VR.1","VR.2","VR.4","NP.2","NP.3","NP.5","VR.3","VR.5","VR.6"
"3","NP.1","NP.5","VR.2","VR.4","VR.5","VR.6","NP.2","NP.3","NP.4","NP.6","VR.1","VR.3"
"4","NP.1","NP.2","NP.3","NP.6","VR.1","VR.6","NP.4","NP.5","VR.2","VR.3","VR.4","VR.5"
"5","NP.1","NP.4","VR.1","VR.2","VR.5","VR.6","NP.2","NP.3","NP.5","NP.6","VR.3","VR.4"
"6","NP.1","NP.2","NP.4","NP.5","VR.2","VR.6","NP.3","NP.6","VR.1","VR.3","VR.4","VR.5"
"7","NP.1","NP.4","NP.5","NP.6","VR.1","VR.3","NP.2","NP.3","VR.2","VR.4","VR.5","VR.6"
"8","NP.1","NP.4","NP.5","VR.3","VR.4","VR.5","NP.2","NP.3","NP.6","VR.1","VR.2","VR.6"
"9","NP.1","NP.2","VR.1","VR.3","VR.4","VR.6","NP.3","NP.4","NP.5","NP.6","VR.2","VR.5"
"10","NP.1","NP.5","VR.1","VR.2","VR.4","VR.5","NP.2","NP.3","NP.4","NP.6","VR.3","VR.6"
"11","NP.1","NP.2","NP.6","VR.3","VR.5","VR.6","NP.3","NP.4","NP.5","VR.1","VR.2","VR.4"
"12","NP.1","NP.3","NP.5","NP.6","VR.1","VR.3","NP.2","NP.4","VR.2","VR.4","VR.5","VR.6"
"13","NP.1","NP.4","NP.5","NP.6","VR.3","VR.4","NP.2","NP.3","VR.1","VR.2","VR.5","VR.6"
"14","NP.1","NP.2","NP.5","NP.6","VR.2","VR.6","NP.3","NP.4","VR.1","VR.3","VR.4","VR.5"
"15","NP.1","NP.4","VR.1","VR.3","VR.4","VR.5","NP.2","NP.3","NP.5","NP.6","VR.2","VR.6"
"16","NP.1","NP.3","NP.6","VR.2","VR.4","VR.6","NP.2","NP.4","NP.5","VR.1","VR.3","VR.5"
"17","NP.1","NP.3","NP.5","NP.6","VR.2","VR.4","NP.2","NP.4","VR.1","VR.3","VR.5","VR.6"
"18","NP.1","NP.2","NP.5","NP.6","VR.3","VR.5","NP.3","NP.4","VR.1","VR.2","VR.4","VR.6"
"19","NP.1","NP.2","VR.1","VR.2","VR.5","VR.6","NP.3","NP.4","NP.5","NP.6","VR.3","VR.4"
"20","NP.1","NP.2","VR.2","VR.3","VR.4","VR.5","NP.3","NP.4","NP.5","NP.6","VR.1","VR.6"
