"1","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6"
"2","NP.1","NP.2","NP.3","VS.2","VS.3","VS.6","NP.4","NP.5","NP.6","VS.1","VS.4","VS.5"
"3","NP.1","NP.4","NP.5","NP.6","VS.3","VS.6","NP.2","NP.3","VS.1","VS.2","VS.4","VS.5"
"4","NP.1","NP.3","NP.4","VS.1","VS.3","VS.4","NP.2","NP.5","NP.6","VS.2","VS.5","VS.6"
"5","NP.1","NP.3","NP.4","VS.2","VS.4","VS.5","NP.2","NP.5","NP.6","VS.1","VS.3","VS.6"
"6","NP.1","NP.4","NP.5","VS.1","VS.4","VS.5","NP.2","NP.3","NP.6","VS.2","VS.3","VS.6"
"7","NP.1","NP.2","NP.4","NP.5","VS.4","VS.5","NP.3","NP.6","VS.1","VS.2","VS.3","VS.6"
"8","NP.1","NP.2","NP.5","VS.3","VS.4","VS.5","NP.3","NP.4","NP.6","VS.1","VS.2","VS.6"
"9","NP.1","NP.2","NP.3","NP.4","VS.3","VS.5","NP.5","NP.6","VS.1","VS.2","VS.4","VS.6"
"10","NP.1","NP.2","NP.4","NP.5","VS.2","VS.4","NP.3","NP.6","VS.1","VS.3","VS.5","VS.6"
"11","NP.1","NP.4","NP.5","VS.2","VS.3","VS.6","NP.2","NP.3","NP.6","VS.1","VS.4","VS.5"
"12","NP.1","NP.2","NP.3","NP.6","VS.2","VS.3","NP.4","NP.5","VS.1","VS.4","VS.5","VS.6"
"13","NP.1","NP.3","NP.5","VS.1","VS.4","VS.5","NP.2","NP.4","NP.6","VS.2","VS.3","VS.6"
"14","NP.1","NP.2","NP.3","NP.5","VS.4","VS.6","NP.4","NP.6","VS.1","VS.2","VS.3","VS.5"
"15","NP.1","NP.5","NP.6","VS.3","VS.4","VS.6","NP.2","NP.3","NP.4","VS.1","VS.2","VS.5"
"16","NP.1","NP.3","NP.5","VS.1","VS.3","VS.4","NP.2","NP.4","NP.6","VS.2","VS.5","VS.6"
"17","NP.1","NP.3","NP.5","VS.4","VS.5","VS.6","NP.2","NP.4","NP.6","VS.1","VS.2","VS.3"
"18","NP.1","NP.2","NP.3","VS.2","VS.3","VS.5","NP.4","NP.5","NP.6","VS.1","VS.4","VS.6"
"19","NP.1","NP.2","NP.5","NP.6","VS.2","VS.6","NP.3","NP.4","VS.1","VS.3","VS.4","VS.5"
"20","NP.1","NP.3","NP.5","VS.2","VS.3","VS.5","NP.2","NP.4","NP.6","VS.1","VS.4","VS.6"
