"","ID","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40009",331,265,382,353,415,568,3020,775,903,1228,194,745,-1.50174980593648,6.38146384501516,-2.24219901735214,0.0425605956201878,0.99982670038069,-4.32188560912058
"2","GB40010",1016,1179,1129,5289,2746,3304,3610,2279,2936,4061,2350,5404,-0.920125743504208,8.56386792906424,-2.2507391847865,0.0418903176804433,0.99982670038069,-4.41674256429901
"3","GB40150",523,246,349,778,747,400,729,983,545,779,487,1063,-0.831742008239547,6.43560411612641,-2.12386551782605,0.0529477631046997,0.99982670038069,-4.35129544855392
"4","GB40514",110,221,272,272,281,310,57,128,187,232,265,260,0.359223199224938,4.86546731505162,2.27462613314825,0.0400680158025193,0.99982670038069,-4.26794685937785
"5","GB40624",129,86,172,290,118,227,157,140,227,401,187,445,-0.654494095714083,4.82630100674488,-2.23978600572104,0.0427518046568579,0.99982670038069,-4.28192838805599
"6","GB40699",7,9,10,52,30,26,0,13,5,14,4,10,1.66175794898099,0.535400200018051,2.96743432347426,0.0106568306446361,0.99982670038069,-4.44587837310624
"7","GB40703",238,190,265,510,340,391,134,401,463,519,408,609,-0.430471765946231,5.66151891960813,-2.49829982488285,0.0262919115187895,0.99982670038069,-4.21381580704574
"8","GB40803",10,12,6,12,12,8,11,25,15,18,15,19,-0.822411654579178,0.965103756102663,-2.54038639223189,0.0242675400099759,0.99982670038069,-4.4642264679249
"9","GB40846",4,7,10,18,10,10,5,10,17,15,13,22,-0.53345105727801,0.70961760139177,-2.40237339484697,0.0315302099880253,0.99982670038069,-4.48511888703736
"10","GB40967",436,1171,861,1088,1199,1158,382,8721,1652,2871,989,3089,-1.08654305240306,7.62255883453001,-2.35202677116527,0.03466490941428,0.99982670038069,-4.35973749663147
"11","GB41011",380,407,453,1007,1376,833,884,1040,587,1263,837,1379,-0.751113604511136,6.87477414608339,-2.17129798513747,0.0485278184976156,0.99982670038069,-4.36075790947833
"12","GB41071",46,24,53,36,43,29,46,63,59,43,52,90,-0.685830865256638,2.78005532716211,-2.30673020235687,0.0377365971455099,0.99982670038069,-4.39730403532075
"13","GB41445",11,25,31,41,32,32,8,16,21,19,23,28,0.495569745891151,1.72452217478266,2.72872800576151,0.0169127143675317,0.99982670038069,-4.40610181275452
"14","GB41723",87,95,132,142,131,127,50,100,184,168,143,294,-0.361121174509107,4.22809797955376,-2.26425753244538,0.0408496348443504,0.99982670038069,-4.2959163882954
"15","GB41728",32,17,15,45,39,33,36,38,49,52,49,69,-0.825287853665368,2.45018697231348,-2.82659797469196,0.0140011640872331,0.99982670038069,-4.34217120938477
