"1","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6"
"2","NR.1","NR.4","NR.6","NS.1","NS.2","NS.5","NR.2","NR.3","NR.5","NS.3","NS.4","NS.6"
"3","NR.1","NR.2","NS.1","NS.2","NS.3","NS.6","NR.3","NR.4","NR.5","NR.6","NS.4","NS.5"
"4","NR.1","NR.2","NR.6","NS.1","NS.2","NS.5","NR.3","NR.4","NR.5","NS.3","NS.4","NS.6"
"5","NR.1","NR.5","NR.6","NS.1","NS.3","NS.6","NR.2","NR.3","NR.4","NS.2","NS.4","NS.5"
"6","NR.1","NR.4","NR.5","NR.6","NS.4","NS.6","NR.2","NR.3","NS.1","NS.2","NS.3","NS.5"
"7","NR.1","NR.2","NR.5","NS.1","NS.5","NS.6","NR.3","NR.4","NR.6","NS.2","NS.3","NS.4"
"8","NR.1","NR.4","NS.1","NS.2","NS.3","NS.6","NR.2","NR.3","NR.5","NR.6","NS.4","NS.5"
"9","NR.1","NR.2","NR.4","NR.6","NS.1","NS.6","NR.3","NR.5","NS.2","NS.3","NS.4","NS.5"
"10","NR.1","NR.4","NR.5","NS.1","NS.4","NS.6","NR.2","NR.3","NR.6","NS.2","NS.3","NS.5"
"11","NR.1","NR.2","NR.4","NR.5","NS.1","NS.2","NR.3","NR.6","NS.3","NS.4","NS.5","NS.6"
"12","NR.1","NR.3","NS.2","NS.4","NS.5","NS.6","NR.2","NR.4","NR.5","NR.6","NS.1","NS.3"
"13","NR.1","NR.3","NR.5","NS.1","NS.4","NS.5","NR.2","NR.4","NR.6","NS.2","NS.3","NS.6"
"14","NR.1","NR.4","NR.6","NS.4","NS.5","NS.6","NR.2","NR.3","NR.5","NS.1","NS.2","NS.3"
"15","NR.1","NR.6","NS.1","NS.2","NS.3","NS.5","NR.2","NR.3","NR.4","NR.5","NS.4","NS.6"
"16","NR.1","NS.1","NS.3","NS.4","NS.5","NS.6","NR.2","NR.3","NR.4","NR.5","NR.6","NS.2"
"17","NR.1","NR.3","NR.4","NR.5","NS.1","NS.6","NR.2","NR.6","NS.2","NS.3","NS.4","NS.5"
"18","NR.1","NR.3","NR.6","NS.2","NS.3","NS.5","NR.2","NR.4","NR.5","NS.1","NS.4","NS.6"
"19","NR.1","NR.4","NR.6","NS.2","NS.3","NS.4","NR.2","NR.3","NR.5","NS.1","NS.5","NS.6"
"20","NR.1","NR.2","NS.1","NS.2","NS.3","NS.4","NR.3","NR.4","NR.5","NR.6","NS.5","NS.6"
