"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40392",221,131,277,213,184,338,73,88,184,173,120,83,0.905603974325867,4.16882309317361,4.17319531805397,0.00100455154940605,0.44559594088571,-0.957892646222166
"2","GB42586",762,635,1037,542,1446,1880,214,159,622,496,606,628,1.18455779118984,6.14038806271132,4.49717535143002,0.000543881003495046,0.44559594088571,-0.457600367967112
"3","GB42741",8405,3146,3266,7098,6664,4590,1222,1471,3019,1960,2818,1832,1.36498214384353,8.50391870632438,4.16922768906292,0.00101219521935835,0.44559594088571,-1.16670558869614
"4","GB42825",14,17,14,15,21,43,2,1,13,9,4,13,1.76118969316514,0.24865810753665,4.28851970470259,0.000806447605787473,0.44559594088571,-1.95832072100243
"5","GB44882",3741,1997,2380,2269,3219,5285,649,533,1752,1581,2147,1352,1.29262064838974,7.74786877967043,5.01657490819493,0.000208577233830355,0.44559594088571,-0.0735306046346729
"6","GB45283",501,276,246,411,517,659,100,95,200,197,306,220,1.19149236402831,4.9265694520623,4.49447629522106,0.00054664268718874,0.44559594088571,-0.4446877062019
"7","GB46177",887,1131,1141,675,999,1524,382,381,630,627,996,705,0.754623855461112,6.47383097852908,4.17672759688594,0.000997796427498076,0.44559594088571,-0.90323918254212
"8","GB46620",1266,819,988,964,1405,1412,437,432,778,751,693,808,0.780528407321999,6.58619438922313,4.57563480414809,0.000469590940998489,0.44559594088571,-0.399564875074354
"9","GB48407",1399,889,1417,872,1430,2162,326,381,1045,604,547,736,1.14586959429996,6.6120433240605,5.1690124097436,0.000158463694346276,0.44559594088571,0.304478980968413
"10","GB48468",62,45,85,88,132,66,14,12,56,48,26,23,1.44391139388932,2.34577798983396,4.5301909923715,0.000511241602678164,0.44559594088571,-1.13914761813407
"11","GB48662",5720,1831,4533,3756,3873,6303,584,1214,3222,1848,764,1211,1.62928249509863,8.01072240327332,4.36676289366429,0.000695325026748237,0.44559594088571,-0.863647145925704
"12","GB48664",42,56,48,33,43,50,9,3,11,13,30,33,1.67063334385523,1.48400124491844,4.66452035426615,0.000397957216940875,0.44559594088571,-1.34843778426745
"13","GB48905",4116,4614,5014,2406,4745,4866,1437,1176,3067,1778,2837,1825,1.07579008571369,8.33491001466244,4.56136345038623,0.000482279483932481,0.44559594088571,-0.683681345717119
"14","GB48931",242,393,366,281,298,612,77,131,228,172,233,252,0.981632709851872,4.7988807203392,4.63402353288164,0.000421166558718684,0.44559594088571,-0.264358472414562
"15","GB49706",1065,786,893,640,715,891,324,229,520,584,717,402,0.883992797356533,6.09212863651857,4.30433315187556,0.000782601252138874,0.44559594088571,-0.697920270178665
"16","GB51666",3094,1696,2332,2533,2794,2902,877,728,2058,1788,1573,1270,0.917230800065965,7.68995774636678,4.43374694817603,0.000612759394751198,0.44559594088571,-0.732858705648169
"17","GB51733",5710,4852,4451,6702,11305,9553,1481,2076,2743,2579,5214,4306,1.20164201764015,8.95415214326492,4.24455777694867,0.000876745917342482,0.44559594088571,-1.14141905963677
"18","GB51834",958,927,1491,1101,1539,1796,385,423,666,555,1004,355,1.19147777986847,6.54587217406817,5.06087677459739,0.000192507511509727,0.44559594088571,0.188368797520272
"19","GB53141",3927,2845,3335,4106,2248,2995,1006,673,1844,1024,2545,799,1.39220190206603,7.78853102801402,4.22561929711175,0.000908942566655845,0.44559594088571,-1.00144183149574
"20","GB55070",676,432,687,361,680,732,190,150,400,490,353,483,0.81357579334277,5.60528410018438,4.26937143403945,0.000836326145320111,0.44559594088571,-0.713926530500942
"21","GB55746",1975,1562,1972,1482,2391,3917,630,515,1450,1643,1751,1393,0.876384105239379,7.44927999012134,4.32132082148049,0.000757791043303765,0.44559594088571,-0.836926394514985
"22","GB55765",1329,1167,1495,1258,1430,3658,346,235,923,887,1222,1042,1.21102066388031,6.87101359968664,4.38232361001284,0.000675174492696053,0.44559594088571,-0.685910081712914
"23","GB50891",2925,5371,6522,4479,3243,10609,1150,1501,2184,2222,4996,2219,1.17240636355006,8.54642106298016,4.1274974912196,0.00109629652434405,0.461636166881398,-1.22068246611845
"24","GB49940",1594,906,834,980,1382,2243,247,358,999,552,549,862,1.17022755590951,6.54307385375205,4.08856603979438,0.0011812177185883,0.475234610810369,-1.03358758260981
"25","GB51503",437,465,374,539,553,763,155,221,319,377,425,356,0.747363979420268,5.46603694043827,4.06886607613215,0.00122672847395552,0.475234610810369,-0.98509876857069
"26","GB50262",140,197,260,188,171,435,58,99,116,210,142,154,0.777869754285138,4.21067931382409,4.02218377649536,0.0013418799258744,0.499850272388214,-1.14499647852496
"27","GB40136",6133,6852,5690,6878,15622,11898,1014,1593,2758,3748,2702,10017,1.53668901918477,9.09285859585573,4.00079253701629,0.00139828494396132,0.501569988232049,-1.44497911870704
"28","GB40511",535,292,274,382,614,648,95,95,305,213,289,297,1.08960369882287,5.04700994246721,3.90635211530619,0.00167778388656698,0.541644564713375,-1.2305015583932
"29","GB42632",62,71,96,52,93,120,9,39,32,57,51,55,1.09985438147507,2.60611284159165,3.91308419911548,0.00165609236307226,0.541644564713375,-1.68597395293638
"30","GB49957",458,413,460,499,719,719,154,269,228,549,283,422,0.815791738730457,5.49666616586561,3.92626911015095,0.00161443439210759,0.541644564713375,-1.18725032399609
"31","GB51840",92,61,119,178,188,195,28,28,42,81,135,51,1.23166789465132,3.22477223692978,3.85866157876106,0.00183998056638818,0.574845541466758,-1.58580547105706
"32","GB43298",17,6,16,9,18,19,19,11,26,53,31,52,-1.142250288133,1.1722922180758,-3.82023440603907,0.00198224497357254,0.591527200542928,-2.16515664420064
"33","GB48853",812,1060,1348,810,927,1724,391,482,759,776,1055,740,0.626233452138545,6.5949604391257,3.80863488823373,0.00202735252671767,0.591527200542928,-1.41339565588196
"34","GB55629",644,726,935,769,645,1274,239,212,475,298,970,425,1.02906812050307,5.98588622497165,3.79626559367292,0.00207660555688792,0.591527200542928,-1.39291593221757
"35","GB40684",518,832,555,568,218,2000,202,152,202,196,458,189,1.47900685923002,5.40066411361658,3.6655127461133,0.00267795106220333,0.648439179025891,-1.57700479394306
"36","GB44132",709,790,961,533,771,884,272,410,590,422,576,494,0.715544235185395,6.06230778681206,3.6635313965034,0.0026883113424403,0.648439179025891,-1.58009596254322
"37","GB45855",1842,999,928,1710,2295,3155,359,501,1011,934,922,1369,1.06358147488854,7.0216309452237,3.70128199258978,0.00249772648782692,0.648439179025891,-1.59892736429643
"38","GB49331",3387,1915,2332,3846,3961,7438,583,651,1352,2199,3322,2368,1.24073144715314,7.99735446875389,3.70792049240207,0.00246565695353546,0.648439179025891,-1.67869976135323
"39","GB52185",1949,1303,1289,3185,2845,3222,310,500,888,1231,1709,1708,1.2474228475238,7.30342516976147,3.65281206732843,0.00274507035003217,0.648439179025891,-1.68829512328852
"40","GB53306",648,247,491,749,896,1030,120,194,358,533,282,387,1.07099154587164,5.57357891096683,3.67865926489758,0.00261022704146511,0.648439179025891,-1.54771196580324
