"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40080",49,84,39,54,46,46,24,25,25,32,25,86,1.1783156212682,2.38866522310928,3.17774412930774,0.00681643972850972,0.908381422050962,-4.25689098915873
"2","GB40159",242,250,314,157,262,312,131,224,215,292,351,338,0.561762358331249,4.98822669691372,3.24187530726622,0.00600496766542425,0.908381422050962,-3.90688438801998
"3","GB40230",12,10,11,15,12,18,7,6,6,15,7,14,1.0732804596369,0.482380115208272,3.398039326364,0.00441015659882901,0.908381422050962,-4.3901090261497
"4","GB40231",15,18,21,24,25,32,16,10,16,31,12,22,0.902357267216623,1.3239995263348,2.94442800466464,0.0108004370505532,0.908381422050962,-4.37865998930839
"5","GB40382",250,269,263,158,313,277,170,315,284,316,289,300,0.407600175228871,5.06483878510754,2.99666022000145,0.00974482107973989,0.908381422050962,-3.98195244030992
"6","GB40626",1772,2699,1606,3032,2564,2967,777,1029,926,2546,1415,3533,1.27592818608329,7.891197680816,3.38915385449223,0.0044882727361958,0.908381422050962,-4.05459871929617
"7","GB40830",27,16,49,21,43,38,40,78,80,93,63,67,-0.627123104459449,2.54694746940787,-3.10315355222209,0.00789850293863115,0.908381422050962,-4.25481131196742
"8","GB40906",123,126,144,75,135,150,89,106,175,165,109,130,0.503533573945554,3.99184792017298,3.7277443282075,0.00230262596166058,0.908381422050962,-3.89190720118095
"9","GB40973",149,152,143,145,268,338,72,34,72,126,42,404,1.67933668988859,4.01778706107894,3.61863611213305,0.00285377353665724,0.908381422050962,-3.93898366102244
"10","GB40975",51,98,41,87,82,145,16,26,19,66,48,121,1.4879558611398,2.80985058634462,3.19080395579836,0.00664277382951413,0.908381422050962,-4.20772136498494
"11","GB41756",88,149,82,48,81,99,120,35,43,40,20,101,1.40053663670306,3.07549957890371,3.28487684092203,0.00551560320270021,0.908381422050962,-4.15269631540679
"12","GB42039",11807,15023,13238,20663,16421,21536,5758,9261,7977,18985,16265,21327,1.00571151832154,10.7862223724827,2.99111478851603,0.00985187670526392,0.908381422050962,-4.28730325081545
"13","GB42174",163,93,199,62,188,222,217,292,400,361,251,303,-0.502535913918466,4.71477306092542,-3.10249523766047,0.00790877565944891,0.908381422050962,-3.98570292471988
"14","GB42249",351,451,396,461,614,836,89,223,253,539,445,768,1.2093568115106,5.65481257096253,3.21100596004704,0.00638277907561029,0.908381422050962,-3.92896744598339
"15","GB42541",50,86,63,69,47,93,40,35,45,65,26,99,0.998635730366847,2.84225478270164,3.06866988418246,0.00845483635414438,0.908381422050962,-4.2215525163364
"16","GB42592",33,31,27,34,24,31,13,8,13,16,37,44,1.21361736492642,1.60549242944652,3.045072654157,0.0088577521430442,0.908381422050962,-4.34746668553131
"17","GB42849",184,98,242,111,182,267,215,345,449,502,289,335,-0.464722035752141,4.94822757982496,-3.02845569209262,0.00915283490286453,0.908381422050962,-3.99257586277947
"18","GB42868",20,29,24,20,27,37,6,14,11,26,16,25,1.28237023917908,1.34531999225309,4.56548125063848,0.000456707360233676,0.908381422050962,-4.22608115297594
"19","GB42984",241,467,378,399,354,739,66,33,154,180,87,774,2.21179607023203,4.86020462561,4.00504326107045,0.00133894148350147,0.908381422050962,-3.7682839753365
"20","GB43039",70,26,31,34,40,50,90,77,120,154,111,97,-0.869142210371801,3.05953104651023,-3.82619054710193,0.00189834495225278,0.908381422050962,-4.06974615479844
"21","GB43111",390,508,417,237,376,557,251,400,408,590,478,503,0.460336252438217,5.72073303994944,2.95631909358171,0.0105506165715149,0.908381422050962,-4.00648383684992
"22","GB43227",30,45,53,34,68,56,24,23,15,12,9,55,1.8083539429756,1.95090925476244,4.48000320910235,0.000537006238576936,0.908381422050962,-4.15985553793193
"23","GB43245",297,545,440,398,448,728,138,245,283,504,325,705,1.0566118832545,5.61917495747279,3.51946606737006,0.00346993267186225,0.908381422050962,-3.83397162036277
"24","GB43314",46,24,46,20,53,82,69,150,132,197,102,82,-0.924784750704528,3.1355642618692,-4.07046990146678,0.00117914013156113,0.908381422050962,-4.01988950381107
"25","GB43830",61,65,54,22,48,79,23,55,64,46,59,53,0.649827392994191,2.67324402290062,3.10760789058786,0.0078293420874699,0.908381422050962,-4.23377427380873
"26","GB43866",55,61,25,19,40,29,15,15,18,19,35,10,1.52427223609544,1.68808714561687,4.22448073902366,0.000875537300272319,0.908381422050962,-4.21533692107875
"27","GB44271",55,52,61,39,54,92,21,26,32,57,85,57,0.994771068516585,2.6445325064149,3.69242037094878,0.00246812799611727,0.908381422050962,-4.14570836101448
"28","GB44330",193,171,214,176,245,384,72,103,113,230,172,326,1.09261899326877,4.53978941324129,3.97394002275695,0.00142250558321874,0.908381422050962,-3.74924760752588
"29","GB44399",11,9,13,5,16,16,27,59,31,53,20,40,-1.10683389336576,1.38011710319493,-3.80143504386411,0.00199267224394735,0.908381422050962,-4.29339416542543
"30","GB44551",49,69,75,50,51,76,29,39,50,72,27,97,0.871263059515017,2.78304322478503,3.17118100101444,0.00690541414154605,0.908381422050962,-4.21016767258212
"31","GB44802",427,605,397,309,499,642,196,395,387,576,651,558,0.665978012093285,5.83874412161733,3.0348887249387,0.0090374607414394,0.908381422050962,-3.98842884021853
"32","GB45051",444,501,522,311,528,664,211,373,448,853,612,599,0.585556744496116,5.93306332719483,2.9610445318771,0.0104529293254684,0.908381422050962,-4.01696803601726
"33","GB45441",20,3,21,19,10,19,29,54,60,60,25,37,-1.11419004255761,1.61154778651008,-2.96869855308206,0.0102965901699315,0.908381422050962,-4.36161991235112
"34","GB45528",291,319,301,421,349,432,178,250,234,341,315,466,0.834334979161611,5.33062304948648,3.37220958497152,0.00464110760339984,0.908381422050962,-3.86497957732122
"35","GB45741",15,26,11,7,28,19,6,7,7,8,9,17,1.4244820077745,0.63368648714368,3.98046265008694,0.0014045509731195,0.908381422050962,-4.33696736390623
"36","GB47270",142,153,270,92,147,127,363,345,298,552,400,240,-0.734030903877975,4.87054237841568,-3.0125765000223,0.00944389764663781,0.908381422050962,-4.0105515604622
"37","GB47459",86,53,73,36,64,98,107,127,171,214,105,124,-0.509035149209279,3.59865826821786,-3.15594094165376,0.00711650362145306,0.908381422050962,-4.10671506392241
"38","GB47516",54,64,73,106,81,102,33,45,34,92,49,108,1.01070984470908,3.06176511787987,3.11980119409772,0.00764308237207327,0.908381422050962,-4.18405074684492
"39","GB47521",1445,2207,2036,1057,2348,2651,1250,2262,1836,1201,1423,1817,0.766861126068483,7.78473246241303,3.49312987411237,0.00365504432185871,0.908381422050962,-4.02439853622439
"40","GB47656",79,15,40,8,33,20,34,130,59,171,132,129,-1.35023054534935,2.66937376166104,-3.19386819404154,0.00660266914483027,0.908381422050962,-4.23581020295363
"41","GB47996",14,4,10,6,7,13,17,19,39,46,19,15,-0.916058418510128,0.889512214557312,-2.98017759028635,0.0100664376157335,0.908381422050962,-4.40500907201047
"42","GB48018",121,193,155,99,148,174,90,122,143,185,176,159,0.552260649967887,4.20099042741148,3.16773142896104,0.0069526416115967,0.908381422050962,-4.0000295769852
"43","GB48241",370,509,563,379,522,620,324,365,483,451,319,827,0.700155846995944,5.87813306081611,3.0610459869149,0.00858298541426093,0.908381422050962,-3.98288962084578
"44","GB48270",80,82,60,74,56,138,33,38,40,86,45,124,1.04652648839856,3.06156871063224,3.29033638405391,0.00545639486717041,0.908381422050962,-4.15174893745822
"45","GB48325",89,175,106,117,90,121,43,49,60,65,39,165,1.37649784838805,3.42238037332149,3.99457336092647,0.00136649606745032,0.908381422050962,-3.96494381587248
"46","GB48343",41,20,47,18,124,140,87,187,206,359,180,122,-1.24724502507453,3.55125895602188,-3.4159147476692,0.0042571170463239,0.908381422050962,-4.0799370921543
"47","GB48409",73,37,77,33,66,94,63,139,216,280,113,146,-0.74244518387658,3.56724191846009,-3.33675738974235,0.0049779796317365,0.908381422050962,-4.07643114209892
"48","GB48511",20,8,28,7,17,12,33,45,35,42,59,27,-0.900229994064209,1.59680133671478,-3.04537790711777,0.00885242053241946,0.908381422050962,-4.35238308769925
"49","GB48603",37,73,57,70,50,53,71,21,29,44,17,51,1.20772625184802,2.49733241990415,2.96520047089334,0.0103677528160934,0.908381422050962,-4.27887147214505
"50","GB48629",207,277,198,154,254,275,67,169,168,275,302,261,0.76967573618415,4.70546757504996,3.12674468408648,0.0075389906089647,0.908381422050962,-3.95947201214869
"51","GB48673",120,107,97,84,133,138,41,62,63,131,107,117,0.983229415553547,3.60261243640837,4.43851531028348,0.000581094608795412,0.908381422050962,-3.84085047409601
"52","GB48919",27,28,24,36,28,54,6,15,15,41,25,40,1.14038163403159,1.70087396665239,3.17215716458159,0.00689210773474448,0.908381422050962,-4.32426197449373
"53","GB48960",89,127,98,64,72,153,64,56,83,136,55,105,0.820325145545636,3.4809430788135,3.45651508480385,0.00392904930281956,0.908381422050962,-4.04989430771937
"54","GB49248",210,228,207,193,176,257,165,54,103,150,94,248,1.35710787346325,4.35822015854633,4.1214520247201,0.00106822810430038,0.908381422050962,-3.75068577633547
"55","GB49387",16,28,12,11,22,23,11,23,8,15,16,6,1.07658219596777,0.94585583660985,2.98088364854972,0.0100524482456023,0.908381422050962,-4.39906238017583
"56","GB49460",20,19,13,15,32,30,7,8,13,31,22,15,1.02434929615562,1.15601628924545,3.12920877958332,0.00750239035880902,0.908381422050962,-4.37056331916945
"57","GB49544",2782,1458,1261,693,13760,5103,281,878,1204,672,3030,1963,1.81954312645655,7.68326345869209,2.95596773013793,0.0105579160346802,0.908381422050962,-4.14130714993873
"58","GB49806",74,70,96,89,121,106,63,35,48,77,29,146,1.20581352420461,3.21507214865265,3.46316102904681,0.00387782234566121,0.908381422050962,-4.09667868708322
"59","GB49857",292,417,360,346,421,495,318,148,173,234,106,569,1.36847478393623,5.21875588137567,3.54708231511993,0.00328596213991157,0.908381422050962,-3.82369035117845
"60","GB49858",99,141,91,146,112,129,104,41,43,55,35,152,1.47945384008715,3.45324846063763,3.64754642370926,0.00269588409938571,0.908381422050962,-4.02480574914719
"61","GB49915",65,31,40,23,29,68,48,106,96,102,95,84,-0.566298502660506,2.90543056587591,-2.95226625683357,0.0106351161518396,0.908381422050962,-4.23986924300131
"62","GB49968",84,53,88,42,54,80,48,68,49,79,68,59,0.636705030976972,3.01216337280502,3.63969874145514,0.00273784821562642,0.908381422050962,-4.09562594850329
"63","GB50065",70,198,102,193,158,136,36,68,43,134,63,178,1.31461682340922,3.67621017019855,3.09176255429379,0.0080781374841114,0.908381422050962,-4.10731939803466
"64","GB50192",69,106,71,71,68,86,53,35,52,49,33,108,1.13620939856428,3.01358269656181,3.66358063761526,0.0026121561731669,0.908381422050962,-4.09337759076674
"65","GB50260",104,120,141,62,112,132,65,92,107,108,138,144,0.582780179139642,3.77933492868288,3.3589641460071,0.00476420689968669,0.908381422050962,-4.01739902236799
"66","GB50377",82,151,79,92,124,182,38,44,49,86,77,169,1.25211309217887,3.48398065851897,3.68783998450524,0.00249045383057187,0.908381422050962,-4.00783951923263
"67","GB50414",30,18,29,12,19,33,31,49,52,65,48,45,-0.520240978269719,2.07288965932516,-3.12948661780802,0.00749827460489984,0.908381422050962,-4.29833610688557
"68","GB50417",76,129,73,115,104,115,18,47,47,91,83,114,1.24255243099981,3.28058168386325,3.60014010450119,0.00295966011501967,0.908381422050962,-4.06152191136297
"69","GB50627",277,175,536,127,381,344,535,975,1060,1750,951,287,-0.982846854424901,5.90934495710041,-3.06311249423156,0.00854806080853392,0.908381422050962,-4.00655623227359
"70","GB50691",304,344,318,193,332,347,181,311,256,416,353,354,0.536955979874145,5.26913913634471,3.49913327639377,0.00361199059973654,0.908381422050962,-3.8249465082083
