"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB48134",480,324,466,625,409,207,56,308,76,118,125,124,1.68331855823832,5.07144767135661,6.13423474418577,2.60240724555291e-05,0.24959687892098,2.0106454203209
"2","GB41647",94,75,126,70,39,42,31,30,19,24,12,26,1.47413316934438,2.64390881489762,4.95201592708583,0.000213483676943005,0.338266789447769,-0.225630011415208
"3","GB42272",31,26,41,42,24,12,14,12,9,13,12,8,1.1973373347423,1.49123367053427,5.20149484354095,0.000134799359208259,0.338266789447769,-0.568296820391187
"4","GB47509",37,25,43,61,26,15,38,80,44,89,54,86,-1.04357171552253,2.8032933344582,-5.16928188153698,0.000142979192858999,0.338266789447769,0.119703581493506
"5","GB49567",395,185,589,539,308,239,794,690,724,1089,466,652,-1.14387874715641,6.28304514253955,-4.89957304583898,0.000235384562548819,0.338266789447769,0.433189742077475
"6","GB50411",187,119,234,279,216,98,268,333,219,431,241,277,-0.798262860811684,5.14637597469187,-5.07344141600773,0.000170507076327458,0.338266789447769,0.734542534490666
"7","GB54164",1469,771,1622,1937,987,590,1697,2120,2016,3413,1258,2537,-0.95567068948483,7.90511846106177,-4.87402564840412,0.000246884321356937,0.338266789447769,0.192970775612716
"8","GB43015",199,105,206,247,126,73,197,225,160,323,172,279,-0.664373187567092,4.81331913718577,-4.40523938230057,0.000600588803730451,0.385560082097838,-0.261573508704799
"9","GB43256",605,625,842,1007,533,292,1050,907,913,1757,625,812,-0.741843783320821,6.90170781526597,-4.22630529959571,0.000848549096667335,0.385560082097838,-0.597224086375888
"10","GB43911",53,30,55,59,37,16,82,79,65,72,63,131,-1.08192090589622,3.12211897800522,-4.29502405053291,0.000742796461352943,0.385560082097838,-0.787387388091872
"11","GB44336",267,79,309,239,142,113,376,270,340,385,320,510,-1.19001686292995,5.28366622393566,-4.22799651261878,0.00084576939855462,0.385560082097838,-0.525279754349077
"12","GB46362",185,62,233,279,180,105,339,433,391,274,283,349,-1.25273820528578,5.17497278991248,-4.27699382347648,0.000769162416778192,0.385560082097838,-0.453541796872207
"13","GB46581",201,103,249,296,165,101,224,283,251,450,195,382,-0.828759984643437,5.11729015212766,-4.3241997784623,0.000702080521806427,0.385560082097838,-0.372475451211096
"14","GB47133",14,17,36,33,12,32,51,62,35,125,24,68,-1.46978414369036,2.4421962676691,-4.16128249185095,0.000962834278073785,0.385560082097838,-1.18817719887027
"15","GB47563",2383,1412,2585,3771,1743,1788,4288,5205,5054,17266,2728,4054,-1.32603673565099,9.04777601920362,-4.21728353019647,0.000863536366196175,0.385560082097838,-0.837316508043224
"16","GB48097",134,84,138,200,70,53,254,215,148,169,181,153,-0.897550567924864,4.42947031983749,-4.1602320374129,0.000964804709659902,0.385560082097838,-0.675266005305519
"17","GB51809",105,76,182,197,113,53,199,157,171,236,170,180,-0.806965192864317,4.47927475728301,-4.28899671689099,0.000751505575959935,0.385560082097838,-0.472978002978561
