"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40848",40,44,106,90,31,42,62,130,115,74,120,163,-0.990185623868878,3.53051174253383,-4.13340749762536,0.00105039710553826,0.517728151735496,-1.54085282867734
"2","GB41033",252,277,645,195,30,206,61,18,152,54,101,80,1.5552847323236,4.11918953822822,3.22156992983392,0.00627275720161388,0.517728151735496,-2.43154253028777
"3","GB41069",213,254,298,267,135,186,142,102,208,126,214,192,0.408200911400925,4.84110067536725,3.65250698579834,0.00268238207726367,0.517728151735496,-1.70422827942067
"4","GB41118",184,96,318,161,80,144,373,254,362,125,253,253,-0.832515140065083,4.90471287644906,-3.49504513183207,0.00365682243356537,0.517728151735496,-1.91700786257998
"5","GB41338",332,306,376,212,158,896,53,46,210,131,208,84,1.59291682153773,4.81516408392907,3.58599847328453,0.00305713305090778,0.517728151735496,-1.85881908636036
"6","GB41362",46,40,48,64,15,41,21,14,45,16,23,24,0.751798121231861,2.20198374694054,3.26128456483433,0.00579977931458483,0.517728151735496,-2.85463216611215
"7","GB41378",300,369,393,464,194,278,149,187,294,212,278,243,0.4941487845401,5.36014634230858,3.3894578299094,0.00450337530248503,0.517728151735496,-2.02746716536132
"8","GB41801",114,134,157,170,52,89,56,47,99,61,103,82,0.599878634013129,3.78743611384497,3.92942567013024,0.00156019928750024,0.517728151735496,-1.64209264610397
"9","GB42072",120,138,252,191,73,85,283,149,275,106,194,277,-0.654093139898598,4.64466488837471,-3.54655132097662,0.0033039754116531,0.517728151735496,-1.87650738697629
"10","GB42234",355,264,621,284,224,245,538,334,588,281,433,721,-0.619418095272223,5.86273845491131,-3.37711565307275,0.00461440073476898,0.517728151735496,-2.04887764634685
"11","GB42261",595,478,587,743,267,538,170,84,416,266,413,315,1.02080627148963,5.76331358283688,3.70057995393382,0.00244076314546513,0.517728151735496,-1.61546465900007
"12","GB42432",23,17,28,23,12,23,30,31,45,22,29,59,-0.802150246068422,2.04613405757903,-3.6361627806146,0.00276993481030566,0.517728151735496,-2.58541969196641
"13","GB42495",214,325,368,320,137,196,114,107,231,147,272,189,0.508632238198468,4.9637009970709,3.23386504810779,0.00612235351209913,0.517728151735496,-2.2631356923677
"14","GB42594",465,549,310,277,47,240,124,35,152,54,106,142,1.42014165462856,4.5381640652429,3.3614336682321,0.00475944144287444,0.517728151735496,-2.17703380409948
"15","GB42615",403,304,588,464,265,224,496,528,926,371,467,870,-0.759781642763074,6.12148180340196,-4.28928570801925,0.000778264839698649,0.517728151735496,-0.859387793471021
"16","GB42758",51,61,62,40,17,22,11,7,39,22,28,13,1.08540336833596,1.99736137088453,3.24227039751603,0.00602160973230965,0.517728151735496,-2.93368087055043
"17","GB42985",855,808,796,751,326,462,212,366,654,170,384,292,0.945434376902504,6.09915183564048,4.44255797445023,0.00058090584559813,0.517728151735496,-0.676003319949341
