"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40007",134,24,53,129,297,228,193,139,696,390,166,600,-1.53904562057193,4.56796198912937,-2.88831126012562,0.0122480981976111,0.842367641608614,-4.08900707181957
"2","GB40084",70,79,110,125,77,95,57,65,79,63,58,96,0.350725358205934,3.38701401081425,2.58488159118661,0.0220539961624842,0.842367641608614,-4.27964616001246
"3","GB40158",85,11,40,22,53,58,28,93,133,87,76,133,-1.26145547485985,2.877513049345,-3.02407507250542,0.00939420704456423,0.842367641608614,-4.25388125055075
"4","GB40212",1219,285,606,600,527,854,561,1519,1407,1120,1288,938,-0.849264026040563,6.75818835894942,-2.7381395452498,0.0164032914926635,0.842367641608614,-4.13693647549144
"5","GB40221",74,88,117,197,75,147,48,79,72,59,70,75,0.678025553569883,3.49440720919274,3.47319629370435,0.00389619238944549,0.842367641608614,-4.083542571325
"6","GB40273",83,47,123,180,124,90,122,96,198,155,164,171,-0.580588621896987,4.00166095716052,-2.8363101908404,0.0135543762572122,0.842367641608614,-4.14253893719111
"7","GB40303",13,14,25,39,42,38,26,39,83,48,36,41,-0.771849608685145,2.1484055346622,-2.62593354018259,0.0203779652620148,0.842367641608614,-4.37656303084263
"8","GB40336",1873,535,1019,1079,1458,1338,1031,1780,2878,2242,1671,2468,-0.789221550159128,7.60375790800287,-2.89477239739303,0.012094700565811,0.842367641608614,-4.15628582569367
"9","GB40478",27,59,72,55,43,59,32,36,28,23,28,33,0.704749129681238,2.36852884656446,2.80009959263512,0.0145438091331288,0.842367641608614,-4.33534023622851
"10","GB40629",89,20,66,85,202,341,214,127,230,228,199,287,-1.18879318612042,4.2132481895231,-2.57380169132062,0.0225287365817522,0.842367641608614,-4.19991099406597
"11","GB40878",134,93,197,258,263,205,158,227,341,209,245,390,-0.519678397263749,4.81096165123833,-2.78887914162127,0.0148645203481517,0.842367641608614,-4.06132221845067
