"","ID","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40009",1608,801,258,1436,926,1286,719,772,634,710,387,880,0.752515916941738,6.40933577243097,2.71968807527722,0.0173876169070281,0.918438793554879,-4.0143498919286
"2","GB40038",11,1,1,2,14,14,20,19,49,33,6,12,-1.72886317846563,0.0911797317268763,-3.02382288363029,0.0096810580909797,0.918438793554879,-4.41367671425096
"3","GB40077",1199,2661,600,2164,2525,2590,2934,3622,6269,3784,2813,2659,-0.735189532137232,8.07619266743436,-3.24790851111679,0.00627678756477534,0.918438793554879,-3.99007927127856
"4","GB40451",454,928,197,755,1316,918,1105,1399,3012,1248,767,1020,-0.684329395748035,6.64521591718964,-2.66981497320354,0.0191288663124248,0.918438793554879,-4.05461395491455
"5","GB40694",142,189,80,202,218,196,213,166,166,184,110,121,0.377196333693614,4.12671391281973,3.15226126389898,0.00755231895546347,0.918438793554879,-3.90690355677078
"6","GB40771",46,32,21,98,64,57,138,98,121,127,57,88,-0.78301413719215,2.92622498565061,-3.52254921792592,0.00369330147556394,0.918438793554879,-4.06517616481704
"7","GB40896",6,16,6,12,37,16,39,42,58,22,19,20,-0.892833162903684,1.14673083959376,-2.82560228141448,0.0141883334514149,0.918438793554879,-4.38573195787975
"8","GB41044",17,19,8,10,49,16,45,36,54,40,17,27,-0.707058426372959,1.41371635771929,-2.64524059710046,0.0200482456474195,0.918438793554879,-4.38967058610302
"9","GB41360",27,38,17,35,27,43,74,62,96,48,36,55,-0.698476494563652,2.21609387549994,-3.48548273785479,0.00396679306105861,0.918438793554879,-4.18814606128226
"10","GB41736",6,51,22,36,34,66,44,14,7,13,13,2,1.65348845035218,0.998734725823109,2.57342663285246,0.0229879563245906,0.918438793554879,-4.42573001203387
"11","GB42175",840,927,331,909,1283,1072,1373,1245,1751,1518,1000,1082,-0.356211426500318,6.82853578386866,-2.86848242834167,0.0130643381167706,0.918438793554879,-3.99742869047514
"12","GB42379",57,103,29,112,237,101,223,187,277,224,72,168,-0.652055789950455,3.77757599494293,-2.68420731863475,0.0186096295026816,0.918438793554879,-4.12414803502512
"13","GB42500",255,233,126,282,444,259,540,488,572,469,272,292,-0.440632052845102,5.15117975087126,-3.28936747937782,0.00579321876826133,0.918438793554879,-3.759443053895
"14","GB42508",548,421,198,409,536,425,460,408,347,394,315,398,0.383372624319835,5.4279931107961,2.57827792582175,0.0227768539073406,0.918438793554879,-4.02391886608434
"15","GB42552",10,19,24,44,43,26,69,64,120,34,49,39,-0.922949059652563,2.05865251272444,-2.56374287118892,0.0234150214428239,0.918438793554879,-4.3536889661308
"16","GB42738",201,191,60,218,585,258,511,661,609,514,248,260,-0.709989136482253,5.0352298334642,-2.75160801868561,0.0163555000648228,0.918438793554879,-3.97544713929553
"17","GB42801",67,35,8,19,22,15,66,90,109,136,37,34,-1.33400246687848,2.12379805415927,-3.20830809529328,0.00677642051811324,0.918438793554879,-4.24989427263647
"18","GB43084",835,681,332,711,910,626,793,739,716,639,449,593,0.332380218417189,6.14718031353847,2.77514728118002,0.0156330385999611,0.918438793554879,-3.97437549532189
"19","GB43116",1463,1374,692,1270,1235,1313,1356,1057,1127,1083,907,1295,0.400168478146797,6.98620585742583,2.54261222654613,0.0243737209750786,0.918438793554879,-4.11908954687709
"20","GB43402",97,99,48,94,65,97,42,75,49,51,43,87,0.835954524158169,2.88206289521186,2.96515337565406,0.0108425451874556,0.918438793554879,-4.17979876408478
"21","GB43661",30,30,22,41,38,48,52,25,27,34,14,23,0.576797517396993,1.74702293821477,2.55399348083524,0.0238527322792937,0.918438793554879,-4.37624969226769
"22","GB43728",5072,7568,2708,6544,7405,4973,11546,8130,12801,8320,6873,8265,-0.43665304030668,9.58321843564599,-3.0920546498468,0.00848488731031222,0.918438793554879,-4.14438338263802
"23","GB43829",380,448,216,332,372,359,336,271,311,342,241,393,0.447970429694061,5.16213314609199,2.71000112066149,0.0177132474751213,0.918438793554879,-3.97214385820868
"24","GB44615",237,290,108,342,447,320,630,477,606,455,197,401,-0.36501394669227,5.21800360538237,-2.54349595143577,0.0243328768339568,0.918438793554879,-4.0440854172558
"25","GB44733",59,60,44,57,71,77,55,38,70,29,41,62,0.639690690966526,2.55626704545898,2.88345472962969,0.0126929175247437,0.918438793554879,-4.23998911972202
"26","GB44861",23,24,8,27,27,21,13,15,17,16,12,16,0.79020546460923,0.958070064410725,3.9055577726576,0.00177339115737293,0.918438793554879,-4.29055554276691
"27","GB44887",41,46,17,47,25,33,19,19,18,28,15,26,0.976706416551983,1.5272666482313,3.39051253434443,0.00476466338825758,0.918438793554879,-4.28446516996132
"28","GB44888",230,298,100,264,518,324,532,693,624,778,251,313,-0.586486217724121,5.2884151090565,-2.80354912481724,0.0148029069187303,0.918438793554879,-3.94474727243004
"29","GB44980",57,132,31,169,278,156,337,256,364,192,153,208,-0.73071202494119,4.15295357614336,-2.89550047645022,0.0124016727949884,0.918438793554879,-4.00813120187564
"30","GB45365",43,71,36,77,127,61,146,137,160,126,74,82,-0.552968290077597,3.23988949954046,-3.15670178923236,0.00748773290098203,0.918438793554879,-4.08130906602056
"31","GB45432",27,28,13,23,36,24,25,22,26,23,14,21,0.4725290175839,1.34494814792038,2.99504024974652,0.0102345735407599,0.918438793554879,-4.34793904175956
"32","GB45602",18,41,17,37,79,40,103,81,125,60,39,42,-0.696978673238393,2.41010040383362,-2.67844519562774,0.0188158406555261,0.918438793554879,-4.29961056224202
"33","GB45640",694,704,348,634,920,658,884,603,849,699,456,623,0.241115299479262,6.15578923294687,2.51988903398727,0.0254469792803054,0.918438793554879,-4.0731054178482
"34","GB45758",664,798,266,571,1416,630,1760,1844,2306,699,665,1400,-0.698228400223171,6.64707509785744,-2.92439907288081,0.0117295816569488,0.918438793554879,-3.96606812221009
"35","GB46211",700,739,342,613,596,625,541,524,657,544,384,674,0.423313823847026,5.95021847675343,2.70755736902845,0.0177963315951256,0.918438793554879,-3.98864591306358
"36","GB46312",946,762,281,753,1127,894,1596,1372,1335,1325,667,1110,-0.391601596523947,6.67481920117901,-2.76898438130715,0.0158191087612263,0.918438793554879,-4.01963929324228
"37","GB46371",234,197,149,194,295,197,297,180,211,201,124,172,0.388097228248133,4.44348276538477,2.64812659152721,0.0199380849129706,0.918438793554879,-4.03940388321779
"38","GB46422",592,678,287,543,1335,534,858,1687,1592,1240,622,875,-0.546254212989922,6.45264567481826,-2.60354801486203,0.021707257717721,0.918438793554879,-4.06459991626414
"39","GB46429",602,929,359,951,866,854,1376,1130,2104,1644,670,1017,-0.456038400164199,6.69410404744294,-2.86282413028105,0.0132074763977983,0.918438793554879,-3.9890498485574
"40","GB46537",76,106,41,114,128,83,169,154,210,145,85,132,-0.433368695054147,3.61021755346077,-3.47366915648871,0.00405819287081239,0.918438793554879,-3.92775538722809
"41","GB46763",319,480,110,350,635,380,738,751,1070,807,367,524,-0.664737633436699,5.69939108556062,-3.88976089408658,0.00182750134648216,0.918438793554879,-3.57039791060834
"42","GB47301",438,747,225,899,768,1067,1322,1629,1774,1458,847,1048,-0.776747608128357,6.61518703118352,-3.83484350414867,0.00202909920529787,0.918438793554879,-3.67614803117385
"43","GB47431",617,911,297,698,1413,792,1274,1181,1846,1176,672,957,-0.360351721607902,6.61768044031694,-2.55634766117155,0.023746319237734,0.918438793554879,-4.09114670451391
"44","GB47503",1897,1729,207,1018,4637,1100,2889,6287,5887,2888,2394,1937,-1.20553078082515,7.79819071003988,-2.65960474778096,0.0195057561769917,0.918438793554879,-4.13655861277473
"45","GB47625",2666,2520,1212,2768,2481,2478,3119,2036,2601,2192,1364,2261,0.378431503762691,7.93257508678421,2.8342302736624,0.0139547775909912,0.918438793554879,-4.09181027493728
