"","ID","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40016",7,14,39,15,5,47,71,39,48,10,28,22,-0.953132858595427,1.55967990618453,-2.48958602177767,0.0264147681987993,0.999152472183688,-4.44052440758737
"2","GB40114",71,148,391,270,57,108,127,170,94,34,93,45,0.775849124425973,3.8075349922154,2.3405132888862,0.0350672754744386,0.999152472183688,-4.32027041048086
"3","GB40142",24,18,39,27,7,9,27,11,7,5,9,2,1.13153493877822,0.682384900848895,2.81123640837633,0.0141886390781919,0.999152472183688,-4.44524534295921
"4","GB40400",130,171,218,162,47,93,151,88,155,49,65,63,0.532745620851249,3.76740986316531,2.58990668932058,0.0217880138010201,0.999152472183688,-4.26497485888076
"5","GB40427",57,93,164,82,46,115,270,151,143,45,110,86,-0.478876455840746,3.71773725083915,-2.31617128060738,0.0367144892905753,0.999152472183688,-4.3316496137353
"6","GB40468",9,14,19,17,8,23,13,12,11,6,10,3,0.709459521403547,0.572371723817441,2.48848346587385,0.0264705244557046,0.999152472183688,-4.47661334964761
"7","GB40536",17,39,76,49,12,22,28,19,6,11,22,14,1.05422573068264,1.50258692085095,2.69745504048089,0.01769973142543,0.999152472183688,-4.42045726232129
"8","GB40565",74,79,240,64,69,206,277,260,341,90,120,179,-0.869237963728173,4.21694241212961,-2.87335565836156,0.0125697076611586,0.999152472183688,-4.15447026963257
"9","GB40770",22261,22958,20308,25985,8838,11822,14169,17403,17937,5915,12815,8667,0.561893854071107,10.8910015969779,2.38758250590555,0.0320790493590436,0.999152472183688,-4.44086392037928
"10","GB40815",27,33,46,39,20,53,86,51,94,32,84,28,-0.708018460517124,2.55102611952779,-2.87292539392887,0.0125802713789712,0.999152472183688,-4.32977301174439
"11","GB40837",22,53,57,45,61,37,211,95,69,42,82,55,-0.959866493209014,2.96936235648768,-3.04241786716103,0.00902894304351159,0.999152472183688,-4.26545349315814
"12","GB41036",126,131,252,112,40,123,110,117,119,49,74,67,0.497512086286885,3.70650626303101,2.72873517754958,0.0166578170905305,0.999152472183688,-4.24024673667433
"13","GB41063",226,394,639,277,158,426,814,468,527,226,436,336,-0.431405791418856,5.61540857726933,-2.61032153754889,0.0209474028531045,0.999152472183688,-4.14562106186149
"14","GB41191",283,358,285,597,101,201,250,141,202,146,216,126,0.665624019274743,4.82730186106341,2.3877291170016,0.0320701317943172,0.999152472183688,-4.23190208435606
"15","GB41261",6,18,37,18,11,43,69,31,52,20,22,38,-0.914725476966502,1.76039385707193,-2.46935354274967,0.0274560907214565,0.999152472183688,-4.43357057186673
"16","GB41282",92,76,221,52,59,140,236,178,224,73,108,124,-0.629671664269459,3.94200775932899,-2.47156027840199,0.0273406299801282,0.999152472183688,-4.27718408110804
"17","GB41699",29,38,42,17,16,14,19,7,34,4,9,16,0.957023688879629,1.18641167505408,2.43948522478283,0.0290655430541452,0.999152472183688,-4.46129378466047
"18","GB41824",9,27,85,13,8,66,95,42,80,30,46,75,-1.18265238747632,2.27118396571529,-2.67786716864374,0.018384208618476,0.999152472183688,-4.38007570712837
"19","GB41917",714,1019,1528,1031,510,803,668,764,880,340,736,464,0.525202572214576,6.59442560255708,3.5112614681642,0.00359723038824332,0.999152472183688,-3.96165244559061
"20","GB41923",12,5,14,6,3,7,26,25,19,7,9,7,-0.921426852433517,0.417234024744555,-3.01564726533057,0.00951540161992957,0.999152472183688,-4.43946367221586
"21","GB42409",145,38,34,13,54,60,510,147,293,71,44,122,-1.81966020565963,3.40460971975925,-2.99854228162229,0.00983971840211194,0.999152472183688,-4.23544475340633
"22","GB42563",10,12,28,8,4,11,35,16,19,11,20,23,-0.815410197412601,0.954054769423024,-2.83371644703688,0.0135804351324597,0.999152472183688,-4.43244031434131
"23","GB42593",4,13,13,5,1,15,23,13,29,7,26,5,-1.10833325775535,0.404004170421402,-2.52346029889305,0.0247556917816519,0.999152472183688,-4.47853460964463
"24","GB42981",1309,732,1033,298,523,514,1856,1981,1580,667,964,1218,-0.942850666988213,6.91774414848167,-2.84407765929577,0.0133087905659357,0.999152472183688,-4.15730350463756
"25","GB42984",10,639,23,20,453,623,1294,374,622,205,292,405,-2.37287805626262,4.77713646196072,-2.39615424873129,0.031561624850049,0.999152472183688,-4.27231118103543
"26","GB43508",389,830,1955,1049,267,995,2659,3317,1594,1094,2586,842,-1.29021778882243,7.25343977651433,-4.17255262491476,0.000996779429722701,0.999152472183688,-3.91287727640558
"27","GB43637",225,262,294,253,104,172,269,207,211,81,186,110,0.327439821747911,4.60313479949199,2.44558750239009,0.028729552496679,0.999152472183688,-4.22545313122429
"28","GB43778",179,231,288,280,169,205,235,137,124,116,119,137,0.6825540543302,4.53581168515215,3.42168068709202,0.00428807469584729,0.999152472183688,-3.97496420625667
"29","GB44077",107,136,131,113,38,71,117,68,83,42,72,39,0.49780777526502,3.35565058153545,2.61555836591394,0.0207368794536935,0.999152472183688,-4.3008197508114
"30","GB44555",26,24,78,28,14,50,105,56,47,22,47,58,-0.646194513121357,2.40941152173681,-2.33403095340253,0.03549895347249,0.999152472183688,-4.41823885606393
"31","GB44616",108,190,185,247,27,106,76,33,164,38,131,21,1.06416053033404,3.46988470619844,2.44392421720841,0.0288207625654583,0.999152472183688,-4.32790431931317
"32","GB44732",110,153,357,128,116,202,392,365,274,111,156,230,-0.527170842088286,4.67643863596639,-2.33278236407174,0.0355826774758131,0.999152472183688,-4.2553779180168
"33","GB44985",771,840,914,1041,304,594,706,618,714,316,647,365,0.374824396962151,6.32446943326161,2.34696832711593,0.0346423670864323,0.999152472183688,-4.25034894991719
"34","GB45625",6,35,26,25,11,23,56,35,70,20,25,32,-0.964800925495902,1.78115863111517,-2.87793405397447,0.0124578390615957,0.999152472183688,-4.38495501580809
"35","GB45912",3751,6464,7152,7475,4826,3368,4125,2845,4867,1979,3015,2342,0.813590463305541,9.03987759483784,3.23154533295644,0.00622886823136837,0.999152472183688,-4.23817786887225
"36","GB46025",42,36,52,73,29,39,33,13,24,19,47,27,0.813418761351617,2.13793823083698,2.397793785152,0.0314635662501511,0.999152472183688,-4.42362735284906
"37","GB46047",179,196,304,346,85,157,109,117,83,84,176,86,0.952585320850618,4.22731115856325,3.65375036627439,0.0027219057088022,0.999152472183688,-3.97245124762516
"38","GB46055",13,24,29,26,4,33,52,62,62,16,34,38,-1.093798634086,1.84709098195466,-3.79068401550678,0.00208408063458531,0.999152472183688,-4.28539847571932
"39","GB46175",155,230,367,436,46,219,133,112,215,32,181,69,0.940586002839631,4.24105177315235,2.7510064196923,0.0159526834416249,0.999152472183688,-4.18230935090438
"40","GB46282",138,177,316,157,80,217,389,314,374,81,226,141,-0.427279540200964,4.6614870304289,-2.33028241540689,0.03575087419955,0.999152472183688,-4.25598667115754
"41","GB46285",4,4,13,8,3,7,19,10,15,6,10,5,-0.712111708615274,0.0803290094233224,-2.54302256250408,0.0238437358443246,0.999152472183688,-4.4849952277682
"42","GB46819",2,7,26,3,2,11,12,22,23,10,13,26,-1.39785726199796,0.421533764406567,-2.9278471586284,0.0113000597653325,0.999152472183688,-4.44441006134691
"43","GB46853",159,156,196,137,81,171,171,141,164,59,126,81,0.308835591132162,4.0948751253563,2.3343387571742,0.0354783424460966,0.999152472183688,-4.29501729603507
"44","GB47022",87,126,134,96,79,120,195,148,161,76,140,114,-0.361245364622193,3.96658717826738,-2.38479060664352,0.0322493169208744,0.999152472183688,-4.29367144338547
"45","GB47141",54,59,85,74,29,57,59,47,23,28,41,41,0.62359086960448,2.62614873845371,2.62954715545093,0.0201845213014205,0.999152472183688,-4.36001006410957
