"","ID","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40160",6,11,18,5,6,8,15,18,21,10,9,26,-1.15079514682807,0.786324683006893,-3.76712533863451,0.00214806963802528,0.729381173335685,-4.35459701521388
"2","GB40226",122,229,214,183,164,119,228,204,287,133,117,278,-0.495768292449834,4.73678900338523,-3.38060539825057,0.00459237177725506,0.729381173335685,-3.81734499977038
"3","GB40515",166,752,416,393,346,210,256,299,282,117,148,225,0.45091189916646,5.29065731065316,3.0487343242347,0.00883509301023402,0.729381173335685,-3.89927880276036
"4","GB40546",22,37,68,48,42,23,45,50,71,45,56,84,-0.817748050906892,2.76952951292808,-3.29925903226528,0.00539155558011281,0.729381173335685,-4.19078448908492
"5","GB40566",64,244,190,202,115,75,251,278,246,168,141,222,-0.868533527352441,4.62065338554136,-5.20161939373342,0.000142865229887035,0.729381173335685,-3.3907870404384
"6","GB40750",23,141,33,50,52,49,15,30,27,19,24,15,1.05610173559705,2.25706489975225,3.21786681695749,0.00633053717981636,0.729381173335685,-4.27480645221247
"7","GB40800",180,419,489,378,387,279,415,375,568,260,259,532,-0.398797744843243,5.72776991713093,-2.99658709868254,0.00978979225899915,0.729381173335685,-3.91367952610225
"8","GB40827",39,78,77,51,73,32,73,119,77,98,50,77,-0.724354477179505,3.29276208414069,-3.04905417119959,0.00882953148495236,0.729381173335685,-4.15962375971981
"9","GB40983",185,464,520,437,457,292,404,521,637,224,288,598,-0.376555095866326,5.85247158953452,-2.98713903977031,0.00997337025635369,0.729381173335685,-3.92335906258842
"10","GB41159",515,1201,1329,1139,1074,682,1154,1293,1469,646,677,1469,-0.382769240325706,7.19544873011603,-3.04334297716014,0.00892936217044131,0.729381173335685,-4.0430782599936
"11","GB41489",76,260,132,141,143,159,92,106,123,58,67,87,0.496094379569694,4.03076921960092,3.00502623740812,0.00962864409632678,0.729381173335685,-4.05355789778031
"12","GB41552",15,149,30,38,21,29,4,23,22,5,13,14,1.37603415841992,1.56419365741734,2.97212497402413,0.0102721163641036,0.729381173335685,-4.3734459512355
