"1","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6"
"2","VC.1","VC.3","VC.5","VS.3","VS.4","VS.6","VC.2","VC.4","VC.6","VS.1","VS.2","VS.5"
"3","VC.1","VC.3","VC.4","VS.2","VS.4","VS.5","VC.2","VC.5","VC.6","VS.1","VS.3","VS.6"
"4","VC.1","VC.2","VC.5","VS.1","VS.2","VS.3","VC.3","VC.4","VC.6","VS.4","VS.5","VS.6"
"5","VC.1","VC.4","VS.2","VS.3","VS.4","VS.6","VC.2","VC.3","VC.5","VC.6","VS.1","VS.5"
"6","VC.1","VC.3","VC.6","VS.2","VS.3","VS.5","VC.2","VC.4","VC.5","VS.1","VS.4","VS.6"
"7","VC.1","VC.2","VC.6","VS.4","VS.5","VS.6","VC.3","VC.4","VC.5","VS.1","VS.2","VS.3"
"8","VC.1","VC.4","VC.5","VC.6","VS.2","VS.4","VC.2","VC.3","VS.1","VS.3","VS.5","VS.6"
"9","VC.1","VC.3","VC.4","VS.1","VS.3","VS.6","VC.2","VC.5","VC.6","VS.2","VS.4","VS.5"
"10","VC.1","VC.4","VC.5","VS.1","VS.3","VS.4","VC.2","VC.3","VC.6","VS.2","VS.5","VS.6"
"11","VC.1","VC.4","VC.5","VC.6","VS.1","VS.3","VC.2","VC.3","VS.2","VS.4","VS.5","VS.6"
"12","VC.1","VC.3","VC.4","VS.1","VS.2","VS.4","VC.2","VC.5","VC.6","VS.3","VS.5","VS.6"
"13","VC.1","VC.2","VC.5","VS.1","VS.5","VS.6","VC.3","VC.4","VC.6","VS.2","VS.3","VS.4"
"14","VC.1","VC.3","VC.6","VS.1","VS.5","VS.6","VC.2","VC.4","VC.5","VS.2","VS.3","VS.4"
"15","VC.1","VC.4","VC.5","VS.2","VS.3","VS.6","VC.2","VC.3","VC.6","VS.1","VS.4","VS.5"
"16","VC.1","VC.3","VC.5","VS.1","VS.3","VS.4","VC.2","VC.4","VC.6","VS.2","VS.5","VS.6"
"17","VC.1","VC.3","VC.4","VC.6","VS.2","VS.3","VC.2","VC.5","VS.1","VS.4","VS.5","VS.6"
"18","VC.1","VC.4","VS.1","VS.3","VS.5","VS.6","VC.2","VC.3","VC.5","VC.6","VS.2","VS.4"
"19","VC.1","VC.2","VC.3","VS.2","VS.3","VS.4","VC.4","VC.5","VC.6","VS.1","VS.5","VS.6"
"20","VC.1","VC.5","VC.6","VS.3","VS.4","VS.5","VC.2","VC.3","VC.4","VS.1","VS.2","VS.6"
