"1","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6"
"2","VP.1","VP.2","VP.5","VP.6","VR.2","VR.5","VP.3","VP.4","VR.1","VR.3","VR.4","VR.6"
"3","VP.1","VP.5","VP.6","VR.3","VR.5","VR.6","VP.2","VP.3","VP.4","VR.1","VR.2","VR.4"
"4","VP.1","VP.2","VP.5","VP.6","VR.1","VR.5","VP.3","VP.4","VR.2","VR.3","VR.4","VR.6"
"5","VP.1","VP.3","VP.5","VP.6","VR.1","VR.5","VP.2","VP.4","VR.2","VR.3","VR.4","VR.6"
"6","VP.1","VP.2","VP.6","VR.1","VR.3","VR.4","VP.3","VP.4","VP.5","VR.2","VR.5","VR.6"
"7","VP.1","VP.5","VR.3","VR.4","VR.5","VR.6","VP.2","VP.3","VP.4","VP.6","VR.1","VR.2"
"8","VP.1","VP.2","VP.4","VP.5","VR.4","VR.5","VP.3","VP.6","VR.1","VR.2","VR.3","VR.6"
"9","VP.1","VP.2","VP.3","VP.5","VR.3","VR.4","VP.4","VP.6","VR.1","VR.2","VR.5","VR.6"
"10","VP.1","VP.5","VP.6","VR.3","VR.4","VR.6","VP.2","VP.3","VP.4","VR.1","VR.2","VR.5"
"11","VP.1","VP.5","VR.1","VR.2","VR.3","VR.5","VP.2","VP.3","VP.4","VP.6","VR.4","VR.6"
"12","VP.1","VP.4","VP.6","VR.1","VR.2","VR.6","VP.2","VP.3","VP.5","VR.3","VR.4","VR.5"
"13","VP.1","VP.2","VP.3","VP.5","VP.6","VR.4","VP.4","VR.1","VR.2","VR.3","VR.5","VR.6"
"14","VP.1","VP.2","VP.4","VR.3","VR.4","VR.6","VP.3","VP.5","VP.6","VR.1","VR.2","VR.5"
"15","VP.1","VP.2","VP.3","VP.6","VR.1","VR.2","VP.4","VP.5","VR.3","VR.4","VR.5","VR.6"
"16","VP.1","VP.2","VP.4","VR.1","VR.2","VR.6","VP.3","VP.5","VP.6","VR.3","VR.4","VR.5"
"17","VP.1","VP.2","VR.1","VR.2","VR.3","VR.4","VP.3","VP.4","VP.5","VP.6","VR.5","VR.6"
"18","VP.1","VP.3","VP.5","VP.6","VR.2","VR.6","VP.2","VP.4","VR.1","VR.3","VR.4","VR.5"
"19","VP.1","VP.3","VP.4","VR.2","VR.5","VR.6","VP.2","VP.5","VP.6","VR.1","VR.3","VR.4"
"20","VP.1","VP.3","VP.4","VR.2","VR.3","VR.6","VP.2","VP.5","VP.6","VR.1","VR.4","VR.5"
