"1","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6"
"2","VP.1","VP.3","VS.1","VS.2","VS.3","VS.6","VP.2","VP.4","VP.5","VP.6","VS.4","VS.5"
"3","VP.1","VP.3","VP.5","VS.2","VS.5","VS.6","VP.2","VP.4","VP.6","VS.1","VS.3","VS.4"
"4","VP.1","VP.2","VP.4","VS.3","VS.4","VS.5","VP.3","VP.5","VP.6","VS.1","VS.2","VS.6"
"5","VP.1","VP.2","VP.5","VS.1","VS.5","VS.6","VP.3","VP.4","VP.6","VS.2","VS.3","VS.4"
"6","VP.1","VP.3","VP.5","VS.1","VS.3","VS.4","VP.2","VP.4","VP.6","VS.2","VS.5","VS.6"
"7","VP.1","VP.4","VS.1","VS.3","VS.4","VS.5","VP.2","VP.3","VP.5","VP.6","VS.2","VS.6"
"8","VP.1","VP.3","VP.4","VS.1","VS.2","VS.4","VP.2","VP.5","VP.6","VS.3","VS.5","VS.6"
"9","VP.1","VP.2","VP.3","VS.2","VS.4","VS.6","VP.4","VP.5","VP.6","VS.1","VS.3","VS.5"
"10","VP.1","VP.2","VP.3","VS.2","VS.3","VS.4","VP.4","VP.5","VP.6","VS.1","VS.5","VS.6"
"11","VP.1","VP.2","VP.4","VS.2","VS.3","VS.4","VP.3","VP.5","VP.6","VS.1","VS.5","VS.6"
"12","VP.1","VP.2","VP.5","VP.6","VS.2","VS.3","VP.3","VP.4","VS.1","VS.4","VS.5","VS.6"
"13","VP.1","VP.2","VP.3","VP.4","VS.3","VS.5","VP.5","VP.6","VS.1","VS.2","VS.4","VS.6"
"14","VP.1","VP.3","VP.5","VP.6","VS.2","VS.4","VP.2","VP.4","VS.1","VS.3","VS.5","VS.6"
"15","VP.1","VP.2","VP.3","VP.5","VS.2","VS.5","VP.4","VP.6","VS.1","VS.3","VS.4","VS.6"
"16","VP.1","VP.2","VP.4","VS.2","VS.4","VS.6","VP.3","VP.5","VP.6","VS.1","VS.3","VS.5"
"17","VP.1","VP.2","VP.3","VP.6","VS.3","VS.5","VP.4","VP.5","VS.1","VS.2","VS.4","VS.6"
"18","VP.1","VP.4","VP.5","VP.6","VS.1","VS.5","VP.2","VP.3","VS.2","VS.3","VS.4","VS.6"
"19","VP.1","VP.2","VP.4","VP.5","VP.6","VS.3","VP.3","VS.1","VS.2","VS.4","VS.5","VS.6"
"20","VP.1","VP.4","VP.5","VS.3","VS.4","VS.5","VP.2","VP.3","VP.6","VS.1","VS.2","VS.6"
