"1","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6"
"2","NC.1","NC.3","NC.4","NC.5","NR.2","NR.3","NC.2","NC.6","NR.1","NR.4","NR.5","NR.6"
"3","NC.1","NC.2","NC.5","NR.1","NR.2","NR.3","NC.3","NC.4","NC.6","NR.4","NR.5","NR.6"
"4","NC.1","NC.2","NC.6","NR.1","NR.2","NR.5","NC.3","NC.4","NC.5","NR.3","NR.4","NR.6"
"5","NC.1","NC.2","NC.5","NR.2","NR.5","NR.6","NC.3","NC.4","NC.6","NR.1","NR.3","NR.4"
"6","NC.1","NC.2","NC.3","NR.3","NR.4","NR.5","NC.4","NC.5","NC.6","NR.1","NR.2","NR.6"
"7","NC.1","NC.2","NC.3","NC.6","NR.3","NR.5","NC.4","NC.5","NR.1","NR.2","NR.4","NR.6"
"8","NC.1","NC.2","NC.3","NC.5","NR.3","NR.4","NC.4","NC.6","NR.1","NR.2","NR.5","NR.6"
"9","NC.1","NC.3","NC.6","NR.1","NR.2","NR.3","NC.2","NC.4","NC.5","NR.4","NR.5","NR.6"
"10","NC.1","NC.2","NC.5","NC.6","NR.1","NR.2","NC.3","NC.4","NR.3","NR.4","NR.5","NR.6"
"11","NC.1","NC.2","NC.4","NC.6","NR.1","NR.3","NC.3","NC.5","NR.2","NR.4","NR.5","NR.6"
"12","NC.1","NC.2","NR.2","NR.3","NR.4","NR.6","NC.3","NC.4","NC.5","NC.6","NR.1","NR.5"
"13","NC.1","NC.6","NR.1","NR.3","NR.4","NR.5","NC.2","NC.3","NC.4","NC.5","NR.2","NR.6"
"14","NC.1","NC.2","NC.4","NR.4","NR.5","NR.6","NC.3","NC.5","NC.6","NR.1","NR.2","NR.3"
"15","NC.1","NC.6","NR.1","NR.2","NR.3","NR.5","NC.2","NC.3","NC.4","NC.5","NR.4","NR.6"
"16","NC.1","NC.2","NR.1","NR.2","NR.4","NR.6","NC.3","NC.4","NC.5","NC.6","NR.3","NR.5"
"17","NC.1","NC.2","NC.3","NC.6","NR.1","NR.2","NC.4","NC.5","NR.3","NR.4","NR.5","NR.6"
"18","NC.1","NC.5","NC.6","NR.3","NR.4","NR.5","NC.2","NC.3","NC.4","NR.1","NR.2","NR.6"
"19","NC.1","NC.5","NC.6","NR.1","NR.3","NR.6","NC.2","NC.3","NC.4","NR.2","NR.4","NR.5"
"20","NC.1","NC.4","NR.1","NR.3","NR.5","NR.6","NC.2","NC.3","NC.5","NC.6","NR.2","NR.4"
