"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB54294",1621,1223,1583,1320,2443,3321,3674,5207,2260,3855,4642,4625,-1.23484322528281,8.47873957504458,-5.53714492414651,8.13799948995028e-05,0.805499189515279,-3.8862123651306
"2","GB40614",59,58,35,39,58,59,31,32,11,20,38,26,0.946039378025215,2.26127389096478,3.6335667345464,0.00283172204018066,0.876827812672625,-4.23215834907543
"3","GB40771",53,24,27,41,44,63,145,82,33,59,30,89,-0.777356577788677,2.76496474037707,-3.30539874787021,0.0053882590934003,0.876827812672625,-4.21530803987583
"4","GB41407",50,34,31,43,50,60,26,21,18,27,9,46,0.890974030062602,2.0810036547939,3.48178668856121,0.0038115665884295,0.876827812672625,-4.26978487548626
"5","GB41616",48,65,50,67,78,107,364,116,61,103,55,161,-0.932448720263863,3.56890587671029,-3.40751458643383,0.00440937385022378,0.876827812672625,-4.09004074211194
"6","GB41754",430,256,387,344,494,789,1016,853,273,1081,530,670,-0.753278402498502,6.16423364388223,-3.54691405837936,0.00335490404734608,0.876827812672625,-3.92521510917756
"7","GB41782",193,140,158,90,192,354,602,389,147,318,224,239,-0.817905852255389,4.91229614568524,-3.70360122250777,0.00246976157636542,0.876827812672625,-3.84555213034646
"8","GB42373",40,35,25,18,48,76,123,66,25,68,81,76,-0.928506249550482,2.74041039745521,-3.58308121156851,0.00312558625235414,0.876827812672625,-4.17778842827451
"9","GB42475",450,317,418,352,430,755,1798,559,491,524,403,1055,-0.73849456370116,6.20834974468143,-3.87727330324922,0.00176159954826398,0.876827812672625,-3.85259311677169
"10","GB42673",141,147,122,114,148,252,441,179,100,199,148,317,-0.55512502768581,4.55714943080041,-3.44404600580715,0.00410437993951453,0.876827812672625,-3.93415706530467
