"1","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6"
"2","NC.1","NC.3","VC.1","VC.3","VC.4","VC.5","NC.2","NC.4","NC.5","NC.6","VC.2","VC.6"
"3","NC.1","NC.4","NC.6","VC.1","VC.4","VC.6","NC.2","NC.3","NC.5","VC.2","VC.3","VC.5"
"4","NC.1","NC.3","NC.6","VC.1","VC.2","VC.6","NC.2","NC.4","NC.5","VC.3","VC.4","VC.5"
"5","NC.1","NC.2","NC.3","NC.5","VC.1","VC.2","NC.4","NC.6","VC.3","VC.4","VC.5","VC.6"
"6","NC.1","NC.5","NC.6","VC.1","VC.3","VC.5","NC.2","NC.3","NC.4","VC.2","VC.4","VC.6"
"7","NC.1","NC.4","VC.2","VC.3","VC.5","VC.6","NC.2","NC.3","NC.5","NC.6","VC.1","VC.4"
"8","NC.1","NC.3","NC.4","VC.1","VC.2","VC.5","NC.2","NC.5","NC.6","VC.3","VC.4","VC.6"
"9","NC.1","NC.6","VC.1","VC.2","VC.3","VC.5","NC.2","NC.3","NC.4","NC.5","VC.4","VC.6"
"10","NC.1","NC.2","NC.4","NC.6","VC.4","VC.5","NC.3","NC.5","VC.1","VC.2","VC.3","VC.6"
"11","NC.1","NC.2","NC.3","NC.5","NC.6","VC.3","NC.4","VC.1","VC.2","VC.4","VC.5","VC.6"
"12","NC.1","NC.2","NC.3","NC.4","NC.6","VC.3","NC.5","VC.1","VC.2","VC.4","VC.5","VC.6"
"13","NC.1","NC.2","NC.4","NC.5","VC.4","VC.5","NC.3","NC.6","VC.1","VC.2","VC.3","VC.6"
"14","NC.1","NC.2","NC.3","NC.4","VC.4","VC.6","NC.5","NC.6","VC.1","VC.2","VC.3","VC.5"
"15","NC.1","NC.2","VC.2","VC.3","VC.4","VC.5","NC.3","NC.4","NC.5","NC.6","VC.1","VC.6"
"16","NC.1","NC.2","NC.5","VC.1","VC.3","VC.6","NC.3","NC.4","NC.6","VC.2","VC.4","VC.5"
"17","NC.1","NC.4","NC.5","VC.1","VC.2","VC.3","NC.2","NC.3","NC.6","VC.4","VC.5","VC.6"
"18","NC.1","NC.4","NC.5","NC.6","VC.4","VC.6","NC.2","NC.3","VC.1","VC.2","VC.3","VC.5"
"19","NC.1","NC.3","NC.4","VC.1","VC.2","VC.4","NC.2","NC.5","NC.6","VC.3","VC.5","VC.6"
"20","NC.1","NC.4","NC.6","VC.2","VC.3","VC.4","NC.2","NC.3","NC.5","VC.1","VC.5","VC.6"
