"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40074",231,165,98,124,128,171,204,273,139,277,301,234,-0.630585944356806,4.56936003500657,-3.11821485706092,0.00807140025198131,0.999604720956649,-3.89910853727603
"2","GB40727",376,379,282,218,291,443,229,249,137,287,407,309,0.386831405007133,5.20952909213529,3.20114452846059,0.00687556125118523,0.999604720956649,-3.83483177175567
"3","GB41147",1023,1570,1092,611,848,1345,660,813,408,841,1722,1101,0.372749917908383,6.90386153219709,3.05553139539957,0.009111061693687,0.999604720956649,-4.00414982843856
"4","GB41193",188,212,114,85,112,202,179,201,165,200,334,221,-0.479744898664864,4.48631220424825,-3.2695261267599,0.00602403573134794,0.999604720956649,-3.85573880276881
"5","GB41786",596,640,400,193,465,606,537,691,344,761,812,781,-0.439724511255073,6.0957599374829,-3.41132910686405,0.00458051401482484,0.999604720956649,-3.81425247553906
"6","GB42598",41,43,23,13,18,9,21,72,92,47,93,73,-1.39850633180293,2.20954681735845,-3.13909534676461,0.00775203615513478,0.999604720956649,-4.26197492049541
"7","GB43234",2069,2423,810,625,954,2315,1623,2756,1086,2869,3200,2017,-0.636891188563719,7.754077911179,-3.05893366797998,0.00905135645409845,0.999604720956649,-4.0780089516688
"8","GB43584",436,501,237,183,219,507,334,513,232,630,739,521,-0.482122003828694,5.62507507289308,-3.31663097052478,0.0054997923691753,0.999604720956649,-3.80920931739409
"9","GB44009",283,401,235,141,241,329,199,212,118,262,342,262,0.277682552590019,4.94408959814603,3.1629498845918,0.00740259160298672,0.999604720956649,-3.8517079821439
"10","GB44496",1053,1444,947,639,1174,1269,577,886,399,996,1674,1064,0.403002646231673,6.92196982641781,3.08430046190573,0.00861830555165288,0.999604720956649,-3.99754412176683
"11","GB44502",1571,1873,1004,884,750,2044,2379,2190,1229,2609,2709,2052,-0.713010961389961,7.71744082689614,-3.53309791463213,0.00362208650507465,0.999604720956649,-3.96039014450207
"12","GB45642",24,28,23,9,17,38,28,35,25,39,43,46,-0.606318841435354,1.83857293680997,-3.12639942401191,0.00794468356493278,0.999604720956649,-4.29751356092324
"13","GB46012",54,65,40,33,38,73,28,25,16,42,47,58,0.57068088803387,2.37908917288655,3.1023262626767,0.00832317545056334,0.999604720956649,-4.2330705747823
"14","GB46304",28,29,24,11,20,45,32,46,50,40,52,74,-0.830320925692292,2.14065813219338,-3.11213722861232,0.00816679868736475,0.999604720956649,-4.2663823669557
"15","GB46305",166,158,88,61,119,152,161,143,92,256,267,302,-0.638733333304059,4.25548281615926,-3.85070594332715,0.00197068152233082,0.999604720956649,-3.72251599507218
"16","GB46330",337,630,273,173,275,357,459,546,219,586,751,389,-0.497032457816921,5.6139924145234,-3.22404676718084,0.00657772081899331,0.999604720956649,-3.83988199730948
"17","GB47057",534,856,453,229,396,594,551,776,322,707,1237,692,-0.431721579414062,6.16756688265831,-3.73182575426509,0.00247305433668289,0.999604720956649,-3.72642884726874
"18","GB47133",29,21,28,15,25,34,52,47,46,64,43,55,-0.937435108518647,2.20204453433302,-3.08122923854863,0.00866961870862648,0.999604720956649,-4.26443990296241
"19","GB47460",94,130,64,42,68,85,94,101,61,119,151,124,-0.386972401571186,3.52304422586412,-3.2518420643529,0.0062335498446208,0.999604720956649,-4.01456723922176
"20","GB48213",12,1,0,0,1,0,8,11,5,12,17,15,-3.12044965083645,-1.07605691215233,-5.34236336294513,0.000129290977274717,0.999604720956649,-4.37403493515644
"21","GB49168",89,79,44,35,70,78,35,40,21,53,65,65,0.548169205417963,2.75468918173178,3.15268722423583,0.00755095850686222,0.999604720956649,-4.16990257697599
"22","GB49608",569,1016,501,312,595,655,289,464,209,565,766,684,0.409273162065546,6.02859259039016,3.19591129195489,0.00694549165302566,0.999604720956649,-3.87548889008922
"23","GB49784",863,1276,1427,354,1650,844,328,644,269,652,907,801,0.873140223297341,6.54128385077374,3.38977311992559,0.00477514211438659,0.999604720956649,-3.87116895403663
"24","GB50006",27,46,7,5,12,34,28,31,16,60,54,64,-1.04327908770434,1.70565034915276,-3.23331197982692,0.00646093044339992,0.999604720956649,-4.3042253499488
"25","GB50049",16,23,8,6,9,17,12,18,13,28,32,29,-0.685352535774035,1.0488281604035,-3.26639906641946,0.0060605630312408,0.999604720956649,-4.36253225574396
"26","GB50091",368,291,172,249,194,347,377,583,207,455,758,400,-0.689028218849498,5.42636009453426,-3.06494047846192,0.00894689366982541,0.999604720956649,-3.89113218553921
"27","GB50975",139,144,57,54,46,151,146,217,105,214,265,127,-0.871509963934306,3.97027342113034,-3.59979357010042,0.00318591255473986,0.999604720956649,-3.85371901614201
"28","GB51185",16,20,17,13,17,18,20,38,13,63,43,29,-0.868882331151365,1.56617451958516,-3.31849257247628,0.00548004262408079,0.999604720956649,-4.3054674909798
"29","GB51315",30,30,18,12,22,37,41,39,29,55,52,60,-0.834450151258189,2.07501564978629,-4.316627551381,0.00081880038197978,0.999604720956649,-4.11979319031272
"30","GB51345",18,51,11,6,17,20,8,10,7,11,13,13,0.860331904492776,0.791878528208224,3.06358564723784,0.00897034991930928,0.999604720956649,-4.40215040374564
