"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40280",2507,2959,8885,2054,2583,2304,2386,667,819,1690,2014,971,1.12914949987534,8.25283350899352,4.31366159074038,0.000768603992177415,0.214532026500052,-0.389124744632983
"2","GB40839",47,27,46,23,28,40,21,7,18,16,21,17,0.916215666009174,1.86987587871529,4.18060938310739,0.000990099994968785,0.214532026500052,-0.826717186114232
"3","GB41282",67,60,151,33,48,52,152,59,73,140,108,124,-0.902366973665353,3.62504102744877,-4.30449782056013,0.000782081804929014,0.214532026500052,-0.353854933941267
"4","GB41467",332,184,582,147,173,314,457,375,278,603,388,335,-0.785739901127534,5.62085984741948,-4.25712102335457,0.00085574246909347,0.214532026500052,-0.385489847112063
"5","GB42802",1339,1732,5323,1163,587,932,538,417,336,584,574,338,1.48187214546717,6.94861059898882,4.54552924371781,0.000496576829118599,0.214532026500052,0.0657440914160174
"6","GB43246",386,153,312,135,178,247,481,189,275,561,497,321,-0.870027456165897,5.44494393124062,-5.15242040880174,0.000163167445012583,0.214532026500052,1.10031212404715
"7","GB44000",268,291,412,157,252,411,201,124,144,209,195,201,0.549726500948698,5.11273039294553,4.14210179114946,0.00106573286885272,0.214532026500052,-0.583803115749363
"8","GB44119",688,435,918,245,539,734,438,135,187,337,347,145,1.01806285664265,5.80706072548259,5.18858357423002,0.000152926084887273,0.214532026500052,1.14625608859346
"9","GB44132",817,412,936,293,1071,877,398,184,256,432,506,306,0.855199329018963,6.17683762278016,4.43399283928846,0.00061224628832663,0.214532026500052,-0.0889963733291657
"10","GB44703",1274,1274,2550,930,1605,1552,1277,517,520,1147,1007,846,0.673558866402599,7.41348210678376,4.33142633955354,0.000743152594865354,0.214532026500052,-0.301134427172097
"11","GB45009",506,551,662,293,392,541,437,209,208,294,289,202,0.715068858628886,5.77211857105258,4.17266315051077,0.00100524306066994,0.214532026500052,-0.530827948809993
"12","GB45437",135,126,405,83,210,165,87,40,56,70,96,78,1.12315949657678,4.04307458285429,4.9898506395158,0.000218835353457684,0.214532026500052,0.759877096993598
