"1","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6"
"2","NR.1","NR.5","NR.6","VC.1","VC.3","VC.6","NR.2","NR.3","NR.4","VC.2","VC.4","VC.5"
"3","NR.1","NR.2","NR.6","VC.1","VC.2","VC.5","NR.3","NR.4","NR.5","VC.3","VC.4","VC.6"
"4","NR.1","NR.2","NR.5","VC.1","VC.2","VC.4","NR.3","NR.4","NR.6","VC.3","VC.5","VC.6"
"5","NR.1","NR.2","NR.5","NR.6","VC.1","VC.6","NR.3","NR.4","VC.2","VC.3","VC.4","VC.5"
"6","NR.1","NR.2","NR.3","NR.4","VC.1","VC.6","NR.5","NR.6","VC.2","VC.3","VC.4","VC.5"
"7","NR.1","NR.2","NR.3","VC.1","VC.4","VC.6","NR.4","NR.5","NR.6","VC.2","VC.3","VC.5"
"8","NR.1","NR.4","NR.5","VC.1","VC.3","VC.4","NR.2","NR.3","NR.6","VC.2","VC.5","VC.6"
"9","NR.1","NR.3","VC.1","VC.2","VC.3","VC.6","NR.2","NR.4","NR.5","NR.6","VC.4","VC.5"
"10","NR.1","NR.2","NR.6","VC.2","VC.5","VC.6","NR.3","NR.4","NR.5","VC.1","VC.3","VC.4"
"11","NR.1","NR.2","NR.4","NR.6","VC.1","VC.5","NR.3","NR.5","VC.2","VC.3","VC.4","VC.6"
"12","NR.1","NR.5","NR.6","VC.2","VC.3","VC.6","NR.2","NR.3","NR.4","VC.1","VC.4","VC.5"
"13","NR.1","NR.2","NR.5","VC.2","VC.4","VC.5","NR.3","NR.4","NR.6","VC.1","VC.3","VC.6"
"14","NR.1","NR.2","NR.6","VC.1","VC.3","VC.4","NR.3","NR.4","NR.5","VC.2","VC.5","VC.6"
"15","NR.1","NR.3","NR.4","VC.1","VC.3","VC.4","NR.2","NR.5","NR.6","VC.2","VC.5","VC.6"
"16","NR.1","NR.2","NR.4","VC.3","VC.4","VC.5","NR.3","NR.5","NR.6","VC.1","VC.2","VC.6"
"17","NR.1","NR.2","NR.3","VC.1","VC.2","VC.5","NR.4","NR.5","NR.6","VC.3","VC.4","VC.6"
"18","NR.1","NR.6","VC.2","VC.3","VC.4","VC.5","NR.2","NR.3","NR.4","NR.5","VC.1","VC.6"
"19","NR.1","NR.3","NR.4","NR.6","VC.3","VC.6","NR.2","NR.5","VC.1","VC.2","VC.4","VC.5"
"20","NR.1","NR.2","NR.5","VC.3","VC.4","VC.5","NR.3","NR.4","NR.6","VC.1","VC.2","VC.6"
