"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40263",175,237,466,195,452,486,83,83,165,117,556,335,0.733916831657236,4.87373248660349,2.26178572043295,0.0403293845874339,0.999810782319336,-4.26611886933793
"2","GB40304",347,490,512,350,474,497,288,195,230,219,519,580,0.468359865678618,5.55688249877656,2.30418587002367,0.0372281480013877,0.999810782319336,-4.24620574116755
"3","GB40494",23,17,29,11,22,26,34,38,29,20,31,36,-0.595322995606499,1.70669100480942,-2.22413428711975,0.0432855127996965,0.999810782319336,-4.460147818261
"4","GB41833",69,60,52,15,37,36,30,41,72,70,88,78,-0.596678420294429,2.65834866638925,-2.36935828337338,0.0328970825672524,0.999810782319336,-4.3851928357233
"5","GB41879",11,13,20,7,22,36,2,20,4,2,21,11,1.10904658914144,0.477796726599733,2.23160474872485,0.0426832776954933,0.999810782319336,-4.50769088959316
"6","GB41983",234,338,356,232,273,321,161,149,169,157,380,275,0.44570495581364,4.94738391834053,2.73370570184471,0.0162732000926854,0.999810782319336,-4.11631002121497
"7","GB42346",23,42,59,17,27,49,10,12,20,16,44,37,0.617433073083434,1.74410832155088,2.40831480756172,0.030541277423341,0.999810782319336,-4.43622290754373
"8","GB42481",37,64,90,32,60,94,48,17,32,19,60,55,0.682198775351135,2.53178678342665,2.70067243807726,0.0173576850513656,0.999810782319336,-4.34131162345358
"9","GB42620",32,44,45,19,32,33,3,18,8,14,43,36,0.990961168870226,1.53021719869009,2.5360356912673,0.0238957734731337,0.999810782319336,-4.4350742804168
"10","GB42635",18,19,21,17,35,32,34,22,34,48,34,41,-0.657729347999463,1.86689401065129,-2.30816572214945,0.0369489008817626,0.999810782319336,-4.44164210452651
"11","GB43311",64,43,54,6,23,60,25,20,74,70,143,146,-0.955999575099655,2.54436991521971,-2.20677873038938,0.0447155183716617,0.999810782319336,-4.42079072347931
"12","GB43509",111,1010,523,24,643,1347,19,45,260,15,107,158,2.29033245207507,4.19760589030063,2.73106932458475,0.0163572731497918,0.999810782319336,-4.2221534399232
"13","GB43877",655,548,855,86,145,427,449,236,778,677,1003,1291,-0.934672831343693,5.91297499816943,-2.23392320008134,0.0424979783916562,0.999810782319336,-4.2793703424
"14","GB44001",8,14,11,2,9,17,6,4,6,5,4,6,0.757620134713061,-0.128618642283181,2.19874062635008,0.0453926921964879,0.999810782319336,-4.5243286233742
"15","GB45614",3911,3371,7278,544,4316,4114,5897,3078,12967,6097,6261,3553,-0.962024577466321,9.06655880937954,-2.28989527043813,0.0382473602947273,0.999810782319336,-4.36789867917808
"16","GB45748",11,98,14,5,17,18,47,143,61,36,119,17,-1.62332437038952,2.00723710791246,-2.54805015655216,0.0233475522730261,0.999810782319336,-4.40939819348937
"17","GB46235",34,45,60,16,36,59,12,15,16,17,66,38,0.665156626747258,1.92882070728373,2.51202331205249,0.0250287830735522,0.999810782319336,-4.412525067165
"18","GB46706",21,55,67,22,48,48,23,32,30,16,23,32,0.656185782626301,2.04217090700719,2.38003202630639,0.0322349754561264,0.999810782319336,-4.42287038490838
"19","GB47095",16,24,31,13,39,30,5,11,11,19,34,15,0.703614503751543,1.23902492421679,2.31842862347674,0.0362379059892449,0.999810782319336,-4.47119063539295
"20","GB47270",142,345,298,92,127,240,363,153,270,147,552,400,-0.637425337959202,4.86998813540412,-2.46242770703873,0.0275343061944722,0.999810782319336,-4.20056639644137
"21","GB47398",21,27,29,11,20,19,9,7,10,9,9,21,0.924339895346141,0.926155842457656,3.46333400507776,0.0038541373516786,0.999810782319336,-4.38573901440454
"22","GB47467",201,124,168,68,141,136,115,129,69,51,62,97,0.698430654870117,3.74846956957142,2.19258273872419,0.0459179409856576,0.999810782319336,-4.34342190945007
"23","GB47569",13,32,25,14,42,40,77,28,33,40,65,72,-0.98815303388764,2.18108494954941,-3.25397047203773,0.00583407512361524,0.999810782319336,-4.29637244174558
"24","GB47583",9,11,18,7,12,19,5,6,5,3,14,10,0.771960230394666,0.240156602808371,2.65746944723668,0.0188825382015291,0.999810782319336,-4.48309083715226
"25","GB47928",162,147,186,39,93,120,133,102,140,177,297,145,-0.509054438213532,4.08259944021419,-2.44680413454778,0.028372133693258,0.999810782319336,-4.25019276456417
"26","GB48465",58,91,138,37,93,121,36,44,47,45,115,93,0.450541023439906,3.14416793471096,2.34198303204991,0.0346547212530607,0.999810782319336,-4.3547034614904
