"1","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6"
"2","NR.1","NR.2","NR.3","VR.1","VR.3","VR.5","NR.4","NR.5","NR.6","VR.2","VR.4","VR.6"
"3","NR.1","NR.2","NR.3","NR.6","VR.1","VR.4","NR.4","NR.5","VR.2","VR.3","VR.5","VR.6"
"4","NR.1","NR.2","NR.4","VR.3","VR.4","VR.6","NR.3","NR.5","NR.6","VR.1","VR.2","VR.5"
"5","NR.1","NR.3","NR.4","VR.2","VR.3","VR.5","NR.2","NR.5","NR.6","VR.1","VR.4","VR.6"
"6","NR.1","NR.2","NR.3","VR.2","VR.5","VR.6","NR.4","NR.5","NR.6","VR.1","VR.3","VR.4"
"7","NR.1","NR.3","NR.5","NR.6","VR.2","VR.6","NR.2","NR.4","VR.1","VR.3","VR.4","VR.5"
"8","NR.1","NR.4","NR.6","VR.1","VR.4","VR.5","NR.2","NR.3","NR.5","VR.2","VR.3","VR.6"
"9","NR.1","NR.2","NR.4","VR.1","VR.2","VR.6","NR.3","NR.5","NR.6","VR.3","VR.4","VR.5"
"10","NR.1","NR.5","NR.6","VR.2","VR.3","VR.4","NR.2","NR.3","NR.4","VR.1","VR.5","VR.6"
"11","NR.1","NR.5","NR.6","VR.2","VR.3","VR.5","NR.2","NR.3","NR.4","VR.1","VR.4","VR.6"
"12","NR.1","NR.3","NR.5","VR.2","VR.3","VR.5","NR.2","NR.4","NR.6","VR.1","VR.4","VR.6"
"13","NR.1","NR.3","VR.1","VR.2","VR.4","VR.6","NR.2","NR.4","NR.5","NR.6","VR.3","VR.5"
"14","NR.1","NR.3","NR.4","VR.4","VR.5","VR.6","NR.2","NR.5","NR.6","VR.1","VR.2","VR.3"
"15","NR.1","NR.4","NR.5","VR.2","VR.4","VR.5","NR.2","NR.3","NR.6","VR.1","VR.3","VR.6"
"16","NR.1","NR.2","NR.5","NR.6","VR.1","VR.3","NR.3","NR.4","VR.2","VR.4","VR.5","VR.6"
"17","NR.1","NR.2","NR.3","NR.5","NR.6","VR.1","NR.4","VR.2","VR.3","VR.4","VR.5","VR.6"
"18","NR.1","NR.4","NR.6","VR.1","VR.2","VR.4","NR.2","NR.3","NR.5","VR.3","VR.5","VR.6"
"19","NR.1","NR.2","NR.6","VR.1","VR.2","VR.4","NR.3","NR.4","NR.5","VR.3","VR.5","VR.6"
"20","NR.1","NR.2","NR.3","NR.6","VR.1","VR.6","NR.4","NR.5","VR.2","VR.3","VR.4","VR.5"
