"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB52654",19,12,10,20,8,14,33,44,47,26,40,51,-1.32047932935773,1.84006010952249,-6.11083370826974,2.86736168168212e-05,0.289087404747191,-4.00667761160373
"2","GB50736",19,27,9,23,16,7,50,72,97,32,37,77,-1.69107905737379,2.1986271029385,-5.07680136369175,0.000176461407527848,0.889541955347881,-4.01892377165247
"3","GB40110",11,14,16,19,9,12,51,36,28,16,28,50,-1.03215312546813,1.70316951138321,-3.29155033524007,0.00544279799153078,0.99993823581748,-4.2831628747773
"4","GB40217",56,27,147,95,42,60,91,212,231,63,157,123,-0.91665757846952,3.80334503653521,-3.39467133606058,0.00443914806737722,0.99993823581748,-3.918834632642
"5","GB40228",4,1,13,3,1,5,4,40,47,6,23,17,-2.11762048255815,0.284638889386378,-3.83644156126195,0.00186037007680925,0.99993823581748,-4.36187667164082
"6","GB40764",99,87,126,133,106,122,148,240,292,102,282,490,-0.896618871846715,4.62243956062725,-3.81269826443446,0.00194891429615779,0.99993823581748,-3.60456506765019
"7","GB40848",40,62,44,90,31,42,130,115,106,74,120,163,-0.985014863983103,3.52980451942566,-4.00712931081727,0.00133331701476014,0.99993823581748,-3.83801549050769
"8","GB41071",38,25,58,48,17,45,70,95,71,33,89,106,-0.792158077062488,2.98318613618445,-3.33689321822004,0.00497615312841963,0.99993823581748,-4.09139642272518
"9","GB41455",214,171,188,241,102,217,88,227,225,106,190,151,0.431580247451425,4.6951327927589,3.07846646734837,0.0082922804277356,0.99993823581748,-3.81810665092604
"10","GB42230",513,351,748,703,237,535,273,476,570,271,411,425,0.48319408978502,6.05541484941911,3.18125859334399,0.00676867346955614,0.99993823581748,-3.74418417138328
"11","GB42962",4,2,2,12,4,2,13,12,18,8,12,13,-1.44583330004067,0.136174541295756,-3.95681482959288,0.00147055130194379,0.99993823581748,-4.36430122765924
"12","GB44012",21,24,21,25,12,27,37,39,47,34,48,39,-0.689990477519534,2.18914617670071,-3.17550215205689,0.00684610838951651,0.99993823581748,-4.2376262049094
"13","GB44024",1736,20,170,338,714,382,4773,2858,11028,1462,5401,619,-3.20851514131502,7.15880118876229,-3.10032832520437,0.0079420323042692,0.99993823581748,-3.9448069107986
"14","GB44796",41,25,39,63,27,36,50,74,100,51,54,84,-0.624488282343588,2.94044257423163,-3.26411284105779,0.00574617850514603,0.99993823581748,-4.11172006381514
"15","GB45646",227,201,293,364,145,209,288,443,583,167,412,417,-0.438103496644378,5.46774494130202,-3.50748568092269,0.00355254417829537,0.99993823581748,-3.59128991392244
"16","GB45763",147,56,23,87,35,18,75,149,186,75,125,300,-1.32275168270476,3.61887989087878,-3.2173347251183,0.00630286857905937,0.99993823581748,-4.01529949185726
"17","GB45969",49,75,24,17,10,16,152,130,64,31,106,93,-1.52683581220712,2.8491124065109,-3.28152128000449,0.00555178768897308,0.99993823581748,-4.13882282986048
"18","GB46654",267,198,208,285,115,180,138,245,243,111,196,199,0.350511563382573,4.87800624698847,3.1058679459893,0.00785563898346437,0.99993823581748,-3.78100174908672
"19","GB46706",21,23,30,40,15,22,32,55,67,25,48,42,-0.609988031613938,2.32191826481179,-3.67346068797169,0.00256156168779159,0.99993823581748,-4.13936039769543
"20","GB46883",31,27,28,57,26,21,55,63,71,36,55,65,-0.672595327677246,2.6785033879616,-3.37276345191742,0.0046355614101135,0.99993823581748,-4.13388129821299
"21","GB46982",69,29,72,128,54,73,82,124,183,95,165,224,-0.863483364449027,3.86248526059339,-3.36992241752927,0.00466166322175355,0.99993823581748,-3.91218765622993
