"1","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6"
"2","VC.1","VC.3","VC.5","VR.1","VR.3","VR.6","VC.2","VC.4","VC.6","VR.2","VR.4","VR.5"
"3","VC.1","VC.3","VC.5","VC.6","VR.1","VR.2","VC.2","VC.4","VR.3","VR.4","VR.5","VR.6"
"4","VC.1","VC.3","VC.5","VR.1","VR.2","VR.5","VC.2","VC.4","VC.6","VR.3","VR.4","VR.6"
"5","VC.1","VC.6","VR.1","VR.3","VR.4","VR.5","VC.2","VC.3","VC.4","VC.5","VR.2","VR.6"
"6","VC.1","VC.4","VC.5","VC.6","VR.1","VR.4","VC.2","VC.3","VR.2","VR.3","VR.5","VR.6"
"7","VC.1","VC.2","VC.3","VC.4","VR.5","VR.6","VC.5","VC.6","VR.1","VR.2","VR.3","VR.4"
"8","VC.1","VC.5","VR.1","VR.2","VR.3","VR.5","VC.2","VC.3","VC.4","VC.6","VR.4","VR.6"
"9","VC.1","VC.4","VC.5","VR.1","VR.4","VR.5","VC.2","VC.3","VC.6","VR.2","VR.3","VR.6"
"10","VC.1","VC.4","VC.5","VC.6","VR.2","VR.5","VC.2","VC.3","VR.1","VR.3","VR.4","VR.6"
"11","VC.1","VC.2","VR.1","VR.2","VR.3","VR.5","VC.3","VC.4","VC.5","VC.6","VR.4","VR.6"
"12","VC.1","VC.3","VC.4","VC.5","VC.6","VR.4","VC.2","VR.1","VR.2","VR.3","VR.5","VR.6"
"13","VC.1","VC.2","VC.3","VR.2","VR.3","VR.4","VC.4","VC.5","VC.6","VR.1","VR.5","VR.6"
"14","VC.1","VC.4","VR.1","VR.2","VR.3","VR.4","VC.2","VC.3","VC.5","VC.6","VR.5","VR.6"
"15","VC.1","VC.4","VC.5","VR.2","VR.3","VR.5","VC.2","VC.3","VC.6","VR.1","VR.4","VR.6"
"16","VC.1","VC.2","VC.6","VR.1","VR.2","VR.6","VC.3","VC.4","VC.5","VR.3","VR.4","VR.5"
"17","VC.1","VC.4","VC.5","VR.1","VR.2","VR.3","VC.2","VC.3","VC.6","VR.4","VR.5","VR.6"
"18","VC.1","VC.4","VR.1","VR.3","VR.5","VR.6","VC.2","VC.3","VC.5","VC.6","VR.2","VR.4"
"19","VC.1","VC.2","VC.3","VC.5","VR.1","VR.6","VC.4","VC.6","VR.2","VR.3","VR.4","VR.5"
"20","VC.1","VC.3","VR.2","VR.3","VR.5","VR.6","VC.2","VC.4","VC.5","VC.6","VR.1","VR.4"
