"","ID","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40695",611,3729,1408,2475,3406,2461,309,121,333,289,1027,218,2.31391704287746,6.84813551578334,4.58012573271292,0.000457202059277049,0.288789262819004,0.038815118761276
"2","GB40888",86,223,242,267,289,205,206,356,154,153,301,239,-0.502798086247909,4.97628693241782,-4.06248392513813,0.00122439230954188,0.288789262819004,-0.720618756158927
"3","GB41306",869,4355,4983,4236,3328,2486,1988,1639,593,871,1149,861,1.02047819986081,8.04075918989758,4.02077666564644,0.0013270274001412,0.288789262819004,-0.899732891952436
"4","GB41495",592,2701,3295,1859,3106,1458,761,1091,293,493,1268,449,1.1655403634044,7.33236411483483,4.53809157327751,0.00049474883111432,0.288789262819004,-0.0460412802881667
"5","GB42303",15,61,107,46,49,40,33,22,6,10,14,16,1.25567215622482,1.95801394108057,4.1319983019346,0.00107102429822619,0.288789262819004,-1.16630728154308
"6","GB42761",125,297,356,195,351,243,125,213,84,96,138,96,0.651555433868994,4.65510220490639,4.02869591302685,0.00130688392357437,0.288789262819004,-0.791651823816893
"7","GB43052",1320,6007,9452,4345,7307,4580,1992,2867,691,1447,1750,1313,1.19726938034535,8.62575885269552,4.62581702412801,0.000419710908944271,0.288789262819004,-0.0864480769998694
"8","GB43790",27,47,93,60,54,42,22,35,9,22,27,14,0.929957547982329,2.23375778879817,4.32467665289015,0.000740851715701277,0.288789262819004,-0.817581561281217
"9","GB44202",2147,3779,4005,2140,3107,2567,1187,1815,1119,1049,1573,1145,0.788211090560456,8.14057860083424,4.00837195529244,0.00135922026462644,0.288789262819004,-0.925860433678845
"10","GB44318",155,261,373,330,313,333,350,387,195,221,383,284,-0.440364774755504,5.40645628882424,-4.21161510387504,0.000919321405859978,0.288789262819004,-0.468051145894641
"11","GB44367",60,36,89,58,172,88,14,3,25,9,19,0,3.08638076153839,1.75182008646658,4.00455035117152,0.00136929813491969,0.288789262819004,-1.53304339800011
"12","GB44404",69,153,194,193,157,172,135,281,116,107,208,196,-0.532319668197119,4.52117870533699,-4.02067513235829,0.00132728771202951,0.288789262819004,-0.802322165546631
"13","GB44502",884,2609,2709,2052,2044,1352,750,1055,295,525,1690,343,1.14248323639763,7.31011694368395,4.0034582481503,0.0013721921020899,0.288789262819004,-0.873762706308315
"14","GB44765",41,70,129,98,86,106,84,151,59,67,122,104,-0.55250358643295,3.69769135344452,-4.05062444752749,0.00125272212310577,0.288789262819004,-0.825555356737338
"15","GB45452",235,415,618,568,470,519,461,632,374,342,587,473,-0.43995566781389,6.07502874947708,-4.13740288617886,0.00105995743757166,0.288789262819004,-0.599366956814417
"16","GB45615",237,974,394,472,610,536,106,45,204,166,115,67,2.02952064007843,5.05548865696935,4.5847849671628,0.000453225430731857,0.288789262819004,0.0789509880475201
"17","GB45937",1525,3808,3534,3105,3621,1799,1306,1781,677,960,2168,724,0.879401215404656,8.02741336225062,4.01272909509169,0.00134782258112269,0.288789262819004,-0.910167220214969
"18","GB47551",511,1723,2048,1155,1748,901,574,760,224,415,654,432,0.967549984897907,6.80494405624398,5.04869360421621,0.00019244379373058,0.288789262819004,0.774255956802365
