"1","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6"
"2","NC.1","NC.3","NC.4","NC.5","NP.1","NP.6","NC.2","NC.6","NP.2","NP.3","NP.4","NP.5"
"3","NC.1","NC.2","NC.4","NP.2","NP.4","NP.6","NC.3","NC.5","NC.6","NP.1","NP.3","NP.5"
"4","NC.1","NC.3","NC.4","NC.6","NP.2","NP.6","NC.2","NC.5","NP.1","NP.3","NP.4","NP.5"
"5","NC.1","NC.3","NC.4","NP.1","NP.2","NP.3","NC.2","NC.5","NC.6","NP.4","NP.5","NP.6"
"6","NC.1","NC.4","NC.5","NC.6","NP.4","NP.5","NC.2","NC.3","NP.1","NP.2","NP.3","NP.6"
"7","NC.1","NC.3","NP.1","NP.3","NP.4","NP.6","NC.2","NC.4","NC.5","NC.6","NP.2","NP.5"
"8","NC.1","NC.2","NC.4","NC.6","NP.2","NP.4","NC.3","NC.5","NP.1","NP.3","NP.5","NP.6"
"9","NC.1","NC.2","NP.1","NP.2","NP.3","NP.5","NC.3","NC.4","NC.5","NC.6","NP.4","NP.6"
"10","NC.1","NC.3","NC.6","NP.1","NP.2","NP.6","NC.2","NC.4","NC.5","NP.3","NP.4","NP.5"
"11","NC.1","NC.3","NC.5","NC.6","NP.1","NP.5","NC.2","NC.4","NP.2","NP.3","NP.4","NP.6"
"12","NC.1","NC.2","NC.3","NC.5","NP.2","NP.4","NC.4","NC.6","NP.1","NP.3","NP.5","NP.6"
"13","NC.1","NC.2","NC.6","NP.2","NP.4","NP.5","NC.3","NC.4","NC.5","NP.1","NP.3","NP.6"
"14","NC.1","NC.2","NC.6","NP.2","NP.3","NP.4","NC.3","NC.4","NC.5","NP.1","NP.5","NP.6"
"15","NC.1","NC.3","NC.4","NP.1","NP.2","NP.5","NC.2","NC.5","NC.6","NP.3","NP.4","NP.6"
"16","NC.1","NC.3","NC.6","NP.1","NP.2","NP.3","NC.2","NC.4","NC.5","NP.4","NP.5","NP.6"
"17","NC.1","NC.2","NC.3","NC.4","NP.2","NP.5","NC.5","NC.6","NP.1","NP.3","NP.4","NP.6"
"18","NC.1","NC.2","NC.3","NC.4","NP.1","NP.3","NC.5","NC.6","NP.2","NP.4","NP.5","NP.6"
"19","NC.1","NC.2","NC.5","NC.6","NP.2","NP.6","NC.3","NC.4","NP.1","NP.3","NP.4","NP.5"
"20","NC.1","NC.2","NC.3","NC.6","NP.1","NP.3","NC.4","NC.5","NP.2","NP.4","NP.5","NP.6"
