"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40013",170,31,24,50,23,295,458,213,312,194,97,158,-2.02908614585626,3.92446444009386,-3.09584351413254,0.00820907523233028,0.999997931127106,-4.16953653066301
"2","GB40304",473,289,120,195,230,490,457,487,520,347,288,512,-0.929835875647977,5.50524123313669,-2.91754551710444,0.0116255451327927,0.999997931127106,-4.08732970756557
"3","GB40892",359,426,279,270,374,658,434,376,299,500,699,652,-0.579728215710825,5.82832788142632,-2.98025321198902,0.0102878654772354,0.999997931127106,-4.07979986060118
"4","GB41028",22328,18078,11011,11621,14908,24849,34237,19260,24092,20404,21463,25705,-0.805786359382719,11.3729823490232,-2.86947060761193,0.0127659474454903,0.999997931127106,-4.37774774479423
"5","GB41311",1102,1107,788,217,480,797,1416,1953,458,854,1824,1178,-1.06722843934732,6.87109874814561,-2.99551291463319,0.00998607886339708,0.999997931127106,-4.15225715954966
"6","GB41331",61,30,26,23,31,49,47,72,41,61,80,76,-1.04427765699822,2.64169031056681,-4.23234658757836,0.000907119433827809,0.999997931127106,-4.14553627961611
"7","GB41389",243,245,147,171,206,363,751,347,333,282,346,449,-1.10712342416737,5.31159188400533,-4.04708744197461,0.00129172056510113,0.999997931127106,-3.80906075224999
"8","GB41390",3013,875,592,982,816,3657,6715,2796,4563,2203,2531,3151,-1.68136157853987,8.13551484948878,-3.36016328610652,0.00489570130536259,0.999997931127106,-4.16488249319423
"9","GB41552",25,117,51,17,24,39,8,8,5,13,15,57,1.2435369396498,1.56286752231913,2.78414281960273,0.0150669364282388,0.999997931127106,-4.41051917811213
"10","GB41715",9788,5889,4039,5327,6128,11507,14158,7558,10061,8012,9670,11011,-0.832158449267212,10.0914859191195,-2.69555470257869,0.017884740448218,0.999997931127106,-4.36052162902933
"11","GB41741",116,141,66,88,98,179,371,154,245,182,281,218,-1.30377575344368,4.42436506522463,-4.07987678832936,0.00121310692719146,0.999997931127106,-3.87887343545693
"12","GB41901",559,460,328,317,438,766,815,467,462,571,501,717,-0.596747972019719,6.10795628988944,-2.71094026141871,0.0173609356063543,0.999997931127106,-4.16819928655272
"13","GB41981",554,188,129,213,126,1358,2569,433,1005,824,559,707,-1.89007627087742,6.03701948686325,-3.05394221714097,0.00890945073816719,0.999997931127106,-4.09138993292796
"14","GB42234",450,326,188,334,264,588,724,428,510,355,538,621,-0.886847148045651,5.80889750636882,-2.98045348577454,0.0102838468844086,0.999997931127106,-4.08106124371906
"15","GB42422",48990,35939,21540,23458,27686,53090,70864,46669,47695,37226,45865,53789,-0.844691623118559,12.4091785568994,-2.87465141023179,0.0126379412986337,0.999997931127106,-4.40512909211416
"16","GB42526",6369,5460,3728,2754,4063,7425,10588,6224,7280,5808,6621,8140,-0.908066915371174,9.62202892441791,-3.41251617204069,0.00441956684069551,0.999997931127106,-4.23883534092687
"17","GB42571",646,1007,681,827,567,935,1263,824,630,1341,1225,1411,-0.730270734385742,6.92677723747265,-3.41113167743836,0.00443153799943191,0.999997931127106,-4.06674990214278
"18","GB42676",455,273,157,257,316,553,725,311,513,458,509,543,-0.948261304238359,5.72042482414161,-2.9264215463923,0.0114262564114617,0.999997931127106,-4.09223981464692
"19","GB42792",7508,4111,2453,2453,3534,5621,17042,7756,11758,6190,3726,5423,-1.24857436916153,9.52426765506682,-2.83239479613074,0.0137199567569449,0.999997931127106,-4.31930658087127
"20","GB42929",8393,4897,3415,5534,5092,10687,11573,6629,8862,7726,10185,9588,-0.863662612633654,9.93405838883787,-2.70490009374354,0.0175647672270935,0.999997931127106,-4.35378017436333
"21","GB43482",5834,3176,1988,3790,3118,7373,8949,4348,7222,6731,6708,6905,-1.06373751033485,9.41170658753399,-3.01441912917541,0.00962430563003997,0.999997931127106,-4.28626971713113
"22","GB43733",152,86,69,109,32,200,233,229,175,177,225,256,-1.44812993129155,4.24912840556812,-4.15195370215206,0.00105707261301493,0.999997931127106,-3.89753956095515
"23","GB43927",24,41,10,25,12,22,10,3,1,5,13,19,1.39005535384599,0.646401682481433,2.96415191361264,0.0106160783571822,0.999997931127106,-4.43811337266286
"24","GB44149",40,60,29,29,33,36,36,63,33,49,37,82,-0.611086949846363,2.50260597728265,-3.51395221717144,0.0036255497312951,0.999997931127106,-4.24495236147642
"25","GB44363",345,497,214,163,290,447,389,407,308,291,353,549,-0.553023640216339,5.50496939815846,-3.19062410600321,0.00682042337838951,0.999997931127106,-4.00888796182375
"26","GB44462",8815,4318,2654,5158,4272,9038,10867,6262,9480,7662,9751,8990,-1.00467211532418,9.82452442615385,-2.85445045081132,0.0131443128039044,0.999997931127106,-4.32767338470655
"27","GB44464",505,544,348,330,503,571,537,499,419,572,532,622,-0.462498844715487,6.0456071333516,-2.96341058154746,0.0106314365912476,0.999997931127106,-4.09703375376035
"28","GB44501",1946,2525,1051,714,1723,1730,1827,2867,1203,1641,2239,2308,-0.640855360553803,7.83959655583952,-3.04727645393109,0.00902621108100428,0.999997931127106,-4.20324185096149
"29","GB44560",1741,1924,877,637,1310,1573,1416,2113,939,1327,1802,1851,-0.541084942951432,7.53849054158523,-2.7601358575858,0.0157845315863518,0.999997931127106,-4.24544511287501
"30","GB44842",1550,1135,814,708,661,1125,2461,1622,1829,1197,886,1452,-0.921786205427022,7.33024189966753,-2.85476231762675,0.013136345774155,0.999997931127106,-4.2136308498402
"31","GB44967",564,521,315,325,493,675,765,504,527,535,618,724,-0.647718702416279,6.1570462327456,-3.11442195552079,0.00791631805322419,0.999997931127106,-4.06685977967236
"32","GB45434",370,240,169,248,253,561,478,391,370,415,629,528,-0.95467599099754,5.60815111569777,-3.56112300114905,0.00330697866142163,0.999997931127106,-3.92414160182003
"33","GB45545",2006,1084,609,1222,985,2370,2365,1302,2011,1790,2211,2363,-0.917735176910836,7.7209208300669,-2.72981874148787,0.016738621498057,0.999997931127106,-4.26031109800118
"34","GB45763",190,31,28,75,23,149,386,220,354,147,56,186,-1.88899768602614,3.84162152185335,-2.87679558408808,0.0125853337407401,0.999997931127106,-4.21758944388853
"35","GB46123",175,195,137,100,157,211,250,191,196,163,236,252,-0.642304017293413,4.62615931006711,-3.20703655277412,0.00660496244898833,0.999997931127106,-4.028511762961
"36","GB46214",4182,3831,2230,2146,2892,5197,7338,3662,5429,4377,5203,5436,-0.940618699608974,9.09873650437863,-3.38494571830207,0.00466420254627992,0.999997931127106,-4.21419541467268
"37","GB46236",1201,2965,81,301,5485,368,133,86,99,160,49,95,2.71188392507014,5.18698146251787,3.31563189404507,0.00534106864552796,0.999997931127106,-4.09019450405869
"38","GB46254",540,323,227,402,314,647,693,335,564,685,661,627,-0.855962484849418,5.98909069464176,-2.70523982528722,0.0175532409905537,0.999997931127106,-4.16441948950929
"39","GB46369",4942,2886,1897,2659,2738,6592,8872,4539,6376,5031,6849,6031,-1.16816715348319,9.24332047192476,-3.48072890858172,0.00386836861793254,0.999997931127106,-4.20887746662125
"40","GB46534",524,383,287,357,397,912,681,499,583,464,855,870,-0.797025708893003,6.16243438862268,-2.91457101049067,0.0116930938872704,0.999997931127106,-4.11895492776157
