"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40084",64,60,122,74,51,108,52,26,37,63,104,80,0.518790966290108,3.0595140490335,3.32471258869295,0.00541073713050875,0.999597757370558,-4.10022628383213
"2","GB40624",206,120,388,189,92,270,609,135,351,375,706,347,-0.870866383852523,5.09274577016632,-4.06197392809568,0.00131847121696631,0.999597757370558,-3.61129754384167
"3","GB40701",732,455,2082,686,338,870,1132,441,929,1242,2416,1338,-0.535212068540322,6.84518389738969,-2.54678425685537,0.0241817891006787,0.999597757370558,-4.16882636770268
"4","GB40703",497,278,789,331,195,549,578,304,443,581,999,539,-0.360456511125507,5.89303840691167,-2.71770919486173,0.0174539254641277,0.999597757370558,-4.04599042586958
"5","GB40712",141,114,217,149,63,193,93,63,98,147,126,170,0.418461610413649,3.98322565581519,2.72154004093929,0.0173262977284445,0.999597757370558,-4.10415522233101
"6","GB40823",77,54,104,40,42,85,46,27,32,59,96,63,0.416132670939259,2.8516568048307,2.51919946472531,0.0254805706624351,0.999597757370558,-4.2968448529143
"7","GB41070",11,12,36,18,6,22,26,15,17,31,44,25,-0.564759590915932,1.34817515667193,-2.45954287663877,0.0285233318304148,0.999597757370558,-4.42648237784004
"8","GB41071",70,47,59,34,16,35,75,55,55,87,69,91,-0.68625748607632,2.77518778595525,-2.73867783339438,0.0167664218858148,0.999597757370558,-4.26262287094946
"9","GB41279",38,29,49,24,20,28,52,21,40,56,67,75,-0.616655756612476,2.30683101366643,-3.46468422415141,0.00412924613710909,0.999597757370558,-4.19625731818341
"10","GB42192",82,61,87,51,45,72,41,30,54,59,61,63,0.460439774212984,2.87637538790326,2.70042727861568,0.0180411968930998,0.999597757370558,-4.25570841281442
"11","GB42468",781,344,1353,648,311,887,742,559,910,1064,1172,1189,-0.462232555291624,6.60859159110953,-2.56405008153931,0.023401662862196,0.999597757370558,-4.14666319284049
