"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40233",14,18,24,15,19,17,14,24,25,15,25,29,-1.04686963272316,1.64209564673961,-4.66337779493183,0.000386113527436449,0.436438477199241,-0.995321404469309
"2","GB40343",323,229,487,234,231,412,88,153,103,74,157,183,0.563620265716859,4.91556122753935,3.92166646066884,0.00159310789238336,0.436438477199241,-1.05754687695407
"3","GB40606",20,8,11,14,10,10,9,24,26,8,36,19,-1.3984305578788,1.23034843338335,-4.05736949808481,0.00122442012914707,0.436438477199241,-1.74849084198783
"4","GB40710",17,12,48,19,14,33,3,6,2,0,5,4,2.13272937791148,0.336778744616259,5.06079404740374,0.000185333877949815,0.436438477199241,-1.13444590525489
"5","GB40816",449,324,1076,573,605,896,199,278,136,130,311,358,0.685617450450602,5.84093979632603,3.31454168260193,0.00524117535034862,0.436438477199241,-2.00890958305889
"6","GB40850",3,8,6,7,3,16,6,10,9,7,9,12,-1.22119351636412,0.291083099878242,-3.33437209007651,0.0050402669209595,0.436438477199241,-2.7113640072908
"7","GB40871",50,46,96,71,47,51,22,14,2,6,24,30,1.41436715432491,2.09362041803827,3.37910909119657,0.00461492130569066,0.436438477199241,-2.27687680862841
"8","GB41153",137,88,135,80,124,128,87,130,82,86,110,115,-0.585612193979033,4.0724205030994,-3.38645640170218,0.00454859265314746,0.436438477199241,-1.91363232220939
"9","GB41181",432,309,592,362,310,514,389,400,405,200,310,529,-0.575109085238195,5.90976409298093,-3.87637505701561,0.00173994164509896,0.436438477199241,-1.12386588464997
"10","GB41224",23,18,47,25,24,32,28,27,42,19,32,29,-0.820108370175727,2.15476630805895,-3.7058707422992,0.00242778518268161,0.436438477199241,-1.83359540603962
"11","GB41340",70,58,105,67,67,98,32,111,95,77,110,94,-0.842054407028771,3.62778377758281,-3.51380990575395,0.00353978991170812,0.436438477199241,-1.77168371372834
"12","GB41440",16,21,26,15,24,31,14,32,34,13,23,29,-0.858925757373809,1.82712493346983,-3.31747080231023,0.00521100196619128,0.436438477199241,-2.37163797386646
"13","GB41751",163,113,403,182,197,202,69,94,26,37,104,50,1.01308986096593,4.05321617953183,3.62457132942123,0.00284738890927788,0.436438477199241,-1.58956813417535
"14","GB41830",9,4,15,7,4,14,7,34,15,11,20,8,-1.48572005058296,0.770397892418767,-3.69021364651589,0.00250341549617547,0.436438477199241,-2.25581611948709
"15","GB42173",328,191,286,248,213,275,213,224,229,208,230,250,-0.588609677332618,5.23469941270648,-3.55942198749169,0.00323611846249937,0.436438477199241,-1.60182839847745
"16","GB42355",712,591,1289,628,835,662,546,1172,962,396,820,784,-0.706665810027304,6.8765515152911,-3.58552880629735,0.00307428445763978,0.436438477199241,-1.63922327529352
"17","GB42507",7,4,16,9,6,10,5,62,30,14,31,10,-1.92648288729822,1.00376392332636,-3.66266133799557,0.00264235223545691,0.436438477199241,-2.22091218335623
"18","GB42567",75,53,379,103,174,137,27,42,22,13,33,56,1.31403713348664,3.25959886009718,3.42049715566138,0.0042535635730463,0.436438477199241,-1.99615057977363
"19","GB42579",751,470,1438,1217,822,934,326,318,101,142,350,395,1.09041118948276,6.19087057559334,3.70293671943272,0.00244177922962042,0.436438477199241,-1.42896156837799
"20","GB42698",450,276,369,265,225,373,254,359,257,200,340,404,-0.646340073577295,5.58991420745006,-4.25027767255757,0.000844529493030781,0.436438477199241,-0.53423994040419
"21","GB43155",110,63,140,100,78,110,78,82,108,56,76,121,-0.540294272102222,3.83910026641809,-3.36377388619319,0.00475650641659481,0.436438477199241,-1.96896426262932
"22","GB43727",10573,2078,19408,3762,11624,5600,2035,1379,1484,630,1472,1671,1.54456354017969,8.91296017702625,3.92313920695223,0.00158855119679948,0.436438477199241,-1.44709302570755
"23","GB43958",37,25,51,36,20,51,23,43,60,31,42,43,-0.882941513155809,2.54728105979119,-3.72851429462756,0.00232248532241292,0.436438477199241,-1.70307579276936
"24","GB44027",212,169,179,135,107,160,145,186,141,77,189,156,-0.649464014891081,4.56546464410821,-3.48218376400198,0.00376707215410614,0.436438477199241,-1.73553947568292
"25","GB44075",27,11,38,26,23,23,6,5,7,6,8,8,1.01783078170867,1.02922290234156,3.73877445164815,0.00227630938554781,0.436438477199241,-2.14650351740308
"26","GB44599",136,122,125,103,109,159,128,132,239,70,108,175,-0.867491189066631,4.3418459284285,-3.70552779903651,0.00242941667060719,0.436438477199241,-1.39983907943658
"27","GB44642",397,274,514,378,282,499,241,369,432,197,351,409,-0.523315833163925,5.78129290144255,-3.60136843900661,0.00298010699136001,0.436438477199241,-1.54644862829128
"28","GB44804",342,281,377,309,211,324,226,384,313,145,322,325,-0.609630290102001,5.50204020487863,-4.02943573517067,0.00129243499073809,0.436438477199241,-0.867849157023569
"29","GB44912",136,119,253,145,150,195,70,86,48,30,84,82,0.575935811180204,3.99006318667232,3.59728585782067,0.0030040981348305,0.436438477199241,-1.62145598190432
"30","GB45250",668,461,1406,687,705,727,342,1554,850,500,1137,949,-0.866569526561424,6.90428257911937,-3.46226237906446,0.00391772936826491,0.436438477199241,-1.82524979697548
"31","GB45300",55,26,111,62,50,81,16,22,5,17,17,26,1.16934314432219,2.27315554934435,3.65048226351843,0.00270623250252539,0.436438477199241,-1.89962068898157
"32","GB45340",187,132,218,144,95,183,217,186,122,78,159,153,-0.67250445117956,4.5635405210508,-3.47623132192896,0.00381146641139469,0.436438477199241,-1.74496558548533
"33","GB45387",156,127,449,269,184,253,63,125,27,35,104,76,1.01198631242041,4.21165276421025,3.58542984291861,0.00307488222229264,0.436438477199241,-1.63364069164656
"34","GB45938",14,5,10,10,9,6,29,35,34,48,10,15,-2.18617116643169,1.2614580848983,-4.30495405116814,0.000760628453723142,0.436438477199241,-1.52518048501176
"35","GB46039",3640,2574,4257,3516,4407,3993,2043,8258,5922,2126,7032,4542,-0.976522466007834,9.29903964780171,-3.4015994196267,0.00441489168664275,0.436438477199241,-2.13703669113812
"36","GB46165",104,67,178,142,124,126,37,40,43,33,48,52,0.758308994547749,3.47944745628255,4.12812719493049,0.00106804459539266,0.436438477199241,-0.963775061313195
"37","GB46194",182,134,195,148,116,147,110,152,166,83,155,150,-0.572300331361488,4.48292487070733,-3.77161086908603,0.00213469774223652,0.436438477199241,-1.28704289737287
"38","GB46215",202,126,180,123,115,154,106,156,176,86,159,153,-0.647172163289898,4.47619463786125,-3.8602256440256,0.00179557179349866,0.436438477199241,-1.15034981221681
"39","GB46880",9,9,6,5,3,9,8,11,24,11,32,9,-1.79602945443089,0.644195154166116,-4.06033834842514,0.00121740990990095,0.436438477199241,-1.9606146049538
"40","GB47139",26,24,83,42,24,79,12,15,4,8,16,12,1.20715658603599,1.71722917546268,3.42130438299582,0.00424680586920517,0.436438477199241,-2.30576882325754
"41","GB47283",135,98,105,98,71,126,82,92,128,63,94,129,-0.649264032800079,3.97175179416311,-3.3184847462623,0.00520059774051576,0.436438477199241,-2.02554426690501
"42","GB47504",165,106,163,211,135,149,94,368,210,116,216,127,-0.92583138656407,4.65926266672504,-3.38328493978345,0.00457710515200465,0.436438477199241,-1.88946364958033
"43","GB47505",93,45,70,172,88,206,83,284,104,65,178,250,-1.29804605003136,4.20893799817928,-3.7597205846964,0.00218491287402215,0.436438477199241,-1.33283918021706
"44","GB48346",241,154,300,280,194,385,121,396,243,194,275,349,-0.737768750342821,5.28223550751344,-3.60164133405007,0.00297851025714705,0.436438477199241,-1.53468803043056
"45","GB48376",68,45,103,78,58,96,36,140,126,50,106,77,-0.913884951769617,3.58606560627698,-3.51240883221294,0.00354955985344486,0.436438477199241,-1.77999138850428
"46","GB49001",200,91,169,144,98,181,128,146,153,99,131,187,-0.716424603180356,4.46313422824239,-4.34986219782583,0.000698147425672859,0.436438477199241,-0.412672548976626
"47","GB49010",90,65,304,114,99,213,43,55,13,22,41,60,1.124348228983,3.39793597758138,3.39862962937365,0.0044407977300267,0.436438477199241,-1.99990246351781
"48","GB49055",27,26,24,19,15,43,18,24,27,19,50,46,-0.997861657158232,2.07454738334724,-3.4859250245286,0.0037394361858538,0.436438477199241,-2.11663259849418
"49","GB49074",95,60,157,76,88,121,26,46,23,22,56,44,0.713579790475889,3.17120672616785,3.72823432816104,0.00232375855121655,0.436438477199241,-1.57297113765389
"50","GB49171",65,53,148,93,74,117,33,53,14,17,28,40,0.853712980637434,2.9665908640425,3.50842641580345,0.00357747870555049,0.436438477199241,-1.91331318998477
