"1","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6"
"2","NC.1","NC.4","VR.1","VR.2","VR.3","VR.6","NC.2","NC.3","NC.5","NC.6","VR.4","VR.5"
"3","NC.1","NC.2","NC.3","VR.2","VR.5","VR.6","NC.4","NC.5","NC.6","VR.1","VR.3","VR.4"
"4","NC.1","NC.2","NC.6","VR.1","VR.5","VR.6","NC.3","NC.4","NC.5","VR.2","VR.3","VR.4"
"5","NC.1","NC.2","NC.4","NC.5","NC.6","VR.4","NC.3","VR.1","VR.2","VR.3","VR.5","VR.6"
"6","NC.1","NC.3","NC.4","VR.1","VR.3","VR.5","NC.2","NC.5","NC.6","VR.2","VR.4","VR.6"
"7","NC.1","NC.4","NC.5","VR.3","VR.4","VR.5","NC.2","NC.3","NC.6","VR.1","VR.2","VR.6"
"8","NC.1","NC.2","NC.4","NC.5","VR.2","VR.4","NC.3","NC.6","VR.1","VR.3","VR.5","VR.6"
"9","NC.1","NC.4","NC.5","NC.6","VR.4","VR.5","NC.2","NC.3","VR.1","VR.2","VR.3","VR.6"
"10","NC.1","NC.3","VR.2","VR.4","VR.5","VR.6","NC.2","NC.4","NC.5","NC.6","VR.1","VR.3"
"11","NC.1","NC.6","VR.1","VR.4","VR.5","VR.6","NC.2","NC.3","NC.4","NC.5","VR.2","VR.3"
"12","NC.1","NC.5","NC.6","VR.1","VR.4","VR.5","NC.2","NC.3","NC.4","VR.2","VR.3","VR.6"
"13","NC.1","NC.2","NC.6","VR.1","VR.3","VR.4","NC.3","NC.4","NC.5","VR.2","VR.5","VR.6"
"14","NC.1","NC.2","VR.3","VR.4","VR.5","VR.6","NC.3","NC.4","NC.5","NC.6","VR.1","VR.2"
"15","NC.1","NC.2","NC.4","NC.6","VR.2","VR.3","NC.3","NC.5","VR.1","VR.4","VR.5","VR.6"
"16","NC.1","NC.6","VR.1","VR.3","VR.4","VR.6","NC.2","NC.3","NC.4","NC.5","VR.2","VR.5"
"17","NC.1","NC.4","NC.6","VR.1","VR.3","VR.4","NC.2","NC.3","NC.5","VR.2","VR.5","VR.6"
"18","NC.1","NC.2","NC.5","NC.6","VR.2","VR.6","NC.3","NC.4","VR.1","VR.3","VR.4","VR.5"
"19","NC.1","NC.2","NC.6","VR.2","VR.4","VR.5","NC.3","NC.4","NC.5","VR.1","VR.3","VR.6"
"20","NC.1","NC.5","VR.1","VR.3","VR.5","VR.6","NC.2","NC.3","NC.4","NC.6","VR.2","VR.4"
