"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40392",144,98,262,429,199,128,112,133,42,31,42,171,1.09297800766761,4.16702113288505,3.3180063595303,0.00531871974717605,0.999443692911613,-4.0413056698687
"2","GB40468",6,4,6,17,10,3,19,13,11,8,6,23,-1.01083342984893,0.541018156363355,-3.14078157406978,0.00752164331733565,0.999443692911613,-4.43363519921981
"3","GB40593",7,8,2,14,13,12,22,17,6,14,10,32,-1.04977691924055,0.821113605822095,-2.75019907210848,0.0160957362570894,0.999443692911613,-4.45101052716432
"4","GB40765",467,318,479,509,419,406,1185,743,265,349,308,637,-0.40735500178599,6.1653870646702,-2.62204894457642,0.0206121144426227,0.999443692911613,-4.15376671394346
"5","GB41138",58,38,51,53,57,62,171,131,33,44,34,88,-0.666993725881565,3.22012037349352,-2.83849522771523,0.0135624208705755,0.999443692911613,-4.26419501347965
"6","GB41178",14,14,16,20,19,10,13,15,3,3,5,16,0.729820002502055,0.775780178269719,2.61884746596106,0.0207394133237777,0.999443692911613,-4.46374376509022
"7","GB41226",9,9,9,11,11,9,38,29,6,8,12,20,-0.933255745814424,0.971974108202665,-3.56566195022478,0.00327961361103432,0.999443692911613,-4.37640949318436
"8","GB41467",332,184,173,314,388,335,582,457,147,375,278,603,-0.631064397296174,5.62151468514905,-2.81042716584435,0.0143221169010654,0.999443692911613,-4.06053440178958
"9","GB41724",173,98,125,142,98,100,383,263,93,103,83,166,-0.608639321407028,4.39788581920399,-2.91794970280408,0.0116201821219801,0.999443692911613,-4.09197382975002
"10","GB41769",152,146,114,211,210,105,171,119,62,78,87,123,0.389206225645589,4.25991212330749,2.69020401665881,0.018075255837574,0.999443692911613,-4.16842878158201
"11","GB41771",98,77,86,112,80,127,339,214,54,92,71,145,-0.678059041483426,4.07953208449872,-2.84437174868238,0.0134084477715889,0.999443692911613,-4.15383798560099
"12","GB42300",123,110,116,137,103,285,346,219,89,206,181,217,-0.754753589874738,4.65816603122461,-2.68493357345542,0.0182600786164383,0.999443692911613,-4.13329113353725
"13","GB42424",373,201,333,256,210,355,977,501,318,426,413,360,-0.956666614303071,5.80013873619091,-3.88340319212467,0.00177079973284327,0.999443692911613,-3.77421004852039
"14","GB42460",3,221,88,32,4,21,721,625,40,80,274,106,-3.32866908549086,3.3883880347882,-3.38830129706306,0.00463591063490005,0.999443692911613,-4.20107913425088
"15","GB42485",34,10,20,18,21,22,62,31,25,23,21,33,-0.811550554367371,1.94454270304245,-3.31677535445141,0.00533153628902105,0.999443692911613,-4.32303129718619
"16","GB42487",310,251,212,304,320,179,477,347,198,224,208,323,-0.345759155423589,5.37982795532976,-2.7429508141529,0.0163231576025621,0.999443692911613,-4.07576591986155
"17","GB42728",345,264,202,348,255,141,269,161,72,74,120,192,0.667866958046278,4.81038540569588,3.67934586094243,0.00262885328618976,0.999443692911613,-3.84636387717692
"18","GB42729",35,33,15,36,28,18,15,6,6,7,12,17,1.21779966510666,1.34361842472691,4.0553472730731,0.00127235495597644,0.999443692911613,-4.31436800360944
"19","GB42768",63,41,40,60,44,28,28,17,20,16,17,14,1.1359321783838,2.16404657993924,4.3979294278876,0.000663881325903974,0.999443692911613,-4.19689033244411
"20","GB42822",432,109,675,1022,421,76,115,89,91,44,83,154,1.62312350241746,4.71450812749388,3.00016681738439,0.00989925862641138,0.999443692911613,-4.08260162431721
"21","GB43093",439,348,367,537,320,236,380,280,164,151,200,332,0.401177539793798,5.50382031766976,2.71769326348891,0.0171404212302898,0.999443692911613,-4.09469135526608
"22","GB43158",274,211,254,331,291,226,310,204,105,148,150,233,0.328611233952043,5.07309338478353,3.04300103264454,0.00910520108080316,0.999443692911613,-3.99359275660441
"23","GB43422",573,493,545,1076,533,378,553,521,232,196,250,445,0.53140444374971,6.08084305439569,3.15303045479949,0.00734366218076317,0.999443692911613,-4.00233878891926
"24","GB43515",23,14,25,5,45,28,190,28,68,49,52,24,-1.6260902476964,2.33617564307997,-2.62518078574893,0.020488317719468,0.999443692911613,-4.38265814475825
"25","GB43586",77,40,107,96,102,89,426,184,62,99,62,100,-0.822124086299257,3.94076324824285,-2.63857160460403,0.0199670853661207,0.999443692911613,-4.22475742791586
"26","GB43711",45,42,51,34,23,39,119,101,28,45,53,77,-0.994179211052462,2.93176449333833,-3.84532143516923,0.00190590367240801,0.999443692911613,-4.14268491496111
"27","GB43738",672,406,377,587,584,315,2594,1000,487,337,380,721,-0.726241679557971,6.47502557286792,-3.1140276978815,0.00792546812145919,0.999443692911613,-4.04949287926601
"28","GB43876",82,65,101,91,101,30,263,173,89,49,70,113,-0.798376688080692,3.78522437132935,-2.97257558606471,0.010446666688665,0.999443692911613,-4.16687599299099
"29","GB44090",87,75,79,166,69,111,249,221,66,123,94,149,-0.766666353676714,4.12764881618807,-3.42467538210384,0.00431791831272471,0.999443692911613,-4.01021665259277
"30","GB44117",58,40,85,73,49,37,316,184,49,44,37,75,-0.941451947473421,3.39815683815201,-2.62567770430856,0.0204687417067278,0.999443692911613,-4.28788666339973
"31","GB44204",89,56,145,52,37,160,398,147,68,110,128,146,-1.15264401324205,4.03115015589854,-2.97716225045984,0.0103536359972095,0.999443692911613,-4.13774845564072
"32","GB44225",396,288,883,1309,648,719,564,420,182,174,299,399,0.796241123889923,6.09562594913902,2.91030788665996,0.0117943982551259,0.999443692911613,-4.0791743406522
"33","GB44263",12,20,10,15,12,40,59,21,16,23,22,77,-1.17352682443888,1.80881550829754,-3.02207630012606,0.00948488571084621,0.999443692911613,-4.3679115111518
"34","GB44657",28,35,34,26,34,40,80,69,17,31,27,87,-0.716829281432734,2.56188026750135,-2.74631125970498,0.0162173325862611,0.999443692911613,-4.34298511941307
"35","GB45159",92,77,64,71,98,144,272,110,64,114,74,184,-0.708633314308643,3.99473237481253,-2.92476141631102,0.0114670310322729,0.999443692911613,-4.14668980533267
"36","GB45403",16,8,11,12,11,17,42,27,10,11,17,45,-1.07128917989718,1.36516189614891,-4.0928981563611,0.00118413382517967,0.999443692911613,-4.30628277119906
"37","GB45478",56,39,38,68,69,55,43,38,28,14,24,39,0.660537105396443,2.61727849167935,3.39173740211842,0.00460488954429157,0.999443692911613,-4.24745751931544
"38","GB45612",64,30,59,50,37,79,204,92,39,74,50,80,-0.875004408969464,3.28685221637437,-3.1717914850071,0.007079162473998,0.999443692911613,-4.19637921311738
"39","GB45618",5,3,5,9,3,24,28,14,6,11,14,22,-1.39597462995905,0.612252683549908,-3.27341346871519,0.00580330707414174,0.999443692911613,-4.42127770970899
"40","GB45655",24,19,62,25,18,67,143,70,19,37,31,81,-1.06363885441541,2.63794940892975,-2.70925739758876,0.0174221732312265,0.999443692911613,-4.34321655495311
"41","GB46054",74,57,289,135,98,175,550,357,88,128,87,323,-1.0172920197653,4.57801520646209,-2.66168116102381,0.019097679123453,0.999443692911613,-4.1530452662712
"42","GB46226",1577,1012,1287,1905,2065,1054,2918,2673,903,1609,1450,1669,-0.513560018465455,7.92908439421134,-2.67268376439593,0.0186967863947156,0.999443692911613,-4.29688959536261
"43","GB46461",15,8,14,29,14,9,9,13,2,5,5,11,0.822091207198972,0.611789583102204,2.63921272435588,0.019942455524113,0.999443692911613,-4.46718498194429
"44","GB46616",7,10,16,14,13,15,37,15,9,17,14,27,-0.785340298880819,1.23302901450415,-2.79203649437743,0.0148423514760044,0.999443692911613,-4.42648339306621
"45","GB46626",18,13,33,19,28,31,112,55,12,33,19,46,-0.98138548704759,2.16290172260414,-2.91043276828535,0.0117915306462696,0.999443692911613,-4.3531766118474
"46","GB46712",24,21,26,25,29,43,88,36,16,27,23,70,-0.692177070450714,2.30252883959898,-2.63659631596434,0.0200431556079552,0.999443692911613,-4.37862079075566
"47","GB46742",98,75,73,161,124,87,113,59,35,57,58,82,0.462883154729846,3.62051147048266,2.6951201210212,0.0179045016965687,0.999443692911613,-4.24611721186962
"48","GB46781",8,12,8,12,8,8,38,13,10,8,8,14,-0.722526919983754,0.814214739709902,-2.6254149417929,0.0204790909254441,0.999443692911613,-4.46125371444645
"49","GB46926",29,37,33,55,57,44,74,65,33,58,40,71,-0.574875978126871,2.88900600324857,-2.68479181448297,0.0182650751114585,0.999443692911613,-4.32474059693194
"50","GB47036",65,41,52,57,58,78,198,132,24,58,41,123,-0.720286477273897,3.35921861932469,-2.63707938279303,0.0200245263054593,0.999443692911613,-4.28831708128438
"51","GB47770",20,16,26,22,18,20,37,35,17,16,19,38,-0.540031927975791,1.83160597830668,-2.65849315085065,0.01921539111742,0.999443692911613,-4.40634417594921
"52","GB47928",112,144,156,240,209,69,28,31,32,58,81,119,1.45437022222135,3.72141489433618,3.33088453932498,0.00518647827356932,0.999443692911613,-4.11179649259276
"53","GB47995",10,7,20,22,10,9,46,27,16,8,10,25,-0.874879130355764,1.24934094118765,-2.86362622536278,0.0129158894275981,0.999443692911613,-4.4189083161542
"54","GB48129",24,28,19,36,35,51,113,60,24,45,47,52,-0.965476178236661,2.6331005505241,-3.70846806232229,0.00248431725245527,0.999443692911613,-4.20266247985583
"55","GB48148",2267,1711,1928,1426,1780,1994,5154,3108,1900,2450,3261,2953,-0.930909501216414,8.50080218168744,-4.11968664318231,0.00112504923804829,0.999443692911613,-4.12304777609235
"56","GB48411",104,60,77,149,101,76,90,52,36,46,62,71,0.507947969261027,3.48365979946551,2.81703216306367,0.0141396728141435,0.999443692911613,-4.23710362294618
"57","GB48505",1347,800,1268,812,852,1485,1900,2094,867,1327,1895,1523,-0.765317230822114,7.62463907976796,-2.70945773131703,0.0174154301775475,0.999443692911613,-4.26768065946921
"58","GB48813",52,25,49,37,34,43,94,70,29,55,51,62,-0.739812756635203,2.87613055130998,-3.33543186916083,0.00514057576070649,0.999443692911613,-4.22205935118053
"59","GB49219",341,117,33,553,91,86,54,63,1,2,1,144,2.98491591162655,2.62757318809144,2.966436938006,0.0105724704522242,0.999443692911613,-4.34132803334653
"60","GB49287",67,22,29,51,51,43,90,120,34,48,61,68,-0.820851650641877,3.00959086601986,-3.32409529771436,0.00525577817021834,0.999443692911613,-4.20741679800481
