"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40064",193,332,97,384,180,162,149,183,188,177,176,171,0.587707638774799,4.64082018553412,2.41077226543523,0.0313573594816631,0.987379858721844,-4.1227174855125
"2","GB40077",2054,3490,1356,3855,2541,1795,1091,3511,2326,1123,1459,3347,0.662577031508313,8.13703520083568,2.49828772238445,0.0265937112900063,0.987379858721844,-4.26339282527077
"3","GB40119",292,359,191,341,337,325,180,397,337,229,206,317,0.514186204015499,5.23495911041124,4.50027772330155,0.000589568275831482,0.987379858721844,-3.38908623617214
"4","GB40218",1180,754,578,1842,964,445,183,809,896,292,314,1197,1.19005059625076,6.43563339055168,2.95505497565161,0.0111104356575367,0.987379858721844,-3.98959317425586
"5","GB40282",64,80,42,81,118,107,120,262,242,158,130,146,-0.771157623743162,3.93015858321666,-4.03530300943594,0.00140097892233111,0.987379858721844,-3.76291555716519
"6","GB40431",60,50,27,121,55,78,12,90,40,32,43,48,0.922260385927111,2.66198814103513,2.89207330573747,0.0125420818143425,0.987379858721844,-4.24037326418487
"7","GB40522",4,6,1,15,11,7,7,42,28,16,17,12,-1.22238609073681,0.485789905296846,-2.76418021259669,0.0160319129139983,0.987379858721844,-4.43453695438649
"8","GB40611",13,14,7,17,8,9,5,7,13,7,7,11,0.751229559865639,0.372148603119822,2.73815788083392,0.0168508333810073,0.987379858721844,-4.4431211603524
"9","GB41002",6,14,1,11,8,5,11,31,19,10,12,20,-1.01016454635031,0.451383937895108,-2.77114527968357,0.0158194228993468,0.987379858721844,-4.43571489449968
"10","GB41588",175,146,104,144,129,123,109,177,133,96,104,179,0.386877526064146,4.13459639388737,2.66952300248174,0.0192120581480426,0.987379858721844,-4.08265364264628
"11","GB41670",742,300,171,999,644,789,334,645,497,201,228,430,0.86098828039355,5.83778917042644,2.54068554113404,0.0245443354297922,0.987379858721844,-4.07722475704402
"12","GB41732",776,839,429,820,572,550,313,902,698,456,481,1036,0.480169724422863,6.36260162655537,2.55605913297056,0.0238396081972912,0.987379858721844,-4.11085193290456
"13","GB41839",28,30,15,27,51,29,29,83,51,67,48,62,-0.588676959028724,2.39054045452662,-2.99043733615586,0.0103784076885978,0.987379858721844,-4.25703056642569
"14","GB41909",96,80,33,56,106,83,67,143,155,126,109,148,-0.406371956586073,3.62045391159375,-2.63450599189774,0.0205380987020284,0.987379858721844,-4.17418716206969
"15","GB42071",101,88,52,93,116,100,99,191,165,111,126,152,-0.281893611442293,3.87976572551766,-2.5426410892874,0.0244535871551318,0.987379858721844,-4.1641054719884
"16","GB42276",54,117,37,53,40,41,22,31,19,20,9,70,1.45104210205313,2.23768670006991,3.78469541089193,0.00225307714816384,0.987379858721844,-4.16080142470776
"17","GB42364",31,34,17,35,37,34,31,80,62,55,46,67,-0.506341485606309,2.45077891116695,-3.54721751661656,0.00354915645313988,0.987379858721844,-4.1580219280017
"18","GB42481",38,34,21,27,48,44,49,83,69,55,40,63,-0.42410991008058,2.57802768244612,-2.56245260085324,0.0235523298388297,0.987379858721844,-4.31366572839278
"19","GB42632",70,52,32,107,55,49,37,69,64,30,34,43,0.694949346376195,2.74267668643009,2.85875288103685,0.0133716837238646,0.987379858721844,-4.23575618105664
"20","GB42678",36,35,24,23,36,29,12,26,28,36,21,33,0.599355757208138,1.8742484211815,2.86205575835792,0.0132870909049747,0.987379858721844,-4.32724693084631
"21","GB43106",11,29,10,30,28,30,21,77,54,37,40,49,-0.718280040448623,2.0153569854098,-2.62738746033178,0.020818358320804,0.987379858721844,-4.35419174612063
"22","GB43214",350,482,213,294,300,269,183,449,296,195,249,381,0.491588561756136,5.2774328587233,3.14617897811201,0.00768579039899351,0.987379858721844,-3.81938354184367
"23","GB43546",36,54,17,55,85,56,40,127,125,85,87,107,-0.628757282478948,3.08879505195593,-2.69093481819716,0.0184427354803687,0.987379858721844,-4.23235663418965
"24","GB44092",25,33,8,13,14,12,25,46,34,45,27,28,-0.694211507746026,1.6289710789756,-2.65618480509643,0.019707019331576,0.987379858721844,-4.37997282419784
"25","GB44263",12,21,16,10,28,30,20,59,65,40,30,31,-0.743840095310889,1.81890981508072,-2.43846098504736,0.0297679901391372,0.987379858721844,-4.39764057556922
"26","GB44310",14,12,4,11,15,16,11,24,20,29,25,30,-0.598045223179105,1.09986183458746,-2.51953343371123,0.0255469376038533,0.987379858721844,-4.43005823955628
"27","GB44351",7,9,2,7,7,7,5,20,13,16,12,13,-0.650925513866481,0.269602069724716,-2.53917703720849,0.0246145606867587,0.987379858721844,-4.46408877409267
