"1","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6"
"2","NP.1","NP.2","NP.4","NR.3","NR.4","NR.6","NP.3","NP.5","NP.6","NR.1","NR.2","NR.5"
"3","NP.1","NP.2","NP.5","NR.2","NR.4","NR.6","NP.3","NP.4","NP.6","NR.1","NR.3","NR.5"
"4","NP.1","NP.2","NP.3","NP.4","NR.1","NR.2","NP.5","NP.6","NR.3","NR.4","NR.5","NR.6"
"5","NP.1","NP.2","NR.2","NR.3","NR.4","NR.6","NP.3","NP.4","NP.5","NP.6","NR.1","NR.5"
"6","NP.1","NP.2","NP.4","NP.6","NR.2","NR.3","NP.3","NP.5","NR.1","NR.4","NR.5","NR.6"
"7","NP.1","NP.2","NP.5","NR.1","NR.2","NR.6","NP.3","NP.4","NP.6","NR.3","NR.4","NR.5"
"8","NP.1","NP.3","NP.4","NP.5","NR.1","NR.4","NP.2","NP.6","NR.2","NR.3","NR.5","NR.6"
"9","NP.1","NP.4","NP.6","NR.3","NR.4","NR.6","NP.2","NP.3","NP.5","NR.1","NR.2","NR.5"
"10","NP.1","NP.3","NP.5","NP.6","NR.2","NR.4","NP.2","NP.4","NR.1","NR.3","NR.5","NR.6"
"11","NP.1","NP.5","NR.1","NR.4","NR.5","NR.6","NP.2","NP.3","NP.4","NP.6","NR.2","NR.3"
"12","NP.1","NP.3","NP.4","NR.4","NR.5","NR.6","NP.2","NP.5","NP.6","NR.1","NR.2","NR.3"
"13","NP.1","NP.5","NP.6","NR.3","NR.4","NR.6","NP.2","NP.3","NP.4","NR.1","NR.2","NR.5"
"14","NP.1","NP.2","NP.4","NP.5","NP.6","NR.6","NP.3","NR.1","NR.2","NR.3","NR.4","NR.5"
"15","NP.1","NP.2","NP.6","NR.1","NR.3","NR.6","NP.3","NP.4","NP.5","NR.2","NR.4","NR.5"
"16","NP.1","NP.5","NP.6","NR.2","NR.3","NR.4","NP.2","NP.3","NP.4","NR.1","NR.5","NR.6"
"17","NP.1","NP.2","NP.6","NR.2","NR.3","NR.5","NP.3","NP.4","NP.5","NR.1","NR.4","NR.6"
"18","NP.1","NP.4","NP.5","NR.1","NR.2","NR.6","NP.2","NP.3","NP.6","NR.3","NR.4","NR.5"
"19","NP.1","NP.5","NP.6","NR.1","NR.3","NR.6","NP.2","NP.3","NP.4","NR.2","NR.4","NR.5"
"20","NP.1","NP.3","NP.6","NR.3","NR.5","NR.6","NP.2","NP.4","NP.5","NR.1","NR.2","NR.4"
