"","ID","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40072",199,137,428,448,275,629,411,798,368,571,545,723,-0.513084361632281,5.95230320262266,-3.41519628783113,0.00437454489371362,0.809508246277578,-3.94402229584051
"2","GB40206",52,39,119,104,92,170,71,84,62,72,97,93,0.439914512464901,3.6299697708615,3.51472118351483,0.00360075781920547,0.809508246277578,-4.02340093862595
"3","GB40273",79,32,133,83,122,180,73,78,64,47,96,123,0.566567146246564,3.66300424318475,3.01345927774585,0.00960708356305061,0.809508246277578,-4.13127467373196
"4","GB40468",13,10,14,9,18,21,3,11,9,9,6,11,1.01624031893225,0.672275988880182,2.94171576823064,0.011052589078224,0.809508246277578,-4.42692639070644
"5","GB40563",123,89,432,469,185,645,434,524,391,623,517,690,-0.737555352530082,5.76691785896915,-3.34495182308541,0.00501954804874162,0.809508246277578,-3.95191581020317
"6","GB40619",4756,2357,8897,10633,2285,11636,17308,9897,15624,12097,11848,13088,-0.967373229429079,10.3134187133628,-2.93485906378963,0.0112015050557264,0.809508246277578,-4.36619540804637
"7","GB40969",88,79,263,312,60,314,426,446,399,382,462,444,-1.20998712480108,5.23858177545056,-4.29472908612497,0.000799140261148401,0.809508246277578,-3.71554822454341
"8","GB41289",23,21,192,128,180,514,343,384,229,472,360,628,-1.40384040702502,4.8944110951182,-3.41633485956767,0.00436480722621347,0.809508246277578,-3.95142683823495
"9","GB41428",6510,3887,17605,95996,40014,17425,44166,64180,144379,37315,132138,110934,-1.87911003220062,12.4375843993931,-3.13963016950009,0.00750506479297521,0.809508246277578,-4.41769929275387
"10","GB41753",23,18,63,40,53,83,30,36,42,22,34,43,0.599828989731915,2.49322740007447,3.08353881670073,0.00837626972167771,0.809508246277578,-4.26958355527959
"11","GB41754",450,228,905,387,530,789,414,356,272,344,494,670,0.619662688320478,6.07551229127067,3.1114286923222,0.00793119352895374,0.809508246277578,-4.02280923186593
"12","GB41877",144,88,297,243,206,525,315,386,275,310,370,455,-0.38243762330785,5.35726020446398,-3.25845016842267,0.00594648397102509,0.809508246277578,-3.93828295721915
"13","GB41878",135,97,316,268,256,531,340,385,277,405,391,605,-0.443588709996582,5.49046822529504,-3.21028179383212,0.00653502715643191,0.809508246277578,-3.96059424378755
"14","GB41912",472,92,1914,139,317,837,163,117,61,199,231,352,1.50755456977291,5.22662176465709,2.8864566237317,0.0123104934587009,0.809508246277578,-4.05919384119758
"15","GB42066",194,146,320,273,270,429,199,273,240,169,281,318,0.394574396915646,5.22287364896339,3.00394646712722,0.00978742192799338,0.809508246277578,-4.00019931197966
"16","GB42194",9,12,19,18,33,21,4,16,19,2,6,10,1.38168120601029,0.826758878488122,3.06086791156306,0.00875627458512276,0.809508246277578,-4.40945570145107
"17","GB42246",48,77,127,73,67,128,54,46,72,38,61,81,0.75258250395349,3.36045761125702,3.09627137790494,0.00817008039254045,0.809508246277578,-4.1586713176019
"18","GB42276",46,33,53,23,37,51,9,19,19,15,14,34,1.3385593646585,1.97364695869185,3.82454312792638,0.00196983130498136,0.809508246277578,-4.2387811756168
"19","GB42321",61,53,136,102,81,187,120,174,137,165,141,186,-0.397095985601462,4.16708652050365,-2.87710923554301,0.0125367905692491,0.809508246277578,-4.10031602819267
"20","GB42381",165,100,362,393,185,682,380,542,363,430,502,622,-0.547298514884544,5.69894051829295,-3.44199266172555,0.00415106083681265,0.809508246277578,-3.91435677925232
"21","GB42514",33,30,96,28,18,137,25,8,24,9,18,9,1.98177500187905,1.91187732557212,4.03567276585925,0.00131058021859412,0.809508246277578,-4.22962856404977
"22","GB42632",48,20,96,62,39,96,27,61,25,9,71,32,1.05883610719633,2.61384307598202,3.01519368575001,0.00957456011270956,0.809508246277578,-4.26959352227455
"23","GB42728",189,45,229,253,134,272,160,97,92,136,133,131,0.753669153118162,4.4040696498178,3.17517477457992,0.00700031573371509,0.809508246277578,-3.99404409054845
"24","GB43035",31,18,70,58,51,60,37,50,35,23,33,35,0.633909780187859,2.56141019278993,2.992276226591,0.0100132419299907,0.809508246277578,-4.27670572856742
"25","GB43149",25,12,56,56,21,78,50,70,52,49,76,101,-0.554045857401954,2.82244336887186,-2.88077128140167,0.0124476501405245,0.809508246277578,-4.26897976199806
"26","GB43358",377,146,347,305,641,567,265,283,226,145,318,401,0.801773584823338,5.51874145794372,3.19051407837305,0.00679308348255852,0.809508246277578,-3.95614115455924
"27","GB43369",79,29,95,63,142,154,62,58,54,21,54,97,0.900931978100014,3.31014500934829,3.01862332833997,0.00951056846517228,0.809508246277578,-4.18301314022896
"28","GB43453",102,52,84,116,93,173,95,71,72,46,48,60,0.895426499653465,3.56227736579088,3.54158822384924,0.00341662050721804,0.809508246277578,-4.03748035867899
"29","GB43901",123,109,220,153,219,346,137,146,146,97,190,225,0.526274777668448,4.63359516908823,3.01695245711343,0.00954169115834476,0.809508246277578,-4.01545126706266
"30","GB44006",45,17,75,37,54,56,19,28,15,10,79,25,1.11383759517219,2.27254044759359,2.97809948764865,0.0102945061654607,0.809508246277578,-4.3105167982456
"31","GB44043",1,15,7,30,1,11,14,33,22,24,52,40,-1.80648444430742,1.0581455484297,-3.04612301847119,0.00901255871273115,0.809508246277578,-4.39845535324739
"32","GB44219",9,11,74,88,191,387,257,229,174,293,225,381,-1.47455436123409,4.22106875921201,-2.94912858720321,0.0108937928371237,0.809508246277578,-4.12202782746059
"33","GB44304",63,57,142,167,104,236,168,211,170,199,169,275,-0.469960725679615,4.48198448685898,-3.48389570626731,0.00382440370645345,0.809508246277578,-3.90254726166431
"34","GB44331",239,402,440,297,405,521,171,282,308,94,328,331,1.02917613936056,5.45853455944913,3.10848101376651,0.00797709994257879,0.809508246277578,-3.98123472569207
"35","GB44504",0,1,10,6,19,28,27,20,25,31,17,31,-1.74993890168766,0.818241544353741,-3.02497360022757,0.00939319898972466,0.809508246277578,-4.41206291280808
"36","GB44505",14,9,111,94,172,349,222,224,177,282,229,346,-1.28985924516025,4.24811967342599,-2.93518931445833,0.0111942874063271,0.809508246277578,-4.11420997470795
"37","GB44585",797,452,1956,2209,879,3035,2380,1926,2645,1934,2416,3510,-0.668004744142916,8.03439103769043,-3.1667927888034,0.00711620718145417,0.809508246277578,-4.20510665576438
"38","GB44792",116,67,269,281,152,479,289,375,277,250,400,436,-0.493634637336177,5.22237409612487,-3.34418484829201,0.005027094066781,0.809508246277578,-3.9131565685366
"39","GB44996",118,217,524,121,129,169,65,52,77,50,195,56,1.58180873909684,4.10634091309252,3.33069123929163,0.00516173104762337,0.809508246277578,-4.02543758546014
"40","GB45336",88,107,222,107,96,128,68,71,64,52,111,81,0.926812160814207,3.80170377850626,3.32832273942116,0.005185734105118,0.809508246277578,-4.04626099028437
"41","GB45406",43,29,84,65,102,211,120,134,107,162,163,249,-0.69487619366488,3.97370607969172,-3.29809791109684,0.00550205177805563,0.809508246277578,-4.02349706375712
"42","GB45609",175,128,347,1031,160,1167,774,917,830,873,960,1024,-1.14523376738231,6.36426868319242,-3.23935971018176,0.00617312028444237,0.809508246277578,-4.04615650674161
"43","GB45642",16,9,25,12,19,21,8,8,12,1,12,12,1.31873766580653,0.761619468681372,3.02313479978898,0.00942703639417826,0.809508246277578,-4.41614895191908
"44","GB45645",665,403,1303,671,601,1079,445,410,612,138,865,508,1.09604677936942,6.40089463094434,3.10026453471567,0.00810646083469622,0.809508246277578,-4.0619143234269
"45","GB45819",103,64,166,142,183,268,90,111,139,90,171,159,0.490086821208778,4.30160185993717,2.96006292382415,0.0106636627482607,0.809508246277578,-4.06149207866693
"46","GB46515",3,2,22,5,11,7,22,12,27,16,13,28,-1.19041624074141,0.765663971034254,-2.96337037099926,0.0105950030726233,0.809508246277578,-4.41923436660802
"47","GB46554",6,2,7,10,1,21,14,30,24,17,15,16,-1.31908825464626,0.665984286987734,-3.09541145827225,0.00818384557063213,0.809508246277578,-4.41241515565009
"48","GB46596",13,10,37,29,77,73,38,90,85,71,111,84,-0.946552466110007,2.86735881367277,-3.04516585081798,0.00902945030633521,0.809508246277578,-4.23872096576762
"49","GB46612",13,11,158,95,159,287,202,216,193,197,312,329,-1.22475082026522,4.2558751463146,-2.99297806966858,0.00999951669483104,0.809508246277578,-4.09470841415349
