"","ID","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40158",11,15,30,20,85,67,38,64,106,81,178,151,-0.985976007097197,2.73004041933645,-2.88157726650379,0.0123872586763927,0.510678294782927,-4.31841737202428
"2","GB40285",0,2,28,4,57,46,81,75,85,33,135,83,-2.21067126814125,1.72180694988943,-2.92103813132305,0.0114685342441089,0.510678294782927,-4.39716222643294
"3","GB40355",72,50,157,124,168,133,77,107,124,157,147,127,0.451550940736963,3.87103720965977,2.9212919099413,0.0114628486205079,0.510678294782927,-4.18326144671308
"4","GB40618",2231,6287,26234,3632,3546,934,1117,1370,790,5868,2319,858,2.14247230773802,8.32840034349752,3.05808695124796,0.00877035880394219,0.510678294782927,-4.29040467538358
"5","GB40647",11,2,14,19,36,95,27,50,52,169,178,123,-1.51699180955445,2.26321631816177,-3.33073858817028,0.00513681984277733,0.510678294782927,-4.30660137158651
"6","GB41419",38,30,90,54,84,50,52,39,46,70,39,36,0.828374660582626,2.67752918657981,2.87562799525073,0.0125319118701697,0.510678294782927,-4.31564719984673
"7","GB41633",9552,10212,26923,9265,10200,4330,6194,5046,5330,12375,6137,4622,1.39892826974419,9.98974692570994,2.99102147211935,0.0100015161184346,0.510678294782927,-4.37114590892462
"8","GB41675",29,14,52,52,67,83,45,76,79,141,164,119,-0.530204903832409,3.04421106045573,-3.05281146453558,0.00886150230308859,0.510678294782927,-4.25570025972906
"9","GB41700",15,5,30,49,102,130,78,80,145,202,223,187,-1.24786841198947,3.16029502919948,-3.56705664384099,0.00323269937491154,0.510678294782927,-4.17922438145423
"10","GB41741",108,386,496,178,216,130,120,134,69,210,131,116,1.36572146620655,4.39307275342876,2.91875247679939,0.0115198671612061,0.510678294782927,-4.15276387839714
"11","GB41921",30,24,59,50,85,50,89,109,88,161,115,118,-0.671239384512973,3.1993329125609,-3.38311507369718,0.00463518234046684,0.510678294782927,-4.18572489541355
"12","GB42234",261,526,1520,448,605,355,316,249,297,766,519,330,1.12953729899476,5.83655295508056,2.95691988426918,0.0106916256026348,0.510678294782927,-4.13815867346892
"13","GB42425",32,24,147,72,400,97,134,480,211,274,1003,556,-1.3712379668903,4.46550034042707,-3.03593858081212,0.00915936442195438,0.510678294782927,-4.15796190710553
"14","GB42683",5,2,19,15,32,38,26,28,29,64,61,49,-0.890561555970969,1.56266899906897,-3.02949008445008,0.0092758044229373,0.510678294782927,-4.38634929391542
"15","GB42702",8,3,18,18,20,16,11,7,9,15,13,10,0.809374124279777,0.575901284364936,3.04188288417013,0.00905331225270511,0.510678294782927,-4.43470953079723
"16","GB42920",104,135,320,161,152,155,97,123,97,209,147,95,0.948162440527105,4.17114275298293,3.21510698987931,0.0064454501158293,0.510678294782927,-4.09290847148029
