"","ID","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB43541",24,12,18,56,65,65,18,21,19,18,18,19,1.14281385761688,1.85917809135822,6.10800061061261,3.32536186369153e-05,0.317206268177535,0.596342558994768
"2","GB44961",19,12,24,59,100,62,12,26,11,31,16,16,1.39139314890052,1.86222434970743,5.57181984371655,8.19963129232147e-05,0.391081414487273,0.138745745333264
"3","GB40095",128,153,127,452,430,326,116,122,143,175,177,314,0.781332381835818,4.80866404301845,3.70406321784814,0.00254017458141315,0.477015358743173,-1.38771511107274
"4","GB40348",215,151,253,569,705,645,231,280,311,412,319,342,0.495606202688945,5.57985394299794,3.59388213313893,0.00314404806827397,0.477015358743173,-1.56297602903328
"5","GB40521",34,21,36,92,90,91,42,26,42,38,39,60,0.689539982627375,2.7197781042671,3.50994910460336,0.00370018034039665,0.477015358743173,-1.86693807499409
"6","GB40671",17,7,26,50,76,81,13,28,17,21,11,32,1.11164160693579,1.83727833715243,4.00119453802024,0.00143482311583875,0.477015358743173,-1.46567456157936
"7","GB40916",14,12,17,42,50,53,9,12,11,26,12,26,1.1193998470701,1.52374131727421,4.73152500100472,0.00036512766241245,0.477015358743173,-0.81270637139524
"8","GB41115",20,7,12,57,65,53,12,7,21,22,13,29,1.14253919447731,1.5803947882334,3.50943298428077,0.00370389139271319,0.477015358743173,-2.1127977393505
"9","GB41246",13,16,13,43,119,60,8,10,5,35,15,19,1.63151604609013,1.53958863651549,4.14074995669157,0.00109993023037478,0.477015358743173,-1.42606410853596
"10","GB41525",206,90,176,351,473,343,390,487,357,404,385,467,-0.481716732972489,5.49095346105615,-3.87548941841359,0.00182556849159591,0.477015358743173,-1.12470653290283
"11","GB41569",193,112,173,293,573,359,365,486,360,558,409,519,-0.545302271442851,5.56559438854033,-4.44536252998611,0.000619881028094038,0.477015358743173,-0.26351602635806
"12","GB41659",402,239,367,1055,1337,1150,449,451,480,680,514,731,0.471123005685763,6.37303456537423,3.40291773607382,0.00455606590426906,0.477015358743173,-1.88491033676252
"13","GB41861",57,30,84,288,374,276,79,50,94,102,51,136,1.08675760308766,3.86093583199753,3.57713311999215,0.00324783051336307,0.477015358743173,-1.63182002912956
"14","GB41915",312,122,183,430,605,522,519,586,453,556,592,634,-0.517979928047803,5.89809178082173,-3.46884896747187,0.00400778730565889,0.477015358743173,-1.77207947985769
"15","GB42219",2,3,4,26,8,38,13,31,30,51,40,37,-1.57591172380938,1.21909294005516,-3.44300520838306,0.00421430033680199,0.477015358743173,-2.27743318090216
"16","GB42326",1025,522,595,2204,1846,1457,545,609,582,774,967,1184,0.891411771155997,7.02495395164539,4.45500300987036,0.000608831167655128,0.477015358743173,-0.379978418783448
"17","GB42367",90,62,81,178,256,183,201,256,167,270,192,242,-0.517972076858836,4.56514683219964,-4.47027794711477,0.000591737758763086,0.477015358743173,-0.22418737531282
"18","GB42728",189,45,149,455,638,369,160,97,92,229,80,242,1.05740866208389,4.65558698518218,3.45650472289428,0.00410512314836003,0.477015358743173,-1.78529187345717
"19","GB42729",18,13,13,41,40,27,14,9,17,11,10,25,0.9901254986763,1.36405310050098,3.73623032826286,0.0023871438102228,0.477015358743173,-1.91134227738269
"20","GB42762",51,46,91,193,269,271,66,75,100,103,80,118,0.795959729414897,3.89033734798085,4.05447705127684,0.0012960909131836,0.477015358743173,-0.906787285221625
"21","GB42784",13,10,14,47,58,51,14,7,17,22,5,16,1.4165171233163,1.36261697159584,4.38642564546737,0.000692088659124706,0.477015358743173,-1.23162739754986
"22","GB43222",97,113,147,350,536,448,95,153,144,232,213,215,0.721771153553934,4.80524626146366,3.47467019713636,0.00396269740965194,0.477015358743173,-1.75246907867497
"23","GB43635",113,63,97,233,397,315,261,322,218,344,321,371,-0.548082429537231,4.99878153094015,-4.27414663447273,0.000854633859521479,0.477015358743173,-0.507503416363169
"24","GB43731",3942,1637,2946,6610,9859,7077,8143,9307,6229,8108,8878,11446,-0.622549219345585,9.79899510161832,-3.66973780329138,0.00271449326422526,0.477015358743173,-1.76992936600196
"25","GB43814",22,16,28,81,72,77,15,32,29,31,36,41,0.785265414592822,2.32540945065445,3.69230468208126,0.00259857099413137,0.477015358743173,-1.70444278071676
"26","GB44011",64,26,33,97,119,114,34,45,31,55,51,79,0.745779624216665,2.98914163512852,4.02056679476848,0.00138270422654398,0.477015358743173,-1.11480757008211
"27","GB44072",123,61,101,208,255,284,62,119,107,90,111,186,0.782552236144821,4.1831558785221,4.42783491884921,0.000640504536995059,0.477015358743173,-0.324148965255267
"28","GB44090",91,22,74,191,424,258,43,31,78,140,64,107,1.24031899219364,3.70749310719324,3.41112236445079,0.00448391575158378,0.477015358743173,-1.89824373218511
"29","GB44159",156,556,436,777,996,919,187,257,367,206,314,484,1.26003785642252,5.82549429292005,3.61180208825524,0.00303672509410501,0.477015358743173,-1.5411426248058
"30","GB44197",15,22,18,51,55,67,11,16,30,10,25,30,1.08571341870758,1.83642264334978,3.48531091269047,0.00388159574670102,0.477015358743173,-2.08209142181467
"31","GB44520",1631,831,1509,3530,4397,3709,3796,4366,3185,4480,3615,5318,-0.589747119755677,8.74603792663478,-4.2627860855214,0.000873136974957585,0.477015358743173,-0.882071244208699
"32","GB44583",67,75,60,174,266,166,64,99,85,118,76,136,0.580016188298486,3.89606607958586,3.57930512035844,0.00323417870545953,0.477015358743173,-1.62050287114567
"33","GB44584",81,107,148,227,297,227,89,108,107,119,131,206,0.688894889168744,4.34503654357964,3.7180167344003,0.00247260405480071,0.477015358743173,-1.38020365901809
"34","GB44661",146,190,153,450,486,461,115,160,142,229,161,384,0.869060128149203,5.0041337984302,4.02259877365071,0.00137735092780448,0.477015358743173,-0.885781429515647
"35","GB45029",192,140,258,420,733,427,161,69,321,195,165,261,1.12966721370553,5.06971719324192,3.56147663773272,0.00334797841137302,0.477015358743173,-1.6133340435228
"36","GB45070",7,18,22,30,37,32,6,7,14,13,17,11,1.23726894259722,1.16606901038943,3.60724587488135,0.00306365536769022,0.477015358743173,-2.11460110096479
"37","GB45150",84,114,122,223,223,220,50,91,103,91,110,132,0.973322431645669,4.09334422657861,4.48117429832704,0.000579847673139561,0.477015358743173,-0.267504901150676
"38","GB45267",263,119,229,651,886,560,605,731,548,767,569,656,-0.538507915072684,6.1114149736979,-3.58075241139809,0.0032251142246403,0.477015358743173,-1.60266522574296
"39","GB46188",132,104,117,228,200,236,110,133,126,108,71,164,0.739029084774998,4.28729596947137,3.54747372282973,0.00344019437382066,0.477015358743173,-1.65003951817055
"40","GB46274",416,350,479,1069,1077,1248,440,520,577,637,556,960,0.507637185354451,6.51143814205977,3.42311909992982,0.00438048433874084,0.477015358743173,-1.85838763308823
"41","GB46581",260,222,219,492,641,466,166,245,268,297,318,439,0.653961878725137,5.48040924457462,3.67726269102172,0.00267526690922468,0.477015358743173,-1.42891609817058
"42","GB46593",11,9,7,36,38,25,9,7,7,10,14,16,1.06855442801195,0.957790099213096,4.04351274335857,0.00132347056828167,0.477015358743173,-1.72079902366719
"43","GB46760",135,68,119,287,295,219,306,422,223,327,253,299,-0.557314175024086,4.99312566767305,-3.53887353990014,0.00349810007275963,0.477015358743173,-1.65135911850178
"44","GB47037",70,80,58,177,177,173,31,53,72,43,76,127,1.10149672645719,3.5538316207293,4.19001098359737,0.00100186182801429,0.477015358743173,-0.77589319711963
"45","GB47424",14,6,14,44,82,55,13,14,14,22,11,21,1.12966883091118,1.52458883012018,4.20803053195846,0.000968273176334317,0.477015358743173,-1.34324676466457
"46","GB48664",7,2,1,5,38,40,26,43,29,36,33,97,-1.9385146264528,1.3438553215226,-3.87598515462695,0.00182383086129903,0.477015358743173,-1.77524848315377
"47","GB48960",46,52,64,153,136,105,27,61,59,58,72,55,0.903691013592633,3.26113565494093,3.926879157406,0.00165413027226947,0.477015358743173,-1.19312791717969
"48","GB49080",71,65,73,188,126,154,158,243,162,282,150,225,-0.69010569619678,4.35905255820425,-3.46706127609252,0.00402173798133638,0.477015358743173,-1.77362752378687
"49","GB49160",88,50,89,153,202,166,151,183,178,239,172,203,-0.447882860997809,4.37402978702516,-3.47947823681059,0.00392584168613046,0.477015358743173,-1.75229187589881
"50","GB49289",31,32,51,109,151,116,37,76,47,42,53,82,0.650728184446195,3.12260009764336,3.54859028129451,0.00343274793817099,0.477015358743173,-1.74890185284183
"51","GB49309",221,181,239,515,564,419,225,193,308,291,284,342,0.578430756442002,5.40280137122902,3.39791514043634,0.00460063036003479,0.477015358743173,-1.87442343233841
"52","GB49397",582,681,581,1184,977,1339,356,506,507,546,859,798,0.933118242350664,6.63120816674603,3.64830446890796,0.00282945259911572,0.477015358743173,-1.51739727003533
"53","GB49407",24,17,40,67,120,90,21,48,37,47,23,45,0.792241409115483,2.56585770948978,3.702288867489,0.00254890039013056,0.477015358743173,-1.63713845820565
"54","GB49515",54,31,99,181,284,193,63,80,44,137,66,92,0.879984708687815,3.70411161229385,3.85926932580613,0.0018833640717788,0.477015358743173,-1.22068524624907
"55","GB49535",137,199,200,803,776,774,134,206,158,417,238,364,0.940362736100756,5.39598538181057,3.43536711227685,0.00427736531971676,0.477015358743173,-1.81469703558185
"56","GB49790",43,19,42,80,151,143,39,29,37,44,51,79,0.862617597753085,2.92472977354641,3.82273704229311,0.0020204699682496,0.477015358743173,-1.39951200542901
"57","GB49883",75,51,95,208,280,186,89,103,81,142,100,141,0.544620832854112,4.05727906857388,4.25118552635315,0.000892456698542759,0.477015358743173,-0.591592430469921
"58","GB49900",17,9,25,65,156,84,27,13,10,27,19,26,1.48995869576151,1.98557230204213,4.26160059385444,0.000875091412202213,0.477015358743173,-1.12411046924241
"59","GB49960",158,140,174,476,505,451,173,244,212,227,275,293,0.519219941507383,5.17938694643024,3.91108274217715,0.00170500230480024,0.477015358743173,-1.05718912761737
