"1","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6"
"2","NP.1","VP.1","VP.2","VP.3","VP.4","VP.5","NP.2","NP.3","NP.4","NP.5","NP.6","VP.6"
"3","NP.1","NP.6","VP.1","VP.3","VP.4","VP.5","NP.2","NP.3","NP.4","NP.5","VP.2","VP.6"
"4","NP.1","NP.2","NP.6","VP.1","VP.3","VP.5","NP.3","NP.4","NP.5","VP.2","VP.4","VP.6"
"5","NP.1","NP.2","NP.4","NP.6","VP.3","VP.4","NP.3","NP.5","VP.1","VP.2","VP.5","VP.6"
"6","NP.1","NP.4","NP.5","NP.6","VP.2","VP.4","NP.2","NP.3","VP.1","VP.3","VP.5","VP.6"
"7","NP.1","NP.2","NP.5","NP.6","VP.2","VP.3","NP.3","NP.4","VP.1","VP.4","VP.5","VP.6"
"8","NP.1","NP.2","NP.4","NP.5","VP.1","VP.5","NP.3","NP.6","VP.2","VP.3","VP.4","VP.6"
"9","NP.1","NP.2","NP.3","NP.5","VP.1","VP.2","NP.4","NP.6","VP.3","VP.4","VP.5","VP.6"
"10","NP.1","NP.3","NP.5","NP.6","VP.3","VP.5","NP.2","NP.4","VP.1","VP.2","VP.4","VP.6"
"11","NP.1","NP.2","NP.3","NP.6","VP.2","VP.5","NP.4","NP.5","VP.1","VP.3","VP.4","VP.6"
"12","NP.1","NP.2","NP.4","NP.5","VP.1","VP.4","NP.3","NP.6","VP.2","VP.3","VP.5","VP.6"
"13","NP.1","NP.4","VP.2","VP.4","VP.5","VP.6","NP.2","NP.3","NP.5","NP.6","VP.1","VP.3"
"14","NP.1","NP.2","NP.3","NP.5","NP.6","VP.5","NP.4","VP.1","VP.2","VP.3","VP.4","VP.6"
"15","NP.1","NP.3","NP.4","VP.1","VP.3","VP.5","NP.2","NP.5","NP.6","VP.2","VP.4","VP.6"
"16","NP.1","NP.3","NP.4","VP.2","VP.3","VP.6","NP.2","NP.5","NP.6","VP.1","VP.4","VP.5"
"17","NP.1","NP.2","NP.3","NP.4","VP.3","VP.4","NP.5","NP.6","VP.1","VP.2","VP.5","VP.6"
"18","NP.1","NP.6","VP.2","VP.3","VP.4","VP.6","NP.2","NP.3","NP.4","NP.5","VP.1","VP.5"
"19","NP.1","NP.3","NP.4","VP.3","VP.5","VP.6","NP.2","NP.5","NP.6","VP.1","VP.2","VP.4"
"20","NP.1","NP.4","NP.5","VP.1","VP.4","VP.5","NP.2","NP.3","NP.6","VP.2","VP.3","VP.6"
