"","ID","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40203",106,75,109,139,100,290,66,121,51,58,70,139,0.694737251903687,4.11273132882178,2.91631435835648,0.0113024831700671,0.87357990748699,-4.20601436842151
"2","GB40306",245,392,273,278,401,231,177,234,53,90,127,251,1.244939875316,5.13992147552125,2.94607402508209,0.0106570730749598,0.87357990748699,-4.15134948292433
"3","GB40517",33,25,68,80,23,98,99,137,118,55,113,97,-0.987179389943327,3.58731073583984,-5.01364307116568,0.000191427540746133,0.87357990748699,-3.96839284813521
"4","GB40809",16,19,55,63,29,93,99,100,76,34,83,52,-0.755218653238568,3.17838726184342,-3.04556485352788,0.00875212409312854,0.87357990748699,-4.28652707135715
"5","GB41179",4,22,32,23,9,21,26,51,65,33,84,25,-1.3795207560239,2.19556994190118,-2.91264170666896,0.0113847520653719,0.87357990748699,-4.39709531444848
"6","GB41289",23,21,229,192,20,114,343,384,254,145,257,73,-1.5850818742969,4.32090441091306,-3.08367970585693,0.008115169547427,0.87357990748699,-4.18368651368306
"7","GB42049",28,8,72,124,18,140,136,88,182,48,133,146,-1.1694769710327,3.59819157138418,-3.02085850318516,0.0091911787012963,0.87357990748699,-4.25250692946772
"8","GB42276",46,33,19,53,35,105,9,19,10,17,38,24,1.32972786418374,2.27383869933965,3.00762564725764,0.00943522017256666,0.87357990748699,-4.38049498551259
"9","GB42277",11,7,20,32,11,28,35,37,47,23,45,26,-0.973777654543621,2.06268533537499,-3.71719707767937,0.00230889616541545,0.87357990748699,-4.32884698886751
"10","GB42516",41,30,98,147,36,164,147,187,283,91,157,138,-1.05208969249543,4.19683460522674,-4.06675405872495,0.00116166906775172,0.87357990748699,-3.98881575634769
"11","GB42726",159,120,275,287,177,355,252,394,382,189,316,370,-0.477622777227574,5.49037219614518,-3.20686785866323,0.00635484324717393,0.87357990748699,-4.08694304842338
"12","GB42917",42,63,89,77,46,104,86,131,140,72,148,149,-0.796107408319022,3.95645095758301,-3.37553923238107,0.00454533678949123,0.87357990748699,-4.13074306685723
"13","GB42940",273,198,477,773,187,848,609,757,881,361,583,580,-0.647602914675372,6.40143273060445,-2.9523440772145,0.0105257924365341,0.87357990748699,-4.2045494405457
"14","GB43295",5,6,12,14,2,15,13,27,53,15,69,16,-1.6195594912027,1.34831274597567,-3.10433396908365,0.00778942364276105,0.87357990748699,-4.4328379012637
"15","GB44091",2927,3058,4092,4957,2556,5417,1698,1899,1731,865,3155,4563,0.956289102352514,8.90454083697122,3.01922353299527,0.00922098993381443,0.87357990748699,-4.34885143788933
"16","GB44123",112,146,276,196,123,236,244,402,352,225,459,289,-0.871051192677934,5.35876136925214,-3.5049700249413,0.00351520397428914,0.87357990748699,-4.02447994157684
"17","GB44596",13,39,63,44,9,34,64,106,97,69,116,49,-1.46115207326763,3.057663640446,-3.53502221761305,0.00331175449644449,0.87357990748699,-4.24201208384304
"18","GB44697",12,20,35,29,23,31,38,66,56,29,63,36,-0.924441051572457,2.5513118076881,-3.37362355476166,0.00456266840192582,0.87357990748699,-4.31278054395328
"19","GB44860",155,240,197,158,135,160,70,97,42,42,126,143,1.14177917736455,4.3411273846308,3.00196642749479,0.00954153180953931,0.87357990748699,-4.1798757285052
