"","ID","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40112",123,173,200,188,193,177,68,100,121,162,140,199,0.534027695909527,4.44366563791429,3.04585460744934,0.00911364758351821,0.999413870248992,-4.06482574733617
"2","GB40148",604,3411,3643,4178,1843,1154,313,1758,797,1752,906,921,1.1347754216875,7.65718059656291,2.86297257522669,0.0130042550479903,0.999413870248992,-4.26231660112927
"3","GB40411",35,50,46,46,48,47,34,70,88,59,78,99,-0.559387510428589,3.03900084878649,-3.05275949658006,0.00899191255926981,0.999413870248992,-4.24269530144568
"4","GB40478",12,17,18,28,23,28,10,35,46,43,59,33,-0.691851439810672,1.96318802281715,-3.0134663088657,0.00970684523852668,0.999413870248992,-4.35521063349119
"5","GB40508",24,47,34,61,49,45,26,54,74,68,62,91,-0.441949863738051,2.87814718324958,-2.82306658436011,0.0140499408271802,0.999413870248992,-4.29902528329707
"6","GB40764",82,119,119,259,147,145,107,351,146,199,210,448,-0.607225417049093,4.66787751512159,-2.69932226615457,0.0178445035397856,0.999413870248992,-4.15406371986905
"7","GB40783",893,1020,736,1334,1428,1601,1198,2642,1776,1577,1630,2468,-0.700363022366418,7.72118249850142,-2.90466160833009,0.0119936334625552,0.999413870248992,-4.25663564253518
"8","GB40940",14,47,56,282,66,103,3,32,49,44,36,36,1.3480726559436,2.61029791154275,2.78832485992186,0.0150272078905499,0.999413870248992,-4.33439873748089
"9","GB41302",187,211,195,466,269,342,15,228,242,255,198,180,0.786909558710217,4.82953822276617,2.54608172673814,0.0239441646578017,0.999413870248992,-4.19149600168603
"10","GB41326",35,37,25,84,57,22,21,113,172,132,166,86,-1.31867212137125,3.18387964098246,-3.82979223733195,0.00198630988603122,0.999413870248992,-4.10799514609613
"11","GB41346",164,316,316,411,401,292,122,279,257,287,255,367,0.334451826770947,5.34404624032127,2.52040696495166,0.0251464675920874,0.999413870248992,-4.19419347612039
"12","GB41365",8,17,28,23,17,12,17,30,31,27,31,37,-0.701002388286256,1.68936196289414,-2.79557030624428,0.0148180458776223,0.999413870248992,-4.39983298558021
"13","GB41776",55,72,81,117,192,142,36,140,673,309,422,769,-1.38589173392157,4.59312412345957,-3.20178090779117,0.0067253231216114,0.999413870248992,-4.05436916316445
"14","GB41792",23,36,28,62,104,68,30,105,77,97,68,176,-0.747042607985579,3.19296230369964,-2.84099837222079,0.0135702169906471,0.999413870248992,-4.26409533383015
"15","GB42077",208,250,260,581,413,411,57,267,389,273,299,313,0.511605073143243,5.35471283059221,2.82745517707892,0.0139310170858081,0.999413870248992,-4.10781424387468
"16","GB42083",52,78,62,120,96,71,18,62,58,56,71,86,0.537564557687869,3.24753084805376,3.61477246223755,0.00301014266828961,0.999413870248992,-4.11815170765313
"17","GB42467",87,138,93,60,103,153,80,256,224,93,407,288,-0.950724243394729,4.36589962853931,-2.60736443386936,0.021294578846351,0.999413870248992,-4.20328286027098
"18","GB42634",114,257,398,450,447,393,70,253,214,260,359,324,0.50852776894241,5.27707713780778,2.51903735606455,0.0252122124927062,0.999413870248992,-4.1943064315737
"19","GB42637",61,76,284,139,218,135,12,33,43,107,145,57,1.39835260894615,3.59430126258247,3.38123276228066,0.00474015285209026,0.999413870248992,-4.12082035054772
"20","GB42907",53,65,22,33,79,25,41,106,116,165,62,124,-1.17801344656803,3.20489753418254,-3.15609345915887,0.00735188640608437,0.999413870248992,-4.21050788788561
"21","GB42981",649,1477,1684,1892,1202,643,226,993,478,1339,389,946,0.951793182271427,6.9558070462683,2.81717237557689,0.0142112336928292,0.999413870248992,-4.22139804260286
"22","GB43029",672,62,436,191,172,273,111,65,98,61,77,130,1.564222476907,4.40076694905501,2.62352980674064,0.0206444169424813,0.999413870248992,-4.20508472150503
"23","GB43509",452,2683,117,951,982,986,1112,57,35,604,44,184,2.60471831149665,5.5913830467802,2.60794408960395,0.021270926059376,0.999413870248992,-4.21682979348764
"24","GB43513",2,1,5,11,8,7,5,16,15,36,28,25,-1.86103796282946,0.492301715750392,-4.7627792697844,0.000342913046627933,0.999413870248992,-4.33764462920236
"25","GB43560",31,46,50,159,91,72,23,53,45,68,49,54,0.599935390655577,3.02977635699686,2.55253385479637,0.0236508558291913,0.999413870248992,-4.33175027481973
"26","GB43863",229,389,373,546,458,419,109,366,378,377,372,499,0.315208520528411,5.70273118145756,2.92290998622292,0.0115759981460284,0.999413870248992,-4.09614614614341
"27","GB43924",8,42,347,75,78,48,6,35,18,9,9,12,2.27007941738355,2.01168614281529,3.24629705295399,0.00616618426170451,0.999413870248992,-4.33518329657258
"28","GB44004",16,42,37,158,70,71,9,38,50,36,34,50,0.777260901829119,2.60750604325442,2.5355468185929,0.0244306334455355,0.999413870248992,-4.37019673995719
"29","GB44202",2098,3634,4592,2788,3031,2851,804,2777,1449,2754,2016,2931,0.715268255523291,8.49183826225344,2.90582149827541,0.0119666514015621,0.999413870248992,-4.30495474883717
"30","GB44328",30,33,61,139,98,57,9,29,27,72,77,37,0.872767306103102,2.74983397467909,2.55397752478316,0.023585704198299,0.999413870248992,-4.35662805993866
"31","GB44344",81,198,269,299,245,118,51,205,142,157,78,127,0.72943733499886,4.42444299271893,2.54148387711871,0.0241553184080211,0.999413870248992,-4.20628622293994
"32","GB44452",24,41,29,39,69,58,23,66,60,74,99,100,-0.631134434757275,2.92260660336586,-2.98570138373566,0.0102457229827097,0.999413870248992,-4.26791524282124
"33","GB44708",12,13,32,37,9,19,1,19,5,5,16,8,1.37967757065058,0.747880488639941,3.05242022240593,0.00899785616188745,0.999413870248992,-4.42782333665791
"34","GB44715",61,49,75,102,122,70,8,39,45,46,63,108,0.822628021665698,3.05204993617047,3.15646562566259,0.00734655419037874,0.999413870248992,-4.22558653718788
"35","GB45255",10,20,16,21,15,20,1,8,10,11,22,10,0.98900806411542,0.822914406235183,3.09466693728206,0.00828696827870735,0.999413870248992,-4.42019397341683
"36","GB45316",1,7,5,17,19,16,7,17,18,17,38,24,-1.02086904184102,0.87808262237619,-2.51719224858934,0.0253010444252227,0.999413870248992,-4.46899826794913
"37","GB45336",88,68,64,40,44,73,107,71,222,124,127,161,-1.0510173418788,3.70481776012006,-2.70284306475079,0.0177238506423915,0.999413870248992,-4.24124469643544
"38","GB45371",7,24,17,24,9,13,14,19,41,28,31,36,-0.817802728568241,1.55475387305971,-2.70829465278579,0.0175385999680055,0.999413870248992,-4.41784048979013
"39","GB45775",466,1202,752,1875,1093,951,168,782,705,1065,625,1301,0.614443154691515,6.87903122354464,2.61649064113096,0.0209251268350624,0.999413870248992,-4.25844245076794
"40","GB45796",657,123,46,23,911,197,115,4639,2513,3311,476,778,-2.71924983677991,5.93767750799181,-2.59382285857952,0.0218544488263215,0.999413870248992,-4.24264675295251
"41","GB45797",33,13,0,16,93,67,4,99,239,272,68,494,-2.80740650309709,2.60064204737236,-2.57650648071238,0.022591180210447,0.999413870248992,-4.38213442980227
"42","GB45850",132,106,138,224,179,176,91,364,267,238,170,350,-0.51303177464616,4.78200594491207,-2.72468720197713,0.0169928702326655,0.999413870248992,-4.1396411506094
"43","GB45882",33,56,56,66,63,51,21,77,73,87,79,131,-0.398477125940057,3.16768419536755,-2.47369084326615,0.027484811535403,0.999413870248992,-4.33400754636089
"44","GB45955",1118,1665,1240,2978,1829,1927,280,1374,1245,1672,1179,2913,0.614469697519207,7.71045671328611,2.56773505098869,0.0229734735203025,0.999413870248992,-4.3189154156027
"45","GB46013",678,1004,1797,1554,1545,1679,250,1190,894,1310,1090,1777,0.549364582033395,7.35030322969584,2.5952771185392,0.0217936464777676,0.999413870248992,-4.29331974394725
"46","GB46243",131,144,175,356,232,259,135,284,267,289,309,416,-0.363635016446425,5.1124204665714,-2.56646513050697,0.0230293372949608,0.999413870248992,-4.17912304906593
"47","GB46287",65,157,175,357,288,205,24,117,124,195,191,186,0.636692017040014,4.43182389207518,2.58615270675908,0.0221778636737687,0.999413870248992,-4.19324458305167
"48","GB46982",37,51,57,96,102,82,79,128,105,108,152,190,-0.768777059775563,3.7413966819717,-4.07466770303922,0.00124220862294436,0.999413870248992,-3.96029707520833
"49","GB47107",29,64,40,85,89,68,38,114,137,93,90,97,-0.533641135018623,3.41391587492907,-2.72233495305653,0.017070148899741,0.999413870248992,-4.26113942138652
"50","GB47133",39,26,8,11,21,33,12,39,67,49,34,86,-1.11458821025161,2.10018856692907,-2.63353521471199,0.0202516969868293,0.999413870248992,-4.3937702257114
