"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB42220",570,393,696,473,604,727,855,931,1007,456,1550,1239,-0.770531641924003,6.54479321546042,-5.64903577517507,6.39403382071565e-05,0.459079036255139,-3.02794908202076
"2","GB45512",70,129,267,127,104,161,256,279,322,174,473,470,-1.25608474517042,4.69386410443829,-5.42478253852543,9.49393105687393e-05,0.459079036255139,-3.0273812094513
"3","GB46528",268,267,395,288,464,456,181,220,356,101,297,221,0.670701863190759,5.12167384314802,5.05494649101864,0.000184936320209888,0.596173050916608,-3.01874838407101
"4","GB46301",5,14,22,9,6,12,15,35,35,22,46,56,-1.632992915761,1.24173771381564,-4.89706602416864,0.000247181307896844,0.597622607167594,-4.04166739050588
"5","GB40016",10,7,8,8,26,10,8,16,29,18,48,21,-0.97521900250258,0.936582047150273,-2.81339107667372,0.0139936011861124,0.904944087097683,-4.33198683632796
"6","GB40094",117,90,223,118,84,110,93,64,115,31,101,73,0.653494798246326,3.57538833806136,2.71939618763194,0.0168134887235464,0.904944087097683,-4.04964308128119
"7","GB40303",13,14,25,12,57,26,26,39,39,21,75,40,-0.800305830824983,1.85308699978822,-2.73068310209864,0.0164476084552435,0.904944087097683,-4.26736665075465
"8","GB40356",27,52,66,41,49,46,28,75,91,45,124,118,-0.69232194574034,2.86937157977083,-2.83379621420486,0.0134455390036229,0.904944087097683,-4.12176871867693
"9","GB40864",6,7,16,13,16,17,11,16,25,13,37,24,-0.717948671333845,0.984464045068418,-2.82989684128379,0.0135486209462509,0.904944087097683,-4.32488809042551
"10","GB41182",153,539,508,237,231,271,446,446,680,333,580,705,-0.85786700397753,5.63285850087308,-2.8690164026821,0.0125486524187106,0.904944087097683,-3.82961502051492
"11","GB41297",230,285,516,246,156,332,395,570,516,479,826,874,-1.13923742982901,5.68254697760829,-4.28397674504015,0.0007845991572118,0.904944087097683,-3.28038827844733
"12","GB41360",54,33,72,36,35,55,25,26,34,17,27,43,0.738296282515892,2.20042572039168,3.15276359228321,0.00717783536597646,0.904944087097683,-4.1391313866702
"13","GB41507",39,25,47,42,69,42,39,49,72,39,200,124,-0.816254525557712,2.82521285196123,-2.81541813321573,0.0139381921020204,0.904944087097683,-4.13391300895868
"14","GB41643",225,404,354,318,99,340,565,754,320,646,454,941,-1.22396605430648,5.64789914154794,-2.71654693630938,0.0169070968492679,0.904944087097683,-3.9054107762832
"15","GB41746",25,12,35,17,40,32,20,48,77,14,112,59,-0.897285093361423,2.09601505841046,-3.16947095690138,0.00694498383371851,0.904944087097683,-4.15089032452586
"16","GB41776",220,524,1333,1330,1304,916,220,475,143,111,1135,406,1.34128560764066,5.96849248024548,2.73219582905284,0.0163991647670569,0.904944087097683,-3.92427093020088
"17","GB41847",102,58,120,73,217,173,100,141,242,84,392,273,-0.681326912558497,4.17424401104109,-2.83809564807694,0.0133327721880471,0.904944087097683,-3.92129432218256
"18","GB41909",65,74,82,60,118,88,71,109,130,53,225,151,-0.527661720093806,3.58773306447206,-3.02288068018542,0.00927318163655779,0.904944087097683,-3.94524175559383
"19","GB42022",73,53,89,62,120,92,71,91,134,60,276,143,-0.557126224582849,3.59761929806656,-2.81203727316073,0.0140307271160629,0.904944087097683,-4.01599100174858
"20","GB42401",257,187,405,248,389,401,456,362,632,228,664,549,-0.616727602792895,5.56536954863738,-4.12972953522528,0.00105586817911838,0.904944087097683,-3.30930670710009
"21","GB42470",41,30,73,55,71,33,17,25,33,11,33,24,1.05200170389848,2.08270550520177,4.2768001455296,0.000795473923566778,0.904944087097683,-3.95785997279146
"22","GB42475",418,352,1055,603,857,1009,403,430,755,130,632,374,0.680760837676814,6.03488466382205,2.86206424039517,0.0127209101572568,0.904944087097683,-3.85828812214783
"23","GB42597",35,52,97,43,104,91,21,24,51,4,108,43,1.02938703122216,2.46947519066289,2.74594333423267,0.0159652414837975,0.904944087097683,-4.20036516929254
